session_id,utterance_id,role,content,timestamp
ultpwzp,0,background,[unclear],00:00:00
ultpwzp,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
ultpwzp,2,student,"Yes, I think so.",00:00:16
ultpwzp,3,tutor,Can you talk me through how you got that answer?,00:00:24
ultpwzp,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
ultpwzp,5,tutor,Can you talk me through how you got that answer?,00:00:40
ultpwzp,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
ultpwzp,7,tutor,Can you talk me through how you got that answer?,00:00:56
ultpwzp,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
ultpwzp,9,tutor,Uh-huh. And what would you do next?,00:01:12
ultpwzp,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
ultpwzp,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
ultpwzp,12,student,Okay,00:01:36
ultpwzp,13,tutor,Can you talk me through how you got that answer?,00:01:44
ultpwzp,14,student,Maybe I should compare them as decimals first.,00:01:52
ultpwzp,15,tutor,What do you notice about these two numbers?,00:02:00
ultpwzp,16,student,Half?,00:02:08
ultpwzp,17,tutor,Can you talk me through how you got that answer?,00:02:16
ultpwzp,18,student,6?,00:02:24
ultpwzp,19,tutor,Can you talk me through how you got that answer?,00:02:32
ultpwzp,20,student,6?,00:02:40
ultpwzp,21,tutor,What do you notice about these two numbers?,00:02:48
ultpwzp,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
ultpwzp,23,tutor,Can you talk me through how you got that answer?,00:03:04
ultpwzp,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
ultpwzp,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
ultpwzp,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
ultpwzp,27,tutor,Uh-huh. And what would you do next?,00:03:36
ultpwzp,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
ultpwzp,29,tutor,Can you talk me through how you got that answer?,00:03:52
ultpwzp,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
ultpwzp,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
ultpwzp,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
ultpwzp,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
ultpwzp,34,student,Okay,00:04:32
ultpwzp,35,tutor,What do you notice about these two numbers?,00:04:40
ultpwzp,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
ultpwzp,37,tutor,What do you notice about these two numbers?,00:04:56
ultpwzp,38,student,Maybe I should compare them as decimals first.,00:05:04
ultpwzp,39,tutor,Uh-huh. And what would you do next?,00:05:12
ultpwzp,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
ultpwzp,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
ultpwzp,42,student,300?,00:05:36
ultpwzp,43,tutor,What do you notice about these two numbers?,00:05:44
ultpwzp,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
ultpwzp,45,tutor,Can you talk me through how you got that answer?,00:06:00
ultpwzp,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
ultpwzp,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
ultpwzp,48,student,No,00:06:24
ultpwzp,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
ultpwzp,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
ultpwzp,51,tutor,Can you talk me through how you got that answer?,00:06:48
ultpwzp,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
ultpwzp,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
ultpwzp,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
ultpwzp,55,tutor,What do you notice about these two numbers?,00:07:20
ultpwzp,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
ultpwzp,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
ultpwzp,58,student,Maybe I should compare them as decimals first.,00:07:44
ultpwzp,59,tutor,Uh-huh. And what would you do next?,00:07:52
ultpwzp,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
ultpwzp,61,tutor,Uh-huh. And what would you do next?,00:08:08
ultpwzp,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
ultpwzp,63,tutor,What do you notice about these two numbers?,00:08:24
ultpwzp,64,student,Maybe I should compare them as decimals first.,00:08:32
ultpwzp,65,tutor,What do you notice about these two numbers?,00:08:40
ultpwzp,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
ultpwzp,67,tutor,What do you notice about these two numbers?,00:08:56
ultpwzp,68,student,Maybe I should compare them as decimals first.,00:09:04
ultpwzp,69,tutor,Can you talk me through how you got that answer?,00:09:12
ultpwzp,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
ultpwzp,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
ultpwzp,72,student,75.,00:09:36
ultpwzp,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
ultpwzp,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
ultpwzp,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
ultpwzp,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
ultpwzp,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
ultpwzp,78,student,Is it 4?,00:10:24
ultpwzp,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
ultpwzp,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
ultpwzp,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
ultpwzp,82,student,Maybe I should compare them as decimals first.,00:10:56
ultpwzp,83,tutor,Can you talk me through how you got that answer?,00:11:04
ultpwzp,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
ultpwzp,85,tutor,Can you talk me through how you got that answer?,00:11:20
ultpwzp,86,student,Half?,00:11:28
ultpwzp,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
