session_id,utterance_id,role,content,timestamp
oucbwbp,0,background,[unclear],00:00:00
oucbwbp,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
oucbwbp,2,student,"Yes, I think so.",00:00:16
oucbwbp,3,tutor,Uh-huh. And what would you do next?,00:00:24
oucbwbp,4,student,Maybe I should compare them as decimals first.,00:00:32
oucbwbp,5,tutor,What do you notice about these two numbers?,00:00:40
oucbwbp,6,student,Maybe I should compare them as decimals first.,00:00:48
oucbwbp,7,tutor,Can you talk me through how you got that answer?,00:00:56
oucbwbp,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
oucbwbp,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
oucbwbp,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
oucbwbp,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
oucbwbp,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
oucbwbp,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
oucbwbp,14,student,Maybe I should compare them as decimals first.,00:01:52
oucbwbp,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
oucbwbp,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
oucbwbp,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
oucbwbp,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
oucbwbp,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
oucbwbp,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
oucbwbp,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
oucbwbp,22,student,Yes,00:02:56
oucbwbp,23,tutor,Uh-huh. And what would you do next?,00:03:04
oucbwbp,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
oucbwbp,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
oucbwbp,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
oucbwbp,27,tutor,Can you talk me through how you got that answer?,00:03:36
oucbwbp,28,student,300?,00:03:44
oucbwbp,29,tutor,Can you talk me through how you got that answer?,00:03:52
oucbwbp,30,student,Okay,00:04:00
oucbwbp,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
oucbwbp,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
oucbwbp,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
oucbwbp,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
oucbwbp,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
oucbwbp,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
oucbwbp,37,tutor,Can you talk me through how you got that answer?,00:04:56
oucbwbp,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
oucbwbp,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
oucbwbp,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
oucbwbp,41,tutor,Can you talk me through how you got that answer?,00:05:28
oucbwbp,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
oucbwbp,43,tutor,Can you talk me through how you got that answer?,00:05:44
oucbwbp,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
oucbwbp,45,tutor,Can you talk me through how you got that answer?,00:06:00
oucbwbp,46,student,12.,00:06:08
oucbwbp,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
oucbwbp,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
oucbwbp,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
oucbwbp,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
oucbwbp,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
oucbwbp,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
oucbwbp,53,tutor,Uh-huh. And what would you do next?,00:07:04
oucbwbp,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
oucbwbp,55,tutor,Can you talk me through how you got that answer?,00:07:20
oucbwbp,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
oucbwbp,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
oucbwbp,58,student,Okay,00:07:44
oucbwbp,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
oucbwbp,60,student,Maybe I should compare them as decimals first.,00:08:00
oucbwbp,61,tutor,Uh-huh. And what would you do next?,00:08:08
oucbwbp,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
oucbwbp,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
oucbwbp,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
oucbwbp,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
oucbwbp,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
oucbwbp,67,tutor,Uh-huh. And what would you do next?,00:08:56
oucbwbp,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
oucbwbp,69,tutor,What do you notice about these two numbers?,00:09:12
oucbwbp,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
oucbwbp,71,tutor,Can you talk me through how you got that answer?,00:09:28
oucbwbp,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
oucbwbp,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
oucbwbp,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
oucbwbp,75,tutor,Uh-huh. And what would you do next?,00:10:00
oucbwbp,76,student,12.,00:10:08
oucbwbp,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
oucbwbp,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
oucbwbp,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
oucbwbp,80,student,No,00:10:40
oucbwbp,81,tutor,Uh-huh. And what would you do next?,00:10:48
oucbwbp,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
oucbwbp,83,tutor,Can you talk me through how you got that answer?,00:11:04
oucbwbp,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
oucbwbp,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
oucbwbp,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
oucbwbp,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
oucbwbp,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
oucbwbp,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
oucbwbp,90,student,Maybe I should compare them as decimals first.,00:12:00
oucbwbp,91,tutor,Uh-huh. And what would you do next?,00:12:08
oucbwbp,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
oucbwbp,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
oucbwbp,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
oucbwbp,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
oucbwbp,96,student,Maybe I should compare them as decimals first.,00:12:48
oucbwbp,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
oucbwbp,98,student,"I would divide it by 100, so the answer is 3.45.",00:13:04
oucbwbp,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
oucbwbp,100,student,Maybe I should compare them as decimals first.,00:13:20
oucbwbp,101,tutor,Can you talk me through how you got that answer?,00:13:28
oucbwbp,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
