session_id,utterance_id,role,content,timestamp
snlxiot,0,background,[unclear],00:00:00
snlxiot,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
snlxiot,2,student,"Yes, I think so.",00:00:16
snlxiot,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
snlxiot,4,student,Half?,00:00:32
snlxiot,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
snlxiot,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
snlxiot,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
snlxiot,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
snlxiot,9,tutor,Can you talk me through how you got that answer?,00:01:12
snlxiot,10,student,300?,00:01:20
snlxiot,11,tutor,What do you notice about these two numbers?,00:01:28
snlxiot,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
snlxiot,13,tutor,What do you notice about these two numbers?,00:01:44
snlxiot,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
snlxiot,15,tutor,Can you talk me through how you got that answer?,00:02:00
snlxiot,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
snlxiot,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
snlxiot,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
snlxiot,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
snlxiot,20,student,No,00:02:40
snlxiot,21,tutor,Uh-huh. And what would you do next?,00:02:48
snlxiot,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
snlxiot,23,tutor,Can you talk me through how you got that answer?,00:03:04
snlxiot,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
snlxiot,25,tutor,Uh-huh. And what would you do next?,00:03:20
snlxiot,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
snlxiot,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
snlxiot,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
snlxiot,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
snlxiot,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
snlxiot,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
snlxiot,32,student,75.,00:04:16
snlxiot,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
snlxiot,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
snlxiot,35,tutor,Can you talk me through how you got that answer?,00:04:40
snlxiot,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
snlxiot,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
snlxiot,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
snlxiot,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
snlxiot,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
snlxiot,41,tutor,What do you notice about these two numbers?,00:05:28
snlxiot,42,student,Maybe I should compare them as decimals first.,00:05:36
snlxiot,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
snlxiot,44,student,Yes,00:05:52
snlxiot,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
snlxiot,46,student,Okay,00:06:08
snlxiot,47,tutor,What do you notice about these two numbers?,00:06:16
snlxiot,48,student,Maybe I should compare them as decimals first.,00:06:24
snlxiot,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
