session_id,utterance_id,role,content,timestamp
fcsasdg,0,background,[unclear],00:00:00
fcsasdg,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
fcsasdg,2,student,"Yes, I think so.",00:00:16
fcsasdg,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
fcsasdg,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
fcsasdg,5,tutor,Uh-huh. And what would you do next?,00:00:40
fcsasdg,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
fcsasdg,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
fcsasdg,8,student,Maybe I should compare them as decimals first.,00:01:04
fcsasdg,9,tutor,Uh-huh. And what would you do next?,00:01:12
fcsasdg,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
fcsasdg,11,tutor,What do you notice about these two numbers?,00:01:28
fcsasdg,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
fcsasdg,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
fcsasdg,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
fcsasdg,15,tutor,Can you talk me through how you got that answer?,00:02:00
fcsasdg,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
fcsasdg,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
fcsasdg,18,student,6?,00:02:24
fcsasdg,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
fcsasdg,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
fcsasdg,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
fcsasdg,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
fcsasdg,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
fcsasdg,24,student,Maybe I should compare them as decimals first.,00:03:12
fcsasdg,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
fcsasdg,26,student,75.,00:03:28
fcsasdg,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
fcsasdg,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
fcsasdg,29,tutor,Can you talk me through how you got that answer?,00:03:52
fcsasdg,30,student,Maybe I should compare them as decimals first.,00:04:00
fcsasdg,31,tutor,Can you talk me through how you got that answer?,00:04:08
fcsasdg,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
fcsasdg,33,tutor,What do you notice about these two numbers?,00:04:24
fcsasdg,34,student,Okay,00:04:32
fcsasdg,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
fcsasdg,36,student,Yes,00:04:48
fcsasdg,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
fcsasdg,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
fcsasdg,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
fcsasdg,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
fcsasdg,41,tutor,Can you talk me through how you got that answer?,00:05:28
fcsasdg,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
fcsasdg,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
fcsasdg,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
fcsasdg,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
fcsasdg,46,student,Maybe I should compare them as decimals first.,00:06:08
fcsasdg,47,tutor,Uh-huh. And what would you do next?,00:06:16
fcsasdg,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
fcsasdg,49,tutor,Uh-huh. And what would you do next?,00:06:32
fcsasdg,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
