session_id,utterance_id,role,content,timestamp
pfhphsb,0,background,[unclear],00:00:00
pfhphsb,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
pfhphsb,2,student,"Yes, I think so.",00:00:16
pfhphsb,3,tutor,Can you talk me through how you got that answer?,00:00:24
pfhphsb,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
pfhphsb,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
pfhphsb,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
pfhphsb,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
pfhphsb,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
pfhphsb,9,tutor,What do you notice about these two numbers?,00:01:12
pfhphsb,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
pfhphsb,11,tutor,Can you talk me through how you got that answer?,00:01:28
pfhphsb,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
pfhphsb,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
pfhphsb,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
pfhphsb,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
pfhphsb,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
pfhphsb,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
pfhphsb,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
pfhphsb,19,tutor,Uh-huh. And what would you do next?,00:02:32
pfhphsb,20,student,Half?,00:02:40
pfhphsb,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
pfhphsb,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
pfhphsb,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
pfhphsb,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
pfhphsb,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
pfhphsb,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
pfhphsb,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
pfhphsb,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
pfhphsb,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
pfhphsb,30,student,No,00:04:00
pfhphsb,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
pfhphsb,32,student,Maybe I should compare them as decimals first.,00:04:16
pfhphsb,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
pfhphsb,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
pfhphsb,35,tutor,Uh-huh. And what would you do next?,00:04:40
pfhphsb,36,student,12.,00:04:48
pfhphsb,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
pfhphsb,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
pfhphsb,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
pfhphsb,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
pfhphsb,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
pfhphsb,42,student,Maybe I should compare them as decimals first.,00:05:36
pfhphsb,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
pfhphsb,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
pfhphsb,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
pfhphsb,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
pfhphsb,47,tutor,What do you notice about these two numbers?,00:06:16
pfhphsb,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
pfhphsb,49,tutor,Can you talk me through how you got that answer?,00:06:32
pfhphsb,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
pfhphsb,51,tutor,What do you notice about these two numbers?,00:06:48
pfhphsb,52,student,Maybe I should compare them as decimals first.,00:06:56
pfhphsb,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
pfhphsb,54,student,Maybe I should compare them as decimals first.,00:07:12
pfhphsb,55,tutor,What do you notice about these two numbers?,00:07:20
pfhphsb,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
pfhphsb,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
pfhphsb,58,student,Half?,00:07:44
pfhphsb,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
pfhphsb,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
pfhphsb,61,tutor,What do you notice about these two numbers?,00:08:08
pfhphsb,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
pfhphsb,63,tutor,Can you talk me through how you got that answer?,00:08:24
pfhphsb,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
pfhphsb,65,tutor,What do you notice about these two numbers?,00:08:40
pfhphsb,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
pfhphsb,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
pfhphsb,68,student,Maybe I should compare them as decimals first.,00:09:04
pfhphsb,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
pfhphsb,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
pfhphsb,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
pfhphsb,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
pfhphsb,73,tutor,Can you talk me through how you got that answer?,00:09:44
pfhphsb,74,student,Half?,00:09:52
pfhphsb,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
pfhphsb,76,student,Maybe I should compare them as decimals first.,00:10:08
pfhphsb,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
pfhphsb,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
pfhphsb,79,tutor,Uh-huh. And what would you do next?,00:10:32
