session_id,utterance_id,role,content,timestamp
icrrdhg,0,background,[unclear],00:00:00
icrrdhg,1,tutor,"Hello, are you ready to get started today?",00:00:08
icrrdhg,2,student,"Yes, I think so.",00:00:16
icrrdhg,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
icrrdhg,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
icrrdhg,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
icrrdhg,6,student,Maybe I should compare them as decimals first.,00:00:48
icrrdhg,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
icrrdhg,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
icrrdhg,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
icrrdhg,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
icrrdhg,11,tutor,What do you notice about these two numbers?,00:01:28
icrrdhg,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
icrrdhg,13,tutor,What do you notice about these two numbers?,00:01:44
icrrdhg,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
icrrdhg,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
icrrdhg,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
icrrdhg,17,tutor,Can you talk me through how you got that answer?,00:02:16
icrrdhg,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
icrrdhg,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
icrrdhg,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
icrrdhg,21,tutor,Uh-huh. And what would you do next?,00:02:48
icrrdhg,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
icrrdhg,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
icrrdhg,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
icrrdhg,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
icrrdhg,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
icrrdhg,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
icrrdhg,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
icrrdhg,29,tutor,What do you notice about these two numbers?,00:03:52
icrrdhg,30,student,Yes,00:04:00
icrrdhg,31,tutor,Can you talk me through how you got that answer?,00:04:08
icrrdhg,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
icrrdhg,33,tutor,Can you talk me through how you got that answer?,00:04:24
icrrdhg,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
icrrdhg,35,tutor,What do you notice about these two numbers?,00:04:40
icrrdhg,36,student,12.,00:04:48
icrrdhg,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
icrrdhg,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
icrrdhg,39,tutor,Can you talk me through how you got that answer?,00:05:12
icrrdhg,40,student,Maybe I should compare them as decimals first.,00:05:20
icrrdhg,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
icrrdhg,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
icrrdhg,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
icrrdhg,44,student,12.,00:05:52
icrrdhg,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
icrrdhg,46,student,75.,00:06:08
icrrdhg,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
icrrdhg,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
icrrdhg,49,tutor,Uh-huh. And what would you do next?,00:06:32
icrrdhg,50,student,Maybe I should compare them as decimals first.,00:06:40
icrrdhg,51,tutor,What do you notice about these two numbers?,00:06:48
icrrdhg,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
icrrdhg,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
icrrdhg,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
icrrdhg,55,tutor,What do you notice about these two numbers?,00:07:20
icrrdhg,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
icrrdhg,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
icrrdhg,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
icrrdhg,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
icrrdhg,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
icrrdhg,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
icrrdhg,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
icrrdhg,63,tutor,What do you notice about these two numbers?,00:08:24
icrrdhg,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
icrrdhg,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
icrrdhg,66,student,75.,00:08:48
icrrdhg,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
icrrdhg,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
icrrdhg,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
icrrdhg,70,student,Yes,00:09:20
icrrdhg,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
icrrdhg,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
icrrdhg,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
icrrdhg,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
icrrdhg,75,tutor,What do you notice about these two numbers?,00:10:00
icrrdhg,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
icrrdhg,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
icrrdhg,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
icrrdhg,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
icrrdhg,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
icrrdhg,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
icrrdhg,82,student,Is it 4?,00:10:56
icrrdhg,83,tutor,What do you notice about these two numbers?,00:11:04
icrrdhg,84,student,Okay,00:11:12
icrrdhg,85,tutor,Can you talk me through how you got that answer?,00:11:20
icrrdhg,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
icrrdhg,87,tutor,What do you notice about these two numbers?,00:11:36
icrrdhg,88,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:44
icrrdhg,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
icrrdhg,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
icrrdhg,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
icrrdhg,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
icrrdhg,93,tutor,Can you talk me through how you got that answer?,00:12:24
icrrdhg,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
icrrdhg,95,tutor,Can you talk me through how you got that answer?,00:12:40
icrrdhg,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
icrrdhg,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
icrrdhg,98,student,Is it 4?,00:13:04
icrrdhg,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
icrrdhg,100,student,"I would divide it by 100, so the answer is 3.45.",00:13:20
icrrdhg,101,tutor,What do you notice about these two numbers?,00:13:28
icrrdhg,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
icrrdhg,103,tutor,Uh-huh. And what would you do next?,00:13:44
icrrdhg,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
icrrdhg,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
icrrdhg,106,student,"I would divide it by 100, so the answer is 3.45.",00:14:08
icrrdhg,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
icrrdhg,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
icrrdhg,109,tutor,What do you notice about these two numbers?,00:14:32
icrrdhg,110,student,6?,00:14:40
icrrdhg,111,tutor,What do you notice about these two numbers?,00:14:48
icrrdhg,112,student,I'm not sure. Is it because 10 has one zero?,00:14:56
icrrdhg,113,tutor,Can you talk me through how you got that answer?,00:15:04
icrrdhg,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
icrrdhg,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
icrrdhg,116,student,Maybe I should compare them as decimals first.,00:15:28
icrrdhg,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
icrrdhg,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
icrrdhg,119,tutor,"Good thinking. Now, is that answer reasonable?",00:15:52
icrrdhg,120,student,I'm not sure. Is it because 10 has one zero?,00:16:00
icrrdhg,121,tutor,Remember what we said about the denominator. What happens here?,00:16:08
icrrdhg,122,student,Maybe I should compare them as decimals first.,00:16:16
icrrdhg,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
icrrdhg,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
icrrdhg,125,tutor,Uh-huh. And what would you do next?,00:16:40
icrrdhg,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
icrrdhg,127,tutor,What do you notice about these two numbers?,00:16:56
icrrdhg,128,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:04
icrrdhg,129,tutor,What do you notice about these two numbers?,00:17:12
icrrdhg,130,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:20
icrrdhg,131,tutor,What do you notice about these two numbers?,00:17:28
icrrdhg,132,student,"I would divide it by 100, so the answer is 3.45.",00:17:36
icrrdhg,133,tutor,So let me ask you first. Do you know what a fact family is?,00:17:44
icrrdhg,134,student,"I would divide it by 100, so the answer is 3.45.",00:17:52
icrrdhg,135,tutor,Can you talk me through how you got that answer?,00:18:00
icrrdhg,136,student,Maybe I should compare them as decimals first.,00:18:08
icrrdhg,137,tutor,Can you talk me through how you got that answer?,00:18:16
icrrdhg,138,student,Maybe I should compare them as decimals first.,00:18:24
icrrdhg,139,tutor,Let's try a similar one. What is 30 times 4?,00:18:32
icrrdhg,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
icrrdhg,141,tutor,What do you notice about these two numbers?,00:18:48
icrrdhg,142,student,I think we need to make the bottom numbers the same before we add.,00:18:56
icrrdhg,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
icrrdhg,144,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:12
icrrdhg,145,tutor,So let me ask you first. Do you know what a fact family is?,00:19:20
icrrdhg,146,student,I think we need to make the bottom numbers the same before we add.,00:19:28
icrrdhg,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
icrrdhg,148,student,I think we need to make the bottom numbers the same before we add.,00:19:44
icrrdhg,149,tutor,"Good thinking. Now, is that answer reasonable?",00:19:52
icrrdhg,150,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:00
icrrdhg,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
icrrdhg,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
icrrdhg,153,tutor,So let me ask you first. Do you know what a fact family is?,00:20:24
icrrdhg,154,student,Is it 4?,00:20:32
icrrdhg,155,tutor,Remember what we said about the denominator. What happens here?,00:20:40
icrrdhg,156,student,300?,00:20:48
icrrdhg,157,tutor,What do you notice about these two numbers?,00:20:56
icrrdhg,158,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:04
icrrdhg,159,tutor,Uh-huh. And what would you do next?,00:21:12
icrrdhg,160,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:20
icrrdhg,161,tutor,Can you talk me through how you got that answer?,00:21:28
icrrdhg,162,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:36
icrrdhg,163,tutor,Let's try a similar one. What is 30 times 4?,00:21:44
icrrdhg,164,student,"I would divide it by 100, so the answer is 3.45.",00:21:52
icrrdhg,165,tutor,"Good thinking. Now, is that answer reasonable?",00:22:00
icrrdhg,166,student,"I would divide it by 100, so the answer is 3.45.",00:22:08
icrrdhg,167,tutor,"Good thinking. Now, is that answer reasonable?",00:22:16
icrrdhg,168,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:24
icrrdhg,169,tutor,Remember what we said about the denominator. What happens here?,00:22:32
icrrdhg,170,student,Maybe I should compare them as decimals first.,00:22:40
icrrdhg,171,tutor,What do you notice about these two numbers?,00:22:48
icrrdhg,172,student,I'm not sure. Is it because 10 has one zero?,00:22:56
icrrdhg,173,tutor,Let's try a similar one. What is 30 times 4?,00:23:04
icrrdhg,174,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:23:12
icrrdhg,175,tutor,Let's try a similar one. What is 30 times 4?,00:23:20
icrrdhg,176,student,12.,00:23:28
icrrdhg,177,tutor,Can you talk me through how you got that answer?,00:23:36
icrrdhg,178,student,I'm not sure. Is it because 10 has one zero?,00:23:44
icrrdhg,179,tutor,Great work today. See you next time!,00:23:52
