session_id,utterance_id,role,content,timestamp
fqzmadr,0,background,[unclear],00:00:00
fqzmadr,1,tutor,"Hello, are you ready to get started today?",00:00:08
fqzmadr,2,student,"Yes, I think so.",00:00:16
fqzmadr,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
fqzmadr,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
fqzmadr,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
fqzmadr,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
fqzmadr,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
fqzmadr,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
fqzmadr,9,tutor,What do you notice about these two numbers?,00:01:12
fqzmadr,10,student,12.,00:01:20
fqzmadr,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
fqzmadr,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
fqzmadr,13,tutor,Uh-huh. And what would you do next?,00:01:44
fqzmadr,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
fqzmadr,15,tutor,What do you notice about these two numbers?,00:02:00
fqzmadr,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
fqzmadr,17,tutor,Can you talk me through how you got that answer?,00:02:16
fqzmadr,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
fqzmadr,19,tutor,What do you notice about these two numbers?,00:02:32
fqzmadr,20,student,Is it 4?,00:02:40
fqzmadr,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
fqzmadr,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
fqzmadr,23,tutor,What do you notice about these two numbers?,00:03:04
fqzmadr,24,student,Maybe I should compare them as decimals first.,00:03:12
fqzmadr,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
fqzmadr,26,student,Yes,00:03:28
fqzmadr,27,tutor,Can you talk me through how you got that answer?,00:03:36
fqzmadr,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
fqzmadr,29,tutor,Can you talk me through how you got that answer?,00:03:52
fqzmadr,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
fqzmadr,31,tutor,What do you notice about these two numbers?,00:04:08
fqzmadr,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
fqzmadr,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
fqzmadr,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
fqzmadr,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
fqzmadr,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
fqzmadr,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
fqzmadr,38,student,Half?,00:05:04
fqzmadr,39,tutor,Can you talk me through how you got that answer?,00:05:12
fqzmadr,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
fqzmadr,41,tutor,What do you notice about these two numbers?,00:05:28
fqzmadr,42,student,6?,00:05:36
fqzmadr,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
fqzmadr,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
fqzmadr,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
fqzmadr,46,student,Maybe I should compare them as decimals first.,00:06:08
fqzmadr,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
fqzmadr,48,student,300?,00:06:24
fqzmadr,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
fqzmadr,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
fqzmadr,51,tutor,What do you notice about these two numbers?,00:06:48
fqzmadr,52,student,Is it 4?,00:06:56
fqzmadr,53,tutor,What do you notice about these two numbers?,00:07:04
fqzmadr,54,student,Is it 4?,00:07:12
fqzmadr,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
fqzmadr,56,student,300?,00:07:28
fqzmadr,57,tutor,Uh-huh. And what would you do next?,00:07:36
fqzmadr,58,student,Maybe I should compare them as decimals first.,00:07:44
fqzmadr,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
fqzmadr,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
fqzmadr,61,tutor,Can you talk me through how you got that answer?,00:08:08
fqzmadr,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
fqzmadr,63,tutor,What do you notice about these two numbers?,00:08:24
fqzmadr,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
fqzmadr,65,tutor,Uh-huh. And what would you do next?,00:08:40
fqzmadr,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
fqzmadr,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
fqzmadr,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
fqzmadr,69,tutor,Can you talk me through how you got that answer?,00:09:12
fqzmadr,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
fqzmadr,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
fqzmadr,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
fqzmadr,73,tutor,Uh-huh. And what would you do next?,00:09:44
fqzmadr,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
fqzmadr,75,tutor,Uh-huh. And what would you do next?,00:10:00
fqzmadr,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
fqzmadr,77,tutor,Can you talk me through how you got that answer?,00:10:16
fqzmadr,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
fqzmadr,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
fqzmadr,80,student,6?,00:10:40
fqzmadr,81,tutor,What do you notice about these two numbers?,00:10:48
fqzmadr,82,student,Yes,00:10:56
fqzmadr,83,tutor,Can you talk me through how you got that answer?,00:11:04
fqzmadr,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
fqzmadr,85,tutor,Can you talk me through how you got that answer?,00:11:20
fqzmadr,86,student,Yes,00:11:28
fqzmadr,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
fqzmadr,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
fqzmadr,89,tutor,Uh-huh. And what would you do next?,00:11:52
fqzmadr,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
fqzmadr,91,tutor,Let's try a similar one. What is 30 times 4?,00:12:08
fqzmadr,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
fqzmadr,93,tutor,What do you notice about these two numbers?,00:12:24
fqzmadr,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
fqzmadr,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
fqzmadr,96,student,Yes,00:12:48
fqzmadr,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
fqzmadr,98,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:04
fqzmadr,99,tutor,What do you notice about these two numbers?,00:13:12
fqzmadr,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
fqzmadr,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
fqzmadr,102,student,300?,00:13:36
