session_id,utterance_id,role,content,timestamp
rkdxlyk,0,background,[unclear],00:00:00
rkdxlyk,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
rkdxlyk,2,student,"Yes, I think so.",00:00:16
rkdxlyk,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
rkdxlyk,4,student,300?,00:00:32
rkdxlyk,5,tutor,What do you notice about these two numbers?,00:00:40
rkdxlyk,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
rkdxlyk,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
rkdxlyk,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
rkdxlyk,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
rkdxlyk,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
rkdxlyk,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
rkdxlyk,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
rkdxlyk,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
rkdxlyk,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
rkdxlyk,15,tutor,Can you talk me through how you got that answer?,00:02:00
rkdxlyk,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
rkdxlyk,17,tutor,Uh-huh. And what would you do next?,00:02:16
rkdxlyk,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
rkdxlyk,19,tutor,What do you notice about these two numbers?,00:02:32
rkdxlyk,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
rkdxlyk,21,tutor,Uh-huh. And what would you do next?,00:02:48
rkdxlyk,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
rkdxlyk,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
rkdxlyk,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
rkdxlyk,25,tutor,Can you talk me through how you got that answer?,00:03:20
rkdxlyk,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
rkdxlyk,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
rkdxlyk,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
rkdxlyk,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
rkdxlyk,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
rkdxlyk,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
rkdxlyk,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
rkdxlyk,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
rkdxlyk,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
rkdxlyk,35,tutor,Can you talk me through how you got that answer?,00:04:40
rkdxlyk,36,student,Half?,00:04:48
rkdxlyk,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
rkdxlyk,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
rkdxlyk,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
rkdxlyk,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
rkdxlyk,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
rkdxlyk,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
