session_id,utterance_id,role,content,timestamp
knytfne,0,background,[unclear],00:00:00
knytfne,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
knytfne,2,student,"Yes, I think so.",00:00:16
knytfne,3,tutor,Uh-huh. And what would you do next?,00:00:24
knytfne,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
knytfne,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
knytfne,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
knytfne,7,tutor,Can you talk me through how you got that answer?,00:00:56
knytfne,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
knytfne,9,tutor,Can you talk me through how you got that answer?,00:01:12
knytfne,10,student,Yes,00:01:20
knytfne,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
knytfne,12,student,Maybe I should compare them as decimals first.,00:01:36
knytfne,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
knytfne,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
knytfne,15,tutor,Can you talk me through how you got that answer?,00:02:00
knytfne,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
knytfne,17,tutor,Uh-huh. And what would you do next?,00:02:16
knytfne,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
knytfne,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
knytfne,20,student,Okay,00:02:40
knytfne,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
knytfne,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
knytfne,23,tutor,What do you notice about these two numbers?,00:03:04
knytfne,24,student,Yes,00:03:12
knytfne,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
knytfne,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
knytfne,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
knytfne,28,student,Maybe I should compare them as decimals first.,00:03:44
knytfne,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
knytfne,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
knytfne,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
knytfne,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
knytfne,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
knytfne,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
knytfne,35,tutor,Can you talk me through how you got that answer?,00:04:40
knytfne,36,student,Half?,00:04:48
knytfne,37,tutor,Uh-huh. And what would you do next?,00:04:56
knytfne,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
knytfne,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
knytfne,40,student,Maybe I should compare them as decimals first.,00:05:20
knytfne,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
knytfne,42,student,Maybe I should compare them as decimals first.,00:05:36
knytfne,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
knytfne,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
knytfne,45,tutor,Can you talk me through how you got that answer?,00:06:00
knytfne,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
knytfne,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
knytfne,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
knytfne,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
knytfne,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
