session_id,utterance_id,role,content,timestamp
auxmslp,0,background,[unclear],00:00:00
auxmslp,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
auxmslp,2,student,"Yes, I think so.",00:00:16
auxmslp,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
auxmslp,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
auxmslp,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
auxmslp,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
auxmslp,7,tutor,What do you notice about these two numbers?,00:00:56
auxmslp,8,student,Maybe I should compare them as decimals first.,00:01:04
auxmslp,9,tutor,Uh-huh. And what would you do next?,00:01:12
auxmslp,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
auxmslp,11,tutor,Can you talk me through how you got that answer?,00:01:28
auxmslp,12,student,Maybe I should compare them as decimals first.,00:01:36
auxmslp,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
auxmslp,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
auxmslp,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
auxmslp,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
auxmslp,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
auxmslp,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
auxmslp,19,tutor,Uh-huh. And what would you do next?,00:02:32
auxmslp,20,student,Maybe I should compare them as decimals first.,00:02:40
auxmslp,21,tutor,What do you notice about these two numbers?,00:02:48
auxmslp,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
auxmslp,23,tutor,Can you talk me through how you got that answer?,00:03:04
auxmslp,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
auxmslp,25,tutor,Can you talk me through how you got that answer?,00:03:20
auxmslp,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
auxmslp,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
auxmslp,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
auxmslp,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
auxmslp,30,student,Maybe I should compare them as decimals first.,00:04:00
auxmslp,31,tutor,Uh-huh. And what would you do next?,00:04:08
auxmslp,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
auxmslp,33,tutor,What do you notice about these two numbers?,00:04:24
auxmslp,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
auxmslp,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
auxmslp,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
auxmslp,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
auxmslp,38,student,Yes,00:05:04
auxmslp,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
auxmslp,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
auxmslp,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
auxmslp,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
auxmslp,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
auxmslp,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
auxmslp,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
auxmslp,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
auxmslp,47,tutor,What do you notice about these two numbers?,00:06:16
auxmslp,48,student,No,00:06:24
auxmslp,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
auxmslp,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
auxmslp,51,tutor,Uh-huh. And what would you do next?,00:06:48
auxmslp,52,student,Yes,00:06:56
auxmslp,53,tutor,Uh-huh. And what would you do next?,00:07:04
auxmslp,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
auxmslp,55,tutor,What do you notice about these two numbers?,00:07:20
auxmslp,56,student,Maybe I should compare them as decimals first.,00:07:28
auxmslp,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
auxmslp,58,student,Maybe I should compare them as decimals first.,00:07:44
auxmslp,59,tutor,Can you talk me through how you got that answer?,00:07:52
auxmslp,60,student,Yes,00:08:00
auxmslp,61,tutor,Uh-huh. And what would you do next?,00:08:08
auxmslp,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
auxmslp,63,tutor,Uh-huh. And what would you do next?,00:08:24
auxmslp,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
auxmslp,65,tutor,Uh-huh. And what would you do next?,00:08:40
auxmslp,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
auxmslp,67,tutor,What do you notice about these two numbers?,00:08:56
auxmslp,68,student,12.,00:09:04
auxmslp,69,tutor,What do you notice about these two numbers?,00:09:12
auxmslp,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
auxmslp,71,tutor,What do you notice about these two numbers?,00:09:28
auxmslp,72,student,12.,00:09:36
auxmslp,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
auxmslp,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
auxmslp,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
auxmslp,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
auxmslp,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
auxmslp,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
auxmslp,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
auxmslp,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
auxmslp,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
auxmslp,82,student,300?,00:10:56
auxmslp,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
auxmslp,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
auxmslp,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
auxmslp,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
auxmslp,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
auxmslp,88,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:44
auxmslp,89,tutor,Uh-huh. And what would you do next?,00:11:52
auxmslp,90,student,Is it 4?,00:12:00
auxmslp,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
auxmslp,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
auxmslp,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
auxmslp,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
auxmslp,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
auxmslp,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
auxmslp,97,tutor,What do you notice about these two numbers?,00:12:56
auxmslp,98,student,300?,00:13:04
auxmslp,99,tutor,Uh-huh. And what would you do next?,00:13:12
auxmslp,100,student,"I would divide it by 100, so the answer is 3.45.",00:13:20
auxmslp,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
auxmslp,102,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:36
auxmslp,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
auxmslp,104,student,Maybe I should compare them as decimals first.,00:13:52
auxmslp,105,tutor,What do you notice about these two numbers?,00:14:00
auxmslp,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
auxmslp,107,tutor,Can you talk me through how you got that answer?,00:14:16
auxmslp,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
auxmslp,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
auxmslp,110,student,"I would divide it by 100, so the answer is 3.45.",00:14:40
auxmslp,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
auxmslp,112,student,Maybe I should compare them as decimals first.,00:14:56
auxmslp,113,tutor,Uh-huh. And what would you do next?,00:15:04
auxmslp,114,student,I think we need to make the bottom numbers the same before we add.,00:15:12
auxmslp,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
auxmslp,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
auxmslp,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
auxmslp,118,student,Maybe I should compare them as decimals first.,00:15:44
auxmslp,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
auxmslp,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
auxmslp,121,tutor,Uh-huh. And what would you do next?,00:16:08
auxmslp,122,student,I think we need to make the bottom numbers the same before we add.,00:16:16
auxmslp,123,tutor,Uh-huh. And what would you do next?,00:16:24
auxmslp,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
auxmslp,125,tutor,What do you notice about these two numbers?,00:16:40
auxmslp,126,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:48
auxmslp,127,tutor,Uh-huh. And what would you do next?,00:16:56
auxmslp,128,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:04
auxmslp,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
auxmslp,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
auxmslp,131,tutor,So let me ask you first. Do you know what a fact family is?,00:17:28
auxmslp,132,student,Half?,00:17:36
auxmslp,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
auxmslp,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
auxmslp,135,tutor,What do you notice about these two numbers?,00:18:00
auxmslp,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
auxmslp,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
auxmslp,138,student,Maybe I should compare them as decimals first.,00:18:24
auxmslp,139,tutor,Let's try a similar one. What is 30 times 4?,00:18:32
