session_id,utterance_id,role,content,timestamp
grkpmji,0,background,[unclear],00:00:00
grkpmji,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
grkpmji,2,student,"Yes, I think so.",00:00:16
grkpmji,3,tutor,Can you talk me through how you got that answer?,00:00:24
grkpmji,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
grkpmji,5,tutor,Uh-huh. And what would you do next?,00:00:40
grkpmji,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
grkpmji,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
grkpmji,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
grkpmji,9,tutor,Can you talk me through how you got that answer?,00:01:12
grkpmji,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
grkpmji,11,tutor,What do you notice about these two numbers?,00:01:28
grkpmji,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
grkpmji,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
grkpmji,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
grkpmji,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
grkpmji,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
grkpmji,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
grkpmji,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
grkpmji,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
grkpmji,20,student,Maybe I should compare them as decimals first.,00:02:40
grkpmji,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
grkpmji,22,student,Is it 4?,00:02:56
grkpmji,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
grkpmji,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
grkpmji,25,tutor,Can you talk me through how you got that answer?,00:03:20
grkpmji,26,student,Yes,00:03:28
grkpmji,27,tutor,What do you notice about these two numbers?,00:03:36
grkpmji,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
grkpmji,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
grkpmji,30,student,No,00:04:00
grkpmji,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
grkpmji,32,student,Yes,00:04:16
grkpmji,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
grkpmji,34,student,No,00:04:32
grkpmji,35,tutor,Uh-huh. And what would you do next?,00:04:40
grkpmji,36,student,12.,00:04:48
grkpmji,37,tutor,Can you talk me through how you got that answer?,00:04:56
grkpmji,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
grkpmji,39,tutor,Can you talk me through how you got that answer?,00:05:12
grkpmji,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
grkpmji,41,tutor,Can you talk me through how you got that answer?,00:05:28
grkpmji,42,student,Maybe I should compare them as decimals first.,00:05:36
grkpmji,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
grkpmji,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
grkpmji,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
grkpmji,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
grkpmji,47,tutor,Uh-huh. And what would you do next?,00:06:16
grkpmji,48,student,12.,00:06:24
grkpmji,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
grkpmji,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
grkpmji,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
grkpmji,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
grkpmji,53,tutor,Uh-huh. And what would you do next?,00:07:04
grkpmji,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
grkpmji,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
grkpmji,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
grkpmji,57,tutor,Uh-huh. And what would you do next?,00:07:36
grkpmji,58,student,6?,00:07:44
grkpmji,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
grkpmji,60,student,No,00:08:00
grkpmji,61,tutor,Uh-huh. And what would you do next?,00:08:08
grkpmji,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
grkpmji,63,tutor,Uh-huh. And what would you do next?,00:08:24
grkpmji,64,student,Half?,00:08:32
grkpmji,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
grkpmji,66,student,Is it 4?,00:08:48
grkpmji,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
grkpmji,68,student,No,00:09:04
grkpmji,69,tutor,What do you notice about these two numbers?,00:09:12
grkpmji,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
grkpmji,71,tutor,Uh-huh. And what would you do next?,00:09:28
grkpmji,72,student,75.,00:09:36
grkpmji,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
grkpmji,74,student,75.,00:09:52
grkpmji,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
grkpmji,76,student,Half?,00:10:08
grkpmji,77,tutor,Uh-huh. And what would you do next?,00:10:16
grkpmji,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
grkpmji,79,tutor,What do you notice about these two numbers?,00:10:32
grkpmji,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
grkpmji,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
grkpmji,82,student,Half?,00:10:56
grkpmji,83,tutor,Uh-huh. And what would you do next?,00:11:04
grkpmji,84,student,No,00:11:12
grkpmji,85,tutor,Uh-huh. And what would you do next?,00:11:20
grkpmji,86,student,Maybe I should compare them as decimals first.,00:11:28
grkpmji,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
grkpmji,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
grkpmji,89,tutor,Uh-huh. And what would you do next?,00:11:52
grkpmji,90,student,Maybe I should compare them as decimals first.,00:12:00
grkpmji,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
grkpmji,92,student,6?,00:12:16
grkpmji,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
grkpmji,94,student,300?,00:12:32
grkpmji,95,tutor,Can you talk me through how you got that answer?,00:12:40
grkpmji,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
grkpmji,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
grkpmji,98,student,Half?,00:13:04
grkpmji,99,tutor,Can you talk me through how you got that answer?,00:13:12
grkpmji,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
grkpmji,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
grkpmji,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
grkpmji,103,tutor,Can you talk me through how you got that answer?,00:13:44
grkpmji,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
grkpmji,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
grkpmji,106,student,6?,00:14:08
grkpmji,107,tutor,What do you notice about these two numbers?,00:14:16
grkpmji,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
grkpmji,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
grkpmji,110,student,"I would divide it by 100, so the answer is 3.45.",00:14:40
grkpmji,111,tutor,Remember what we said about the denominator. What happens here?,00:14:48
grkpmji,112,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:56
grkpmji,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
grkpmji,114,student,Maybe I should compare them as decimals first.,00:15:12
grkpmji,115,tutor,Can you talk me through how you got that answer?,00:15:20
grkpmji,116,student,Maybe I should compare them as decimals first.,00:15:28
grkpmji,117,tutor,So let me ask you first. Do you know what a fact family is?,00:15:36
grkpmji,118,student,Okay,00:15:44
grkpmji,119,tutor,Uh-huh. And what would you do next?,00:15:52
grkpmji,120,student,Is it 4?,00:16:00
grkpmji,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
grkpmji,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
grkpmji,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
grkpmji,124,student,Maybe I should compare them as decimals first.,00:16:32
grkpmji,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
grkpmji,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
grkpmji,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
grkpmji,128,student,300?,00:17:04
grkpmji,129,tutor,What do you notice about these two numbers?,00:17:12
grkpmji,130,student,Yes,00:17:20
grkpmji,131,tutor,Remember what we said about the denominator. What happens here?,00:17:28
grkpmji,132,student,I think we need to make the bottom numbers the same before we add.,00:17:36
grkpmji,133,tutor,So let me ask you first. Do you know what a fact family is?,00:17:44
grkpmji,134,student,I think we need to make the bottom numbers the same before we add.,00:17:52
grkpmji,135,tutor,"Good thinking. Now, is that answer reasonable?",00:18:00
grkpmji,136,student,I'm not sure. Is it because 10 has one zero?,00:18:08
grkpmji,137,tutor,"Good thinking. Now, is that answer reasonable?",00:18:16
grkpmji,138,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:24
grkpmji,139,tutor,"Good thinking. Now, is that answer reasonable?",00:18:32
grkpmji,140,student,12.,00:18:40
grkpmji,141,tutor,Uh-huh. And what would you do next?,00:18:48
grkpmji,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
grkpmji,143,tutor,Can you talk me through how you got that answer?,00:19:04
grkpmji,144,student,Okay,00:19:12
grkpmji,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
grkpmji,146,student,I'm not sure. Is it because 10 has one zero?,00:19:28
grkpmji,147,tutor,"Good thinking. Now, is that answer reasonable?",00:19:36
grkpmji,148,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:44
grkpmji,149,tutor,Can you talk me through how you got that answer?,00:19:52
grkpmji,150,student,"I would divide it by 100, so the answer is 3.45.",00:20:00
grkpmji,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
grkpmji,152,student,75.,00:20:16
grkpmji,153,tutor,So let me ask you first. Do you know what a fact family is?,00:20:24
grkpmji,154,student,I'm not sure. Is it because 10 has one zero?,00:20:32
grkpmji,155,tutor,Uh-huh. And what would you do next?,00:20:40
grkpmji,156,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:48
grkpmji,157,tutor,What do you notice about these two numbers?,00:20:56
grkpmji,158,student,Half?,00:21:04
grkpmji,159,tutor,Can you talk me through how you got that answer?,00:21:12
grkpmji,160,student,Maybe I should compare them as decimals first.,00:21:20
grkpmji,161,tutor,Let's try a similar one. What is 30 times 4?,00:21:28
grkpmji,162,student,Yes,00:21:36
grkpmji,163,tutor,Let's try a similar one. What is 30 times 4?,00:21:44
grkpmji,164,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:52
grkpmji,165,tutor,Let's try a similar one. What is 30 times 4?,00:22:00
grkpmji,166,student,Maybe I should compare them as decimals first.,00:22:08
grkpmji,167,tutor,"Good thinking. Now, is that answer reasonable?",00:22:16
grkpmji,168,student,75.,00:22:24
grkpmji,169,tutor,What do you notice about these two numbers?,00:22:32
grkpmji,170,student,Okay,00:22:40
grkpmji,171,tutor,Can you talk me through how you got that answer?,00:22:48
grkpmji,172,student,75.,00:22:56
grkpmji,173,tutor,Can you talk me through how you got that answer?,00:23:04
grkpmji,174,student,I think we need to make the bottom numbers the same before we add.,00:23:12
grkpmji,175,tutor,What do you notice about these two numbers?,00:23:20
grkpmji,176,student,"I would divide it by 100, so the answer is 3.45.",00:23:28
grkpmji,177,tutor,So let me ask you first. Do you know what a fact family is?,00:23:36
grkpmji,178,student,Okay,00:23:44
