session_id,utterance_id,role,content,timestamp
nftvhxc,0,background,[unclear],00:00:00
nftvhxc,1,tutor,"Hello, are you ready to get started today?",00:00:08
nftvhxc,2,student,"Yes, I think so.",00:00:16
nftvhxc,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
nftvhxc,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
nftvhxc,5,tutor,Can you talk me through how you got that answer?,00:00:40
nftvhxc,6,student,Is it 4?,00:00:48
nftvhxc,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
nftvhxc,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
nftvhxc,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
nftvhxc,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
nftvhxc,11,tutor,Can you talk me through how you got that answer?,00:01:28
nftvhxc,12,student,300?,00:01:36
nftvhxc,13,tutor,Can you talk me through how you got that answer?,00:01:44
nftvhxc,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
nftvhxc,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
nftvhxc,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
nftvhxc,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
nftvhxc,18,student,6?,00:02:24
nftvhxc,19,tutor,Uh-huh. And what would you do next?,00:02:32
nftvhxc,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
nftvhxc,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
nftvhxc,22,student,Maybe I should compare them as decimals first.,00:02:56
nftvhxc,23,tutor,What do you notice about these two numbers?,00:03:04
nftvhxc,24,student,Okay,00:03:12
nftvhxc,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
nftvhxc,26,student,Half?,00:03:28
nftvhxc,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
nftvhxc,28,student,300?,00:03:44
nftvhxc,29,tutor,Uh-huh. And what would you do next?,00:03:52
nftvhxc,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
nftvhxc,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
nftvhxc,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
nftvhxc,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
nftvhxc,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
nftvhxc,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
nftvhxc,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
nftvhxc,37,tutor,What do you notice about these two numbers?,00:04:56
nftvhxc,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
nftvhxc,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
nftvhxc,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
nftvhxc,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
nftvhxc,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
nftvhxc,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
nftvhxc,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
nftvhxc,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
nftvhxc,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
nftvhxc,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
nftvhxc,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
nftvhxc,49,tutor,What do you notice about these two numbers?,00:06:32
nftvhxc,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
nftvhxc,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
nftvhxc,52,student,Half?,00:06:56
nftvhxc,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
nftvhxc,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
nftvhxc,55,tutor,What do you notice about these two numbers?,00:07:20
nftvhxc,56,student,Okay,00:07:28
nftvhxc,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
nftvhxc,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
nftvhxc,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
nftvhxc,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
nftvhxc,61,tutor,Can you talk me through how you got that answer?,00:08:08
nftvhxc,62,student,Yes,00:08:16
nftvhxc,63,tutor,What do you notice about these two numbers?,00:08:24
nftvhxc,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
nftvhxc,65,tutor,What do you notice about these two numbers?,00:08:40
nftvhxc,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
nftvhxc,67,tutor,What do you notice about these two numbers?,00:08:56
nftvhxc,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
nftvhxc,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
nftvhxc,70,student,Maybe I should compare them as decimals first.,00:09:20
nftvhxc,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
nftvhxc,72,student,Maybe I should compare them as decimals first.,00:09:36
nftvhxc,73,tutor,What do you notice about these two numbers?,00:09:44
nftvhxc,74,student,75.,00:09:52
nftvhxc,75,tutor,Uh-huh. And what would you do next?,00:10:00
nftvhxc,76,student,Maybe I should compare them as decimals first.,00:10:08
nftvhxc,77,tutor,What do you notice about these two numbers?,00:10:16
nftvhxc,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
nftvhxc,79,tutor,Uh-huh. And what would you do next?,00:10:32
nftvhxc,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
nftvhxc,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
nftvhxc,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
nftvhxc,83,tutor,What do you notice about these two numbers?,00:11:04
nftvhxc,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
nftvhxc,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
nftvhxc,86,student,Maybe I should compare them as decimals first.,00:11:28
nftvhxc,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
nftvhxc,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
nftvhxc,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
nftvhxc,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
nftvhxc,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
nftvhxc,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
nftvhxc,93,tutor,Can you talk me through how you got that answer?,00:12:24
nftvhxc,94,student,Okay,00:12:32
nftvhxc,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
nftvhxc,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
nftvhxc,97,tutor,What do you notice about these two numbers?,00:12:56
nftvhxc,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
nftvhxc,99,tutor,Uh-huh. And what would you do next?,00:13:12
nftvhxc,100,student,Maybe I should compare them as decimals first.,00:13:20
nftvhxc,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
nftvhxc,102,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:36
nftvhxc,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
nftvhxc,104,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:52
nftvhxc,105,tutor,What do you notice about these two numbers?,00:14:00
nftvhxc,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
nftvhxc,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
nftvhxc,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
nftvhxc,109,tutor,Uh-huh. And what would you do next?,00:14:32
nftvhxc,110,student,Maybe I should compare them as decimals first.,00:14:40
nftvhxc,111,tutor,Remember what we said about the denominator. What happens here?,00:14:48
nftvhxc,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
nftvhxc,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
nftvhxc,114,student,I think we need to make the bottom numbers the same before we add.,00:15:12
