session_id,utterance_id,role,content,timestamp
sacglje,0,background,[unclear],00:00:00
sacglje,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
sacglje,2,student,"Yes, I think so.",00:00:16
sacglje,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
sacglje,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
sacglje,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
sacglje,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
sacglje,7,tutor,Uh-huh. And what would you do next?,00:00:56
sacglje,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
sacglje,9,tutor,Can you talk me through how you got that answer?,00:01:12
sacglje,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
sacglje,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
sacglje,12,student,Maybe I should compare them as decimals first.,00:01:36
sacglje,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
sacglje,14,student,Maybe I should compare them as decimals first.,00:01:52
sacglje,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
sacglje,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
sacglje,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
sacglje,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
sacglje,19,tutor,What do you notice about these two numbers?,00:02:32
sacglje,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
sacglje,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
sacglje,22,student,Maybe I should compare them as decimals first.,00:02:56
sacglje,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
sacglje,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
sacglje,25,tutor,Can you talk me through how you got that answer?,00:03:20
sacglje,26,student,Maybe I should compare them as decimals first.,00:03:28
sacglje,27,tutor,Can you talk me through how you got that answer?,00:03:36
sacglje,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
