session_id,utterance_id,role,content,timestamp
sekcslq,0,background,[unclear],00:00:00
sekcslq,1,tutor,"Hello, are you ready to get started today?",00:00:08
sekcslq,2,student,"Yes, I think so.",00:00:16
sekcslq,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
sekcslq,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
sekcslq,5,tutor,Can you talk me through how you got that answer?,00:00:40
sekcslq,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
sekcslq,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
sekcslq,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
sekcslq,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
sekcslq,10,student,Maybe I should compare them as decimals first.,00:01:20
sekcslq,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
sekcslq,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
sekcslq,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
sekcslq,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
sekcslq,15,tutor,Can you talk me through how you got that answer?,00:02:00
sekcslq,16,student,Maybe I should compare them as decimals first.,00:02:08
sekcslq,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
sekcslq,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
sekcslq,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
sekcslq,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
sekcslq,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
sekcslq,22,student,Maybe I should compare them as decimals first.,00:02:56
sekcslq,23,tutor,Can you talk me through how you got that answer?,00:03:04
sekcslq,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
sekcslq,25,tutor,Can you talk me through how you got that answer?,00:03:20
sekcslq,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
sekcslq,27,tutor,Uh-huh. And what would you do next?,00:03:36
sekcslq,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
sekcslq,29,tutor,Can you talk me through how you got that answer?,00:03:52
sekcslq,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
sekcslq,31,tutor,What do you notice about these two numbers?,00:04:08
sekcslq,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
sekcslq,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
sekcslq,34,student,Maybe I should compare them as decimals first.,00:04:32
sekcslq,35,tutor,Can you talk me through how you got that answer?,00:04:40
sekcslq,36,student,Maybe I should compare them as decimals first.,00:04:48
sekcslq,37,tutor,Can you talk me through how you got that answer?,00:04:56
sekcslq,38,student,Is it 4?,00:05:04
sekcslq,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
sekcslq,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
sekcslq,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
sekcslq,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
sekcslq,43,tutor,What do you notice about these two numbers?,00:05:44
sekcslq,44,student,Maybe I should compare them as decimals first.,00:05:52
sekcslq,45,tutor,What do you notice about these two numbers?,00:06:00
sekcslq,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
sekcslq,47,tutor,What do you notice about these two numbers?,00:06:16
sekcslq,48,student,No,00:06:24
sekcslq,49,tutor,What do you notice about these two numbers?,00:06:32
sekcslq,50,student,Maybe I should compare them as decimals first.,00:06:40
sekcslq,51,tutor,What do you notice about these two numbers?,00:06:48
sekcslq,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
sekcslq,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
sekcslq,54,student,Okay,00:07:12
sekcslq,55,tutor,Can you talk me through how you got that answer?,00:07:20
sekcslq,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
sekcslq,57,tutor,What do you notice about these two numbers?,00:07:36
sekcslq,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
sekcslq,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
sekcslq,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
sekcslq,61,tutor,What do you notice about these two numbers?,00:08:08
sekcslq,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
sekcslq,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
sekcslq,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
sekcslq,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
sekcslq,66,student,Maybe I should compare them as decimals first.,00:08:48
sekcslq,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
sekcslq,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
sekcslq,69,tutor,Uh-huh. And what would you do next?,00:09:12
sekcslq,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
sekcslq,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
sekcslq,72,student,Maybe I should compare them as decimals first.,00:09:36
sekcslq,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
sekcslq,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
sekcslq,75,tutor,Uh-huh. And what would you do next?,00:10:00
sekcslq,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
sekcslq,77,tutor,Can you talk me through how you got that answer?,00:10:16
sekcslq,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
sekcslq,79,tutor,Uh-huh. And what would you do next?,00:10:32
sekcslq,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
sekcslq,81,tutor,What do you notice about these two numbers?,00:10:48
sekcslq,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
sekcslq,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
sekcslq,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
sekcslq,85,tutor,Can you talk me through how you got that answer?,00:11:20
sekcslq,86,student,Okay,00:11:28
sekcslq,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
sekcslq,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
sekcslq,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
sekcslq,90,student,Maybe I should compare them as decimals first.,00:12:00
sekcslq,91,tutor,What do you notice about these two numbers?,00:12:08
sekcslq,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
sekcslq,93,tutor,Can you talk me through how you got that answer?,00:12:24
sekcslq,94,student,Maybe I should compare them as decimals first.,00:12:32
sekcslq,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
sekcslq,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
sekcslq,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
sekcslq,98,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:04
sekcslq,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
sekcslq,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
sekcslq,101,tutor,Can you talk me through how you got that answer?,00:13:28
sekcslq,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
sekcslq,103,tutor,Can you talk me through how you got that answer?,00:13:44
sekcslq,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
sekcslq,105,tutor,What do you notice about these two numbers?,00:14:00
sekcslq,106,student,300?,00:14:08
