session_id,utterance_id,role,content,timestamp
mgwoqdq,0,background,[unclear],00:00:00
mgwoqdq,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
mgwoqdq,2,student,"Yes, I think so.",00:00:16
mgwoqdq,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
mgwoqdq,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
mgwoqdq,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
mgwoqdq,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
mgwoqdq,7,tutor,Uh-huh. And what would you do next?,00:00:56
mgwoqdq,8,student,Maybe I should compare them as decimals first.,00:01:04
mgwoqdq,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
mgwoqdq,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
mgwoqdq,11,tutor,Uh-huh. And what would you do next?,00:01:28
mgwoqdq,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
mgwoqdq,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
mgwoqdq,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
mgwoqdq,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
mgwoqdq,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
mgwoqdq,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
mgwoqdq,18,student,12.,00:02:24
mgwoqdq,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
mgwoqdq,20,student,300?,00:02:40
mgwoqdq,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
mgwoqdq,22,student,6?,00:02:56
mgwoqdq,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
mgwoqdq,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
mgwoqdq,25,tutor,Uh-huh. And what would you do next?,00:03:20
mgwoqdq,26,student,Is it 4?,00:03:28
mgwoqdq,27,tutor,Uh-huh. And what would you do next?,00:03:36
mgwoqdq,28,student,Okay,00:03:44
mgwoqdq,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
mgwoqdq,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
mgwoqdq,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
mgwoqdq,32,student,Okay,00:04:16
mgwoqdq,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
mgwoqdq,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
mgwoqdq,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
mgwoqdq,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
mgwoqdq,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
mgwoqdq,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
mgwoqdq,39,tutor,What do you notice about these two numbers?,00:05:12
mgwoqdq,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
mgwoqdq,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
mgwoqdq,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
mgwoqdq,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
mgwoqdq,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
mgwoqdq,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
mgwoqdq,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
mgwoqdq,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
mgwoqdq,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
mgwoqdq,49,tutor,Can you talk me through how you got that answer?,00:06:32
mgwoqdq,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
mgwoqdq,51,tutor,Uh-huh. And what would you do next?,00:06:48
mgwoqdq,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
mgwoqdq,53,tutor,What do you notice about these two numbers?,00:07:04
mgwoqdq,54,student,Is it 4?,00:07:12
mgwoqdq,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
mgwoqdq,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
mgwoqdq,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
mgwoqdq,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
mgwoqdq,59,tutor,Uh-huh. And what would you do next?,00:07:52
mgwoqdq,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
mgwoqdq,61,tutor,What do you notice about these two numbers?,00:08:08
mgwoqdq,62,student,300?,00:08:16
mgwoqdq,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
mgwoqdq,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
mgwoqdq,65,tutor,What do you notice about these two numbers?,00:08:40
mgwoqdq,66,student,Maybe I should compare them as decimals first.,00:08:48
mgwoqdq,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
mgwoqdq,68,student,Maybe I should compare them as decimals first.,00:09:04
mgwoqdq,69,tutor,Uh-huh. And what would you do next?,00:09:12
mgwoqdq,70,student,Yes,00:09:20
mgwoqdq,71,tutor,What do you notice about these two numbers?,00:09:28
mgwoqdq,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
mgwoqdq,73,tutor,Can you talk me through how you got that answer?,00:09:44
mgwoqdq,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
mgwoqdq,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
mgwoqdq,76,student,Maybe I should compare them as decimals first.,00:10:08
mgwoqdq,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
mgwoqdq,78,student,Is it 4?,00:10:24
mgwoqdq,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
mgwoqdq,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
mgwoqdq,81,tutor,Can you talk me through how you got that answer?,00:10:48
mgwoqdq,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
mgwoqdq,83,tutor,Uh-huh. And what would you do next?,00:11:04
mgwoqdq,84,student,Is it 4?,00:11:12
mgwoqdq,85,tutor,What do you notice about these two numbers?,00:11:20
mgwoqdq,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
mgwoqdq,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
mgwoqdq,88,student,75.,00:11:44
mgwoqdq,89,tutor,Can you talk me through how you got that answer?,00:11:52
mgwoqdq,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
mgwoqdq,91,tutor,What do you notice about these two numbers?,00:12:08
mgwoqdq,92,student,Maybe I should compare them as decimals first.,00:12:16
mgwoqdq,93,tutor,What do you notice about these two numbers?,00:12:24
mgwoqdq,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
mgwoqdq,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
mgwoqdq,96,student,Maybe I should compare them as decimals first.,00:12:48
