session_id,utterance_id,role,content,timestamp
qjvtvue,0,background,[unclear],00:00:00
qjvtvue,1,tutor,"Hello, are you ready to get started today?",00:00:08
qjvtvue,2,student,"Yes, I think so.",00:00:16
qjvtvue,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
qjvtvue,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
qjvtvue,5,tutor,Uh-huh. And what would you do next?,00:00:40
qjvtvue,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
qjvtvue,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
qjvtvue,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
qjvtvue,9,tutor,What do you notice about these two numbers?,00:01:12
qjvtvue,10,student,Okay,00:01:20
qjvtvue,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
qjvtvue,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
qjvtvue,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
qjvtvue,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
qjvtvue,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
qjvtvue,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
qjvtvue,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
qjvtvue,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
qjvtvue,19,tutor,What do you notice about these two numbers?,00:02:32
qjvtvue,20,student,Half?,00:02:40
qjvtvue,21,tutor,What do you notice about these two numbers?,00:02:48
qjvtvue,22,student,Maybe I should compare them as decimals first.,00:02:56
qjvtvue,23,tutor,Uh-huh. And what would you do next?,00:03:04
qjvtvue,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
qjvtvue,25,tutor,What do you notice about these two numbers?,00:03:20
qjvtvue,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
qjvtvue,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
qjvtvue,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
qjvtvue,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
qjvtvue,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
qjvtvue,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
qjvtvue,32,student,Okay,00:04:16
qjvtvue,33,tutor,Uh-huh. And what would you do next?,00:04:24
qjvtvue,34,student,Maybe I should compare them as decimals first.,00:04:32
qjvtvue,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
qjvtvue,36,student,Maybe I should compare them as decimals first.,00:04:48
qjvtvue,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
qjvtvue,38,student,Yes,00:05:04
qjvtvue,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
qjvtvue,40,student,75.,00:05:20
qjvtvue,41,tutor,What do you notice about these two numbers?,00:05:28
qjvtvue,42,student,Maybe I should compare them as decimals first.,00:05:36
qjvtvue,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
qjvtvue,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
qjvtvue,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
qjvtvue,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
qjvtvue,47,tutor,Can you talk me through how you got that answer?,00:06:16
qjvtvue,48,student,Okay,00:06:24
qjvtvue,49,tutor,What do you notice about these two numbers?,00:06:32
