session_id,utterance_id,role,content,timestamp
atjjase,0,background,[unclear],00:00:00
atjjase,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
atjjase,2,student,"Yes, I think so.",00:00:16
atjjase,3,tutor,Uh-huh. And what would you do next?,00:00:24
atjjase,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
atjjase,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
atjjase,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
atjjase,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
atjjase,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
atjjase,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
atjjase,10,student,No,00:01:20
atjjase,11,tutor,Can you talk me through how you got that answer?,00:01:28
atjjase,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
atjjase,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
atjjase,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
atjjase,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
atjjase,16,student,Is it 4?,00:02:08
atjjase,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
atjjase,18,student,Okay,00:02:24
atjjase,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
atjjase,20,student,Maybe I should compare them as decimals first.,00:02:40
atjjase,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
atjjase,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
atjjase,23,tutor,Can you talk me through how you got that answer?,00:03:04
atjjase,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
atjjase,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
atjjase,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
atjjase,27,tutor,Uh-huh. And what would you do next?,00:03:36
atjjase,28,student,12.,00:03:44
atjjase,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
atjjase,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
atjjase,31,tutor,Can you talk me through how you got that answer?,00:04:08
