session_id,utterance_id,role,content,timestamp
diqgxxj,0,background,[unclear],00:00:00
diqgxxj,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
diqgxxj,2,student,"Yes, I think so.",00:00:16
diqgxxj,3,tutor,Uh-huh. And what would you do next?,00:00:24
diqgxxj,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
diqgxxj,5,tutor,Can you talk me through how you got that answer?,00:00:40
diqgxxj,6,student,Yes,00:00:48
diqgxxj,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
diqgxxj,8,student,6?,00:01:04
diqgxxj,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
diqgxxj,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
diqgxxj,11,tutor,Uh-huh. And what would you do next?,00:01:28
diqgxxj,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
diqgxxj,13,tutor,Uh-huh. And what would you do next?,00:01:44
diqgxxj,14,student,12.,00:01:52
diqgxxj,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
diqgxxj,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
diqgxxj,17,tutor,Can you talk me through how you got that answer?,00:02:16
diqgxxj,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
diqgxxj,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
diqgxxj,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
diqgxxj,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
diqgxxj,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
diqgxxj,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
diqgxxj,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
diqgxxj,25,tutor,Uh-huh. And what would you do next?,00:03:20
diqgxxj,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
diqgxxj,27,tutor,What do you notice about these two numbers?,00:03:36
diqgxxj,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
diqgxxj,29,tutor,Uh-huh. And what would you do next?,00:03:52
diqgxxj,30,student,Maybe I should compare them as decimals first.,00:04:00
diqgxxj,31,tutor,What do you notice about these two numbers?,00:04:08
diqgxxj,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
diqgxxj,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
diqgxxj,34,student,12.,00:04:32
diqgxxj,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
diqgxxj,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
diqgxxj,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
diqgxxj,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
diqgxxj,39,tutor,Uh-huh. And what would you do next?,00:05:12
diqgxxj,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
diqgxxj,41,tutor,Can you talk me through how you got that answer?,00:05:28
diqgxxj,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
diqgxxj,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
diqgxxj,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
diqgxxj,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
diqgxxj,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
diqgxxj,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
diqgxxj,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
diqgxxj,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
diqgxxj,50,student,Maybe I should compare them as decimals first.,00:06:40
diqgxxj,51,tutor,What do you notice about these two numbers?,00:06:48
diqgxxj,52,student,Maybe I should compare them as decimals first.,00:06:56
diqgxxj,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
diqgxxj,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
diqgxxj,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
diqgxxj,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
diqgxxj,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
diqgxxj,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
diqgxxj,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
diqgxxj,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
diqgxxj,61,tutor,Uh-huh. And what would you do next?,00:08:08
diqgxxj,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
diqgxxj,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
diqgxxj,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
diqgxxj,65,tutor,What do you notice about these two numbers?,00:08:40
diqgxxj,66,student,Maybe I should compare them as decimals first.,00:08:48
diqgxxj,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
diqgxxj,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
diqgxxj,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
diqgxxj,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
diqgxxj,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
diqgxxj,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
diqgxxj,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
diqgxxj,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
diqgxxj,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
