session_id,utterance_id,role,content,timestamp
mvdvxri,0,background,[unclear],00:00:00
mvdvxri,1,tutor,"Hello, are you ready to get started today?",00:00:08
mvdvxri,2,student,"Yes, I think so.",00:00:16
mvdvxri,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
mvdvxri,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
mvdvxri,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
mvdvxri,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
mvdvxri,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
mvdvxri,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
mvdvxri,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
mvdvxri,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
mvdvxri,11,tutor,Can you talk me through how you got that answer?,00:01:28
mvdvxri,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
mvdvxri,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
mvdvxri,14,student,75.,00:01:52
mvdvxri,15,tutor,Can you talk me through how you got that answer?,00:02:00
mvdvxri,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
mvdvxri,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
mvdvxri,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
mvdvxri,19,tutor,Uh-huh. And what would you do next?,00:02:32
mvdvxri,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
mvdvxri,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
mvdvxri,22,student,Is it 4?,00:02:56
mvdvxri,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
mvdvxri,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
mvdvxri,25,tutor,Can you talk me through how you got that answer?,00:03:20
mvdvxri,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
mvdvxri,27,tutor,What do you notice about these two numbers?,00:03:36
mvdvxri,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
mvdvxri,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
mvdvxri,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
mvdvxri,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
mvdvxri,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
mvdvxri,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
mvdvxri,34,student,Half?,00:04:32
mvdvxri,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
mvdvxri,36,student,Okay,00:04:48
mvdvxri,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
mvdvxri,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
mvdvxri,39,tutor,Uh-huh. And what would you do next?,00:05:12
mvdvxri,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
mvdvxri,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
mvdvxri,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
mvdvxri,43,tutor,What do you notice about these two numbers?,00:05:44
mvdvxri,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
mvdvxri,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
mvdvxri,46,student,300?,00:06:08
mvdvxri,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
mvdvxri,48,student,Maybe I should compare them as decimals first.,00:06:24
mvdvxri,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
mvdvxri,50,student,Half?,00:06:40
mvdvxri,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
mvdvxri,52,student,Maybe I should compare them as decimals first.,00:06:56
mvdvxri,53,tutor,Uh-huh. And what would you do next?,00:07:04
mvdvxri,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
mvdvxri,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
mvdvxri,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
mvdvxri,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
mvdvxri,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
mvdvxri,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
mvdvxri,60,student,6?,00:08:00
mvdvxri,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
mvdvxri,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
mvdvxri,63,tutor,Can you talk me through how you got that answer?,00:08:24
mvdvxri,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
mvdvxri,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
mvdvxri,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
mvdvxri,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
mvdvxri,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
mvdvxri,69,tutor,Can you talk me through how you got that answer?,00:09:12
mvdvxri,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
mvdvxri,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
mvdvxri,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
mvdvxri,73,tutor,Uh-huh. And what would you do next?,00:09:44
mvdvxri,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
mvdvxri,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
mvdvxri,76,student,300?,00:10:08
mvdvxri,77,tutor,Can you talk me through how you got that answer?,00:10:16
mvdvxri,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
mvdvxri,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
