session_id,utterance_id,role,content,timestamp
euzxnvv,0,background,[unclear],00:00:00
euzxnvv,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
euzxnvv,2,student,"Yes, I think so.",00:00:16
euzxnvv,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
euzxnvv,4,student,300?,00:00:32
euzxnvv,5,tutor,Uh-huh. And what would you do next?,00:00:40
euzxnvv,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
euzxnvv,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
euzxnvv,8,student,Maybe I should compare them as decimals first.,00:01:04
euzxnvv,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
euzxnvv,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
euzxnvv,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
euzxnvv,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
euzxnvv,13,tutor,What do you notice about these two numbers?,00:01:44
euzxnvv,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
euzxnvv,15,tutor,Uh-huh. And what would you do next?,00:02:00
euzxnvv,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
euzxnvv,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
euzxnvv,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
euzxnvv,19,tutor,What do you notice about these two numbers?,00:02:32
euzxnvv,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
euzxnvv,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
euzxnvv,22,student,6?,00:02:56
euzxnvv,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
euzxnvv,24,student,12.,00:03:12
euzxnvv,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
euzxnvv,26,student,Maybe I should compare them as decimals first.,00:03:28
euzxnvv,27,tutor,What do you notice about these two numbers?,00:03:36
euzxnvv,28,student,6?,00:03:44
euzxnvv,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
euzxnvv,30,student,Is it 4?,00:04:00
euzxnvv,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
euzxnvv,32,student,No,00:04:16
euzxnvv,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
euzxnvv,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
euzxnvv,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
euzxnvv,36,student,6?,00:04:48
euzxnvv,37,tutor,Can you talk me through how you got that answer?,00:04:56
euzxnvv,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
euzxnvv,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
euzxnvv,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
euzxnvv,41,tutor,What do you notice about these two numbers?,00:05:28
euzxnvv,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
