session_id,utterance_id,role,content,timestamp
aogweqn,0,background,[unclear],00:00:00
aogweqn,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
aogweqn,2,student,"Yes, I think so.",00:00:16
aogweqn,3,tutor,Can you talk me through how you got that answer?,00:00:24
aogweqn,4,student,Maybe I should compare them as decimals first.,00:00:32
aogweqn,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
aogweqn,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
aogweqn,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
aogweqn,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
aogweqn,9,tutor,What do you notice about these two numbers?,00:01:12
aogweqn,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
aogweqn,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
aogweqn,12,student,Maybe I should compare them as decimals first.,00:01:36
aogweqn,13,tutor,Can you talk me through how you got that answer?,00:01:44
aogweqn,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
aogweqn,15,tutor,Uh-huh. And what would you do next?,00:02:00
aogweqn,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
aogweqn,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
aogweqn,18,student,75.,00:02:24
aogweqn,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
aogweqn,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
aogweqn,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
aogweqn,22,student,Maybe I should compare them as decimals first.,00:02:56
aogweqn,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
aogweqn,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
aogweqn,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
aogweqn,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
aogweqn,27,tutor,What do you notice about these two numbers?,00:03:36
aogweqn,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
aogweqn,29,tutor,Can you talk me through how you got that answer?,00:03:52
aogweqn,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
aogweqn,31,tutor,Can you talk me through how you got that answer?,00:04:08
aogweqn,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
aogweqn,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
aogweqn,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
aogweqn,35,tutor,What do you notice about these two numbers?,00:04:40
aogweqn,36,student,Maybe I should compare them as decimals first.,00:04:48
aogweqn,37,tutor,Can you talk me through how you got that answer?,00:04:56
aogweqn,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
aogweqn,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
aogweqn,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
aogweqn,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
aogweqn,42,student,Half?,00:05:36
aogweqn,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
aogweqn,44,student,Maybe I should compare them as decimals first.,00:05:52
aogweqn,45,tutor,Uh-huh. And what would you do next?,00:06:00
aogweqn,46,student,Okay,00:06:08
aogweqn,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
aogweqn,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
aogweqn,49,tutor,Can you talk me through how you got that answer?,00:06:32
aogweqn,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
aogweqn,51,tutor,Can you talk me through how you got that answer?,00:06:48
aogweqn,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
aogweqn,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
aogweqn,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
aogweqn,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
aogweqn,56,student,12.,00:07:28
aogweqn,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
aogweqn,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
aogweqn,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
aogweqn,60,student,Half?,00:08:00
aogweqn,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
aogweqn,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
aogweqn,63,tutor,Uh-huh. And what would you do next?,00:08:24
aogweqn,64,student,Maybe I should compare them as decimals first.,00:08:32
aogweqn,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
aogweqn,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
aogweqn,67,tutor,Uh-huh. And what would you do next?,00:08:56
aogweqn,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
aogweqn,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
aogweqn,70,student,6?,00:09:20
aogweqn,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
aogweqn,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
aogweqn,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
aogweqn,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
aogweqn,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
aogweqn,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
aogweqn,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
aogweqn,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
aogweqn,79,tutor,Uh-huh. And what would you do next?,00:10:32
aogweqn,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
aogweqn,81,tutor,Uh-huh. And what would you do next?,00:10:48
aogweqn,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
aogweqn,83,tutor,Uh-huh. And what would you do next?,00:11:04
aogweqn,84,student,Maybe I should compare them as decimals first.,00:11:12
aogweqn,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
aogweqn,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
aogweqn,87,tutor,Uh-huh. And what would you do next?,00:11:36
aogweqn,88,student,Maybe I should compare them as decimals first.,00:11:44
aogweqn,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
aogweqn,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
aogweqn,91,tutor,What do you notice about these two numbers?,00:12:08
aogweqn,92,student,I'm not sure. Is it because 10 has one zero?,00:12:16
aogweqn,93,tutor,Uh-huh. And what would you do next?,00:12:24
aogweqn,94,student,Maybe I should compare them as decimals first.,00:12:32
aogweqn,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
aogweqn,96,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:48
aogweqn,97,tutor,Can you talk me through how you got that answer?,00:12:56
aogweqn,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
aogweqn,99,tutor,Uh-huh. And what would you do next?,00:13:12
aogweqn,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
aogweqn,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
aogweqn,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
aogweqn,103,tutor,Can you talk me through how you got that answer?,00:13:44
aogweqn,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
aogweqn,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
aogweqn,106,student,Maybe I should compare them as decimals first.,00:14:08
aogweqn,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
aogweqn,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
aogweqn,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
aogweqn,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
aogweqn,111,tutor,Remember what we said about the denominator. What happens here?,00:14:48
aogweqn,112,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:56
