session_id,utterance_id,role,content,timestamp
pwhdcpr,0,background,[unclear],00:00:00
pwhdcpr,1,tutor,"Hello, are you ready to get started today?",00:00:08
pwhdcpr,2,student,"Yes, I think so.",00:00:16
pwhdcpr,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
pwhdcpr,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
pwhdcpr,5,tutor,What do you notice about these two numbers?,00:00:40
pwhdcpr,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
pwhdcpr,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
pwhdcpr,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
pwhdcpr,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
pwhdcpr,10,student,Maybe I should compare them as decimals first.,00:01:20
pwhdcpr,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
pwhdcpr,12,student,Half?,00:01:36
pwhdcpr,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
pwhdcpr,14,student,Maybe I should compare them as decimals first.,00:01:52
pwhdcpr,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
pwhdcpr,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
pwhdcpr,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
pwhdcpr,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
pwhdcpr,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
pwhdcpr,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
pwhdcpr,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
pwhdcpr,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
pwhdcpr,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
pwhdcpr,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
pwhdcpr,25,tutor,Can you talk me through how you got that answer?,00:03:20
pwhdcpr,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
pwhdcpr,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
pwhdcpr,28,student,300?,00:03:44
pwhdcpr,29,tutor,Uh-huh. And what would you do next?,00:03:52
pwhdcpr,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
pwhdcpr,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
pwhdcpr,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
pwhdcpr,33,tutor,Can you talk me through how you got that answer?,00:04:24
pwhdcpr,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
pwhdcpr,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
pwhdcpr,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
pwhdcpr,37,tutor,What do you notice about these two numbers?,00:04:56
pwhdcpr,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
pwhdcpr,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
pwhdcpr,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
pwhdcpr,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
pwhdcpr,42,student,Maybe I should compare them as decimals first.,00:05:36
pwhdcpr,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
pwhdcpr,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
pwhdcpr,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
pwhdcpr,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
pwhdcpr,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
pwhdcpr,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
pwhdcpr,49,tutor,Can you talk me through how you got that answer?,00:06:32
pwhdcpr,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
pwhdcpr,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
pwhdcpr,52,student,Half?,00:06:56
pwhdcpr,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
pwhdcpr,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
pwhdcpr,55,tutor,What do you notice about these two numbers?,00:07:20
pwhdcpr,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
pwhdcpr,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
pwhdcpr,58,student,Maybe I should compare them as decimals first.,00:07:44
pwhdcpr,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
pwhdcpr,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
pwhdcpr,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
pwhdcpr,62,student,Maybe I should compare them as decimals first.,00:08:16
pwhdcpr,63,tutor,Can you talk me through how you got that answer?,00:08:24
pwhdcpr,64,student,Maybe I should compare them as decimals first.,00:08:32
pwhdcpr,65,tutor,What do you notice about these two numbers?,00:08:40
pwhdcpr,66,student,6?,00:08:48
pwhdcpr,67,tutor,Uh-huh. And what would you do next?,00:08:56
pwhdcpr,68,student,Maybe I should compare them as decimals first.,00:09:04
pwhdcpr,69,tutor,What do you notice about these two numbers?,00:09:12
pwhdcpr,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
pwhdcpr,71,tutor,Uh-huh. And what would you do next?,00:09:28
pwhdcpr,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
pwhdcpr,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
pwhdcpr,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
pwhdcpr,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
pwhdcpr,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
pwhdcpr,77,tutor,Uh-huh. And what would you do next?,00:10:16
pwhdcpr,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
pwhdcpr,79,tutor,Uh-huh. And what would you do next?,00:10:32
pwhdcpr,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
pwhdcpr,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
pwhdcpr,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
pwhdcpr,83,tutor,Uh-huh. And what would you do next?,00:11:04
pwhdcpr,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
pwhdcpr,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
pwhdcpr,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
pwhdcpr,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
pwhdcpr,88,student,Maybe I should compare them as decimals first.,00:11:44
pwhdcpr,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
pwhdcpr,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
pwhdcpr,91,tutor,Uh-huh. And what would you do next?,00:12:08
pwhdcpr,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
pwhdcpr,93,tutor,Can you talk me through how you got that answer?,00:12:24
pwhdcpr,94,student,No,00:12:32
pwhdcpr,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
pwhdcpr,96,student,Maybe I should compare them as decimals first.,00:12:48
pwhdcpr,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
pwhdcpr,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
pwhdcpr,99,tutor,Can you talk me through how you got that answer?,00:13:12
pwhdcpr,100,student,Maybe I should compare them as decimals first.,00:13:20
pwhdcpr,101,tutor,What do you notice about these two numbers?,00:13:28
pwhdcpr,102,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:36
pwhdcpr,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
pwhdcpr,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
pwhdcpr,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
pwhdcpr,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
pwhdcpr,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
pwhdcpr,108,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:24
pwhdcpr,109,tutor,Can you talk me through how you got that answer?,00:14:32
pwhdcpr,110,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:40
pwhdcpr,111,tutor,Can you talk me through how you got that answer?,00:14:48
pwhdcpr,112,student,Half?,00:14:56
pwhdcpr,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
pwhdcpr,114,student,Maybe I should compare them as decimals first.,00:15:12
pwhdcpr,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
pwhdcpr,116,student,Maybe I should compare them as decimals first.,00:15:28
pwhdcpr,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
pwhdcpr,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
pwhdcpr,119,tutor,Can you talk me through how you got that answer?,00:15:52
pwhdcpr,120,student,I'm not sure. Is it because 10 has one zero?,00:16:00
pwhdcpr,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
pwhdcpr,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
pwhdcpr,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
pwhdcpr,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
pwhdcpr,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
pwhdcpr,126,student,I think we need to make the bottom numbers the same before we add.,00:16:48
pwhdcpr,127,tutor,What do you notice about these two numbers?,00:16:56
pwhdcpr,128,student,Maybe I should compare them as decimals first.,00:17:04
pwhdcpr,129,tutor,Remember what we said about the denominator. What happens here?,00:17:12
pwhdcpr,130,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:20
pwhdcpr,131,tutor,Can you talk me through how you got that answer?,00:17:28
pwhdcpr,132,student,Maybe I should compare them as decimals first.,00:17:36
pwhdcpr,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
pwhdcpr,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
pwhdcpr,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
pwhdcpr,136,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:08
pwhdcpr,137,tutor,Uh-huh. And what would you do next?,00:18:16
pwhdcpr,138,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:24
pwhdcpr,139,tutor,Uh-huh. And what would you do next?,00:18:32
pwhdcpr,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
pwhdcpr,141,tutor,Remember what we said about the denominator. What happens here?,00:18:48
