session_id,utterance_id,role,content,timestamp
wbtgnwm,0,background,[unclear],00:00:00
wbtgnwm,1,tutor,"Hello, are you ready to get started today?",00:00:08
wbtgnwm,2,student,"Yes, I think so.",00:00:16
wbtgnwm,3,tutor,Uh-huh. And what would you do next?,00:00:24
wbtgnwm,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
wbtgnwm,5,tutor,Can you talk me through how you got that answer?,00:00:40
wbtgnwm,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
wbtgnwm,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
wbtgnwm,8,student,No,00:01:04
wbtgnwm,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
wbtgnwm,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
wbtgnwm,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
wbtgnwm,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
wbtgnwm,13,tutor,Can you talk me through how you got that answer?,00:01:44
wbtgnwm,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
wbtgnwm,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
wbtgnwm,16,student,Maybe I should compare them as decimals first.,00:02:08
wbtgnwm,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
wbtgnwm,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
wbtgnwm,19,tutor,Can you talk me through how you got that answer?,00:02:32
wbtgnwm,20,student,Maybe I should compare them as decimals first.,00:02:40
wbtgnwm,21,tutor,Can you talk me through how you got that answer?,00:02:48
wbtgnwm,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
wbtgnwm,23,tutor,What do you notice about these two numbers?,00:03:04
wbtgnwm,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
wbtgnwm,25,tutor,What do you notice about these two numbers?,00:03:20
wbtgnwm,26,student,Maybe I should compare them as decimals first.,00:03:28
wbtgnwm,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
wbtgnwm,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
wbtgnwm,29,tutor,Uh-huh. And what would you do next?,00:03:52
wbtgnwm,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
wbtgnwm,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
wbtgnwm,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
wbtgnwm,33,tutor,Can you talk me through how you got that answer?,00:04:24
wbtgnwm,34,student,Half?,00:04:32
wbtgnwm,35,tutor,Uh-huh. And what would you do next?,00:04:40
wbtgnwm,36,student,Okay,00:04:48
wbtgnwm,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
wbtgnwm,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
wbtgnwm,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
wbtgnwm,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
wbtgnwm,41,tutor,Uh-huh. And what would you do next?,00:05:28
wbtgnwm,42,student,300?,00:05:36
wbtgnwm,43,tutor,Can you talk me through how you got that answer?,00:05:44
wbtgnwm,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
wbtgnwm,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
wbtgnwm,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
wbtgnwm,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
wbtgnwm,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
wbtgnwm,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
wbtgnwm,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
wbtgnwm,51,tutor,What do you notice about these two numbers?,00:06:48
wbtgnwm,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
wbtgnwm,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
wbtgnwm,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
wbtgnwm,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
wbtgnwm,56,student,Maybe I should compare them as decimals first.,00:07:28
wbtgnwm,57,tutor,What do you notice about these two numbers?,00:07:36
wbtgnwm,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
wbtgnwm,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
wbtgnwm,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
wbtgnwm,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
wbtgnwm,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
wbtgnwm,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
wbtgnwm,64,student,300?,00:08:32
wbtgnwm,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
wbtgnwm,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
wbtgnwm,67,tutor,What do you notice about these two numbers?,00:08:56
wbtgnwm,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
wbtgnwm,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
wbtgnwm,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
wbtgnwm,71,tutor,Uh-huh. And what would you do next?,00:09:28
wbtgnwm,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
wbtgnwm,73,tutor,Uh-huh. And what would you do next?,00:09:44
wbtgnwm,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
wbtgnwm,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
wbtgnwm,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
wbtgnwm,77,tutor,What do you notice about these two numbers?,00:10:16
wbtgnwm,78,student,75.,00:10:24
wbtgnwm,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
wbtgnwm,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
wbtgnwm,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
wbtgnwm,82,student,Is it 4?,00:10:56
wbtgnwm,83,tutor,What do you notice about these two numbers?,00:11:04
wbtgnwm,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
wbtgnwm,85,tutor,Can you talk me through how you got that answer?,00:11:20
wbtgnwm,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
wbtgnwm,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
wbtgnwm,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
wbtgnwm,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
wbtgnwm,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
wbtgnwm,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
wbtgnwm,92,student,300?,00:12:16
wbtgnwm,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
wbtgnwm,94,student,Yes,00:12:32
wbtgnwm,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
wbtgnwm,96,student,No,00:12:48
wbtgnwm,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
wbtgnwm,98,student,12.,00:13:04
wbtgnwm,99,tutor,Uh-huh. And what would you do next?,00:13:12
wbtgnwm,100,student,6?,00:13:20
wbtgnwm,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
wbtgnwm,102,student,I think we need to make the bottom numbers the same before we add.,00:13:36
wbtgnwm,103,tutor,Remember what we said about the denominator. What happens here?,00:13:44
wbtgnwm,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
wbtgnwm,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
wbtgnwm,106,student,Maybe I should compare them as decimals first.,00:14:08
wbtgnwm,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
wbtgnwm,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
wbtgnwm,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
wbtgnwm,110,student,Maybe I should compare them as decimals first.,00:14:40
wbtgnwm,111,tutor,Can you talk me through how you got that answer?,00:14:48
wbtgnwm,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
