session_id,utterance_id,role,content,timestamp
bvwnbvh,0,background,[unclear],00:00:00
bvwnbvh,1,tutor,"Hello, are you ready to get started today?",00:00:08
bvwnbvh,2,student,"Yes, I think so.",00:00:16
bvwnbvh,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
bvwnbvh,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
bvwnbvh,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
bvwnbvh,6,student,Half?,00:00:48
bvwnbvh,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
bvwnbvh,8,student,300?,00:01:04
bvwnbvh,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
bvwnbvh,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
bvwnbvh,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
bvwnbvh,12,student,Maybe I should compare them as decimals first.,00:01:36
bvwnbvh,13,tutor,What do you notice about these two numbers?,00:01:44
bvwnbvh,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
bvwnbvh,15,tutor,What do you notice about these two numbers?,00:02:00
bvwnbvh,16,student,Maybe I should compare them as decimals first.,00:02:08
bvwnbvh,17,tutor,Uh-huh. And what would you do next?,00:02:16
bvwnbvh,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
bvwnbvh,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
bvwnbvh,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
bvwnbvh,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
bvwnbvh,22,student,Maybe I should compare them as decimals first.,00:02:56
bvwnbvh,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
bvwnbvh,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
bvwnbvh,25,tutor,What do you notice about these two numbers?,00:03:20
bvwnbvh,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
bvwnbvh,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
bvwnbvh,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
bvwnbvh,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
bvwnbvh,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
bvwnbvh,31,tutor,What do you notice about these two numbers?,00:04:08
bvwnbvh,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
bvwnbvh,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
bvwnbvh,34,student,Maybe I should compare them as decimals first.,00:04:32
bvwnbvh,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
bvwnbvh,36,student,75.,00:04:48
bvwnbvh,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
bvwnbvh,38,student,Maybe I should compare them as decimals first.,00:05:04
bvwnbvh,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
bvwnbvh,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
bvwnbvh,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
bvwnbvh,42,student,Maybe I should compare them as decimals first.,00:05:36
bvwnbvh,43,tutor,Uh-huh. And what would you do next?,00:05:44
bvwnbvh,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
bvwnbvh,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
bvwnbvh,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
bvwnbvh,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
bvwnbvh,48,student,Maybe I should compare them as decimals first.,00:06:24
bvwnbvh,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
bvwnbvh,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
bvwnbvh,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
bvwnbvh,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
bvwnbvh,53,tutor,Uh-huh. And what would you do next?,00:07:04
bvwnbvh,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
bvwnbvh,55,tutor,Uh-huh. And what would you do next?,00:07:20
bvwnbvh,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
bvwnbvh,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
bvwnbvh,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
bvwnbvh,59,tutor,What do you notice about these two numbers?,00:07:52
bvwnbvh,60,student,Okay,00:08:00
bvwnbvh,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
bvwnbvh,62,student,Maybe I should compare them as decimals first.,00:08:16
bvwnbvh,63,tutor,What do you notice about these two numbers?,00:08:24
bvwnbvh,64,student,Maybe I should compare them as decimals first.,00:08:32
