session_id,utterance_id,role,content,timestamp
dwiyjwn,0,background,[unclear],00:00:00
dwiyjwn,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
dwiyjwn,2,student,"Yes, I think so.",00:00:16
dwiyjwn,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
dwiyjwn,4,student,6?,00:00:32
dwiyjwn,5,tutor,What do you notice about these two numbers?,00:00:40
dwiyjwn,6,student,Maybe I should compare them as decimals first.,00:00:48
dwiyjwn,7,tutor,Uh-huh. And what would you do next?,00:00:56
dwiyjwn,8,student,75.,00:01:04
dwiyjwn,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
dwiyjwn,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
dwiyjwn,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
dwiyjwn,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
dwiyjwn,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
dwiyjwn,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
dwiyjwn,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
dwiyjwn,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
dwiyjwn,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
dwiyjwn,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
dwiyjwn,19,tutor,What do you notice about these two numbers?,00:02:32
dwiyjwn,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
dwiyjwn,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
dwiyjwn,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
dwiyjwn,23,tutor,What do you notice about these two numbers?,00:03:04
dwiyjwn,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
dwiyjwn,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
dwiyjwn,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
dwiyjwn,27,tutor,Can you talk me through how you got that answer?,00:03:36
dwiyjwn,28,student,12.,00:03:44
dwiyjwn,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
dwiyjwn,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
dwiyjwn,31,tutor,Uh-huh. And what would you do next?,00:04:08
dwiyjwn,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
dwiyjwn,33,tutor,Uh-huh. And what would you do next?,00:04:24
dwiyjwn,34,student,Is it 4?,00:04:32
dwiyjwn,35,tutor,What do you notice about these two numbers?,00:04:40
dwiyjwn,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
dwiyjwn,37,tutor,What do you notice about these two numbers?,00:04:56
dwiyjwn,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
dwiyjwn,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
dwiyjwn,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
dwiyjwn,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
dwiyjwn,42,student,Maybe I should compare them as decimals first.,00:05:36
dwiyjwn,43,tutor,What do you notice about these two numbers?,00:05:44
dwiyjwn,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
dwiyjwn,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
dwiyjwn,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
dwiyjwn,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
dwiyjwn,48,student,Yes,00:06:24
dwiyjwn,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
dwiyjwn,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
dwiyjwn,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
dwiyjwn,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
dwiyjwn,53,tutor,Uh-huh. And what would you do next?,00:07:04
dwiyjwn,54,student,Maybe I should compare them as decimals first.,00:07:12
dwiyjwn,55,tutor,What do you notice about these two numbers?,00:07:20
dwiyjwn,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
dwiyjwn,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
dwiyjwn,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
dwiyjwn,59,tutor,Uh-huh. And what would you do next?,00:07:52
dwiyjwn,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
dwiyjwn,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
dwiyjwn,62,student,Maybe I should compare them as decimals first.,00:08:16
dwiyjwn,63,tutor,Uh-huh. And what would you do next?,00:08:24
dwiyjwn,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
dwiyjwn,65,tutor,Uh-huh. And what would you do next?,00:08:40
dwiyjwn,66,student,Okay,00:08:48
dwiyjwn,67,tutor,What do you notice about these two numbers?,00:08:56
dwiyjwn,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
dwiyjwn,69,tutor,What do you notice about these two numbers?,00:09:12
dwiyjwn,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
dwiyjwn,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
dwiyjwn,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
dwiyjwn,73,tutor,Uh-huh. And what would you do next?,00:09:44
dwiyjwn,74,student,Maybe I should compare them as decimals first.,00:09:52
dwiyjwn,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
dwiyjwn,76,student,300?,00:10:08
dwiyjwn,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
dwiyjwn,78,student,12.,00:10:24
dwiyjwn,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
dwiyjwn,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
dwiyjwn,81,tutor,What do you notice about these two numbers?,00:10:48
dwiyjwn,82,student,75.,00:10:56
dwiyjwn,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
dwiyjwn,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
dwiyjwn,85,tutor,Uh-huh. And what would you do next?,00:11:20
dwiyjwn,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
dwiyjwn,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
dwiyjwn,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
dwiyjwn,89,tutor,Uh-huh. And what would you do next?,00:11:52
dwiyjwn,90,student,Half?,00:12:00
dwiyjwn,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
dwiyjwn,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
dwiyjwn,93,tutor,Can you talk me through how you got that answer?,00:12:24
dwiyjwn,94,student,6?,00:12:32
dwiyjwn,95,tutor,What do you notice about these two numbers?,00:12:40
dwiyjwn,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
dwiyjwn,97,tutor,Uh-huh. And what would you do next?,00:12:56
dwiyjwn,98,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:04
dwiyjwn,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
dwiyjwn,100,student,Maybe I should compare them as decimals first.,00:13:20
dwiyjwn,101,tutor,What do you notice about these two numbers?,00:13:28
dwiyjwn,102,student,I think we need to make the bottom numbers the same before we add.,00:13:36
dwiyjwn,103,tutor,Uh-huh. And what would you do next?,00:13:44
dwiyjwn,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
dwiyjwn,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
dwiyjwn,106,student,Maybe I should compare them as decimals first.,00:14:08
dwiyjwn,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
dwiyjwn,108,student,No,00:14:24
dwiyjwn,109,tutor,Can you talk me through how you got that answer?,00:14:32
dwiyjwn,110,student,Maybe I should compare them as decimals first.,00:14:40
dwiyjwn,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
dwiyjwn,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
dwiyjwn,113,tutor,Uh-huh. And what would you do next?,00:15:04
dwiyjwn,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
dwiyjwn,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
dwiyjwn,116,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:28
dwiyjwn,117,tutor,Can you talk me through how you got that answer?,00:15:36
dwiyjwn,118,student,Is it 4?,00:15:44
dwiyjwn,119,tutor,Can you talk me through how you got that answer?,00:15:52
dwiyjwn,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
