session_id,utterance_id,role,content,timestamp
dbvxdte,0,background,[unclear],00:00:00
dbvxdte,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
dbvxdte,2,student,"Yes, I think so.",00:00:16
dbvxdte,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
dbvxdte,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
dbvxdte,5,tutor,Uh-huh. And what would you do next?,00:00:40
dbvxdte,6,student,Is it 4?,00:00:48
dbvxdte,7,tutor,Can you talk me through how you got that answer?,00:00:56
dbvxdte,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
dbvxdte,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
dbvxdte,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
dbvxdte,11,tutor,Can you talk me through how you got that answer?,00:01:28
dbvxdte,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
dbvxdte,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
dbvxdte,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
dbvxdte,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
dbvxdte,16,student,300?,00:02:08
dbvxdte,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
dbvxdte,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
dbvxdte,19,tutor,What do you notice about these two numbers?,00:02:32
dbvxdte,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
dbvxdte,21,tutor,Uh-huh. And what would you do next?,00:02:48
dbvxdte,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
dbvxdte,23,tutor,Can you talk me through how you got that answer?,00:03:04
dbvxdte,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
dbvxdte,25,tutor,Can you talk me through how you got that answer?,00:03:20
dbvxdte,26,student,Maybe I should compare them as decimals first.,00:03:28
dbvxdte,27,tutor,Can you talk me through how you got that answer?,00:03:36
dbvxdte,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
dbvxdte,29,tutor,What do you notice about these two numbers?,00:03:52
dbvxdte,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
dbvxdte,31,tutor,Can you talk me through how you got that answer?,00:04:08
dbvxdte,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
dbvxdte,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
dbvxdte,34,student,Is it 4?,00:04:32
dbvxdte,35,tutor,Uh-huh. And what would you do next?,00:04:40
dbvxdte,36,student,Maybe I should compare them as decimals first.,00:04:48
dbvxdte,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
dbvxdte,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
dbvxdte,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
dbvxdte,40,student,Half?,00:05:20
dbvxdte,41,tutor,Uh-huh. And what would you do next?,00:05:28
dbvxdte,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
dbvxdte,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
dbvxdte,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
dbvxdte,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
dbvxdte,46,student,75.,00:06:08
dbvxdte,47,tutor,Uh-huh. And what would you do next?,00:06:16
dbvxdte,48,student,Maybe I should compare them as decimals first.,00:06:24
dbvxdte,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
dbvxdte,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
dbvxdte,51,tutor,Uh-huh. And what would you do next?,00:06:48
dbvxdte,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
dbvxdte,53,tutor,What do you notice about these two numbers?,00:07:04
dbvxdte,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
dbvxdte,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
dbvxdte,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
dbvxdte,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
dbvxdte,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
dbvxdte,59,tutor,Can you talk me through how you got that answer?,00:07:52
dbvxdte,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
dbvxdte,61,tutor,What do you notice about these two numbers?,00:08:08
dbvxdte,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
dbvxdte,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
dbvxdte,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
dbvxdte,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
dbvxdte,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
dbvxdte,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
dbvxdte,68,student,Half?,00:09:04
dbvxdte,69,tutor,Can you talk me through how you got that answer?,00:09:12
dbvxdte,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
dbvxdte,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
dbvxdte,72,student,Half?,00:09:36
dbvxdte,73,tutor,Uh-huh. And what would you do next?,00:09:44
dbvxdte,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
dbvxdte,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
dbvxdte,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
dbvxdte,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
dbvxdte,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
dbvxdte,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
dbvxdte,80,student,6?,00:10:40
dbvxdte,81,tutor,Uh-huh. And what would you do next?,00:10:48
dbvxdte,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
dbvxdte,83,tutor,Can you talk me through how you got that answer?,00:11:04
dbvxdte,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
dbvxdte,85,tutor,Uh-huh. And what would you do next?,00:11:20
dbvxdte,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
dbvxdte,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
dbvxdte,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
dbvxdte,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
dbvxdte,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
dbvxdte,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
dbvxdte,92,student,Maybe I should compare them as decimals first.,00:12:16
dbvxdte,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
dbvxdte,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
dbvxdte,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
dbvxdte,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
dbvxdte,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
dbvxdte,98,student,Is it 4?,00:13:04
dbvxdte,99,tutor,Uh-huh. And what would you do next?,00:13:12
dbvxdte,100,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:20
dbvxdte,101,tutor,Uh-huh. And what would you do next?,00:13:28
dbvxdte,102,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:36
dbvxdte,103,tutor,What do you notice about these two numbers?,00:13:44
dbvxdte,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
dbvxdte,105,tutor,What do you notice about these two numbers?,00:14:00
dbvxdte,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
dbvxdte,107,tutor,Uh-huh. And what would you do next?,00:14:16
dbvxdte,108,student,Maybe I should compare them as decimals first.,00:14:24
dbvxdte,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
dbvxdte,110,student,Maybe I should compare them as decimals first.,00:14:40
dbvxdte,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
dbvxdte,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
dbvxdte,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
dbvxdte,114,student,Maybe I should compare them as decimals first.,00:15:12
dbvxdte,115,tutor,What do you notice about these two numbers?,00:15:20
dbvxdte,116,student,Okay,00:15:28
dbvxdte,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
dbvxdte,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
dbvxdte,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
dbvxdte,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
dbvxdte,121,tutor,What do you notice about these two numbers?,00:16:08
dbvxdte,122,student,6?,00:16:16
dbvxdte,123,tutor,What do you notice about these two numbers?,00:16:24
dbvxdte,124,student,Maybe I should compare them as decimals first.,00:16:32
dbvxdte,125,tutor,So let me ask you first. Do you know what a fact family is?,00:16:40
dbvxdte,126,student,Is it 4?,00:16:48
dbvxdte,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
dbvxdte,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
dbvxdte,129,tutor,Can you talk me through how you got that answer?,00:17:12
dbvxdte,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
dbvxdte,131,tutor,So let me ask you first. Do you know what a fact family is?,00:17:28
dbvxdte,132,student,Half?,00:17:36
dbvxdte,133,tutor,Remember what we said about the denominator. What happens here?,00:17:44
dbvxdte,134,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:52
dbvxdte,135,tutor,Can you talk me through how you got that answer?,00:18:00
dbvxdte,136,student,12.,00:18:08
dbvxdte,137,tutor,Can you talk me through how you got that answer?,00:18:16
dbvxdte,138,student,Maybe I should compare them as decimals first.,00:18:24
dbvxdte,139,tutor,So let me ask you first. Do you know what a fact family is?,00:18:32
dbvxdte,140,student,Maybe I should compare them as decimals first.,00:18:40
dbvxdte,141,tutor,"Good thinking. Now, is that answer reasonable?",00:18:48
dbvxdte,142,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:56
dbvxdte,143,tutor,Can you talk me through how you got that answer?,00:19:04
dbvxdte,144,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:12
dbvxdte,145,tutor,Can you talk me through how you got that answer?,00:19:20
dbvxdte,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
dbvxdte,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
dbvxdte,148,student,I'm not sure. Is it because 10 has one zero?,00:19:44
dbvxdte,149,tutor,Uh-huh. And what would you do next?,00:19:52
dbvxdte,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
dbvxdte,151,tutor,Remember what we said about the denominator. What happens here?,00:20:08
dbvxdte,152,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:16
dbvxdte,153,tutor,What do you notice about these two numbers?,00:20:24
dbvxdte,154,student,Maybe I should compare them as decimals first.,00:20:32
dbvxdte,155,tutor,Uh-huh. And what would you do next?,00:20:40
dbvxdte,156,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:48
dbvxdte,157,tutor,Uh-huh. And what would you do next?,00:20:56
dbvxdte,158,student,"I would divide it by 100, so the answer is 3.45.",00:21:04
dbvxdte,159,tutor,Can you talk me through how you got that answer?,00:21:12
dbvxdte,160,student,I'm not sure. Is it because 10 has one zero?,00:21:20
dbvxdte,161,tutor,Let's try a similar one. What is 30 times 4?,00:21:28
dbvxdte,162,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:36
dbvxdte,163,tutor,Remember what we said about the denominator. What happens here?,00:21:44
dbvxdte,164,student,Okay,00:21:52
dbvxdte,165,tutor,What do you notice about these two numbers?,00:22:00
dbvxdte,166,student,I'm not sure. Is it because 10 has one zero?,00:22:08
dbvxdte,167,tutor,So let me ask you first. Do you know what a fact family is?,00:22:16
dbvxdte,168,student,"I would divide it by 100, so the answer is 3.45.",00:22:24
dbvxdte,169,tutor,Can you talk me through how you got that answer?,00:22:32
dbvxdte,170,student,Yes,00:22:40
dbvxdte,171,tutor,Let's try a similar one. What is 30 times 4?,00:22:48
dbvxdte,172,student,I'm not sure. Is it because 10 has one zero?,00:22:56
dbvxdte,173,tutor,Remember what we said about the denominator. What happens here?,00:23:04
dbvxdte,174,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:23:12
dbvxdte,175,tutor,Remember what we said about the denominator. What happens here?,00:23:20
dbvxdte,176,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:23:28
dbvxdte,177,tutor,Let's try a similar one. What is 30 times 4?,00:23:36
dbvxdte,178,student,I'm not sure. Is it because 10 has one zero?,00:23:44
dbvxdte,179,tutor,Remember what we said about the denominator. What happens here?,00:23:52
dbvxdte,180,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:24:00
dbvxdte,181,tutor,Let's try a similar one. What is 30 times 4?,00:24:08
dbvxdte,182,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:24:16
dbvxdte,183,tutor,Uh-huh. And what would you do next?,00:24:24
dbvxdte,184,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:24:32
dbvxdte,185,tutor,So let me ask you first. Do you know what a fact family is?,00:24:40
dbvxdte,186,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:48
dbvxdte,187,tutor,"Good thinking. Now, is that answer reasonable?",00:24:56
dbvxdte,188,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:25:04
dbvxdte,189,tutor,Can you talk me through how you got that answer?,00:25:12
dbvxdte,190,student,I'm not sure. Is it because 10 has one zero?,00:25:20
dbvxdte,191,tutor,So let me ask you first. Do you know what a fact family is?,00:25:28
dbvxdte,192,student,6?,00:25:36
dbvxdte,193,tutor,So let me ask you first. Do you know what a fact family is?,00:25:44
dbvxdte,194,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:25:52
dbvxdte,195,tutor,Uh-huh. And what would you do next?,00:26:00
dbvxdte,196,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:08
dbvxdte,197,tutor,So let me ask you first. Do you know what a fact family is?,00:26:16
dbvxdte,198,student,300?,00:26:24
dbvxdte,199,tutor,Remember what we said about the denominator. What happens here?,00:26:32
