session_id,utterance_id,role,content,timestamp
ufwjamb,0,background,[unclear],00:00:00
ufwjamb,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
ufwjamb,2,student,"Yes, I think so.",00:00:16
ufwjamb,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
ufwjamb,4,student,12.,00:00:32
ufwjamb,5,tutor,Uh-huh. And what would you do next?,00:00:40
ufwjamb,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
ufwjamb,7,tutor,What do you notice about these two numbers?,00:00:56
ufwjamb,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
ufwjamb,9,tutor,What do you notice about these two numbers?,00:01:12
ufwjamb,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
ufwjamb,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
ufwjamb,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
ufwjamb,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ufwjamb,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
ufwjamb,15,tutor,Uh-huh. And what would you do next?,00:02:00
ufwjamb,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
ufwjamb,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
ufwjamb,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
ufwjamb,19,tutor,What do you notice about these two numbers?,00:02:32
ufwjamb,20,student,No,00:02:40
ufwjamb,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
ufwjamb,22,student,Maybe I should compare them as decimals first.,00:02:56
ufwjamb,23,tutor,What do you notice about these two numbers?,00:03:04
ufwjamb,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
ufwjamb,25,tutor,Can you talk me through how you got that answer?,00:03:20
ufwjamb,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
ufwjamb,27,tutor,Uh-huh. And what would you do next?,00:03:36
ufwjamb,28,student,Okay,00:03:44
ufwjamb,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
ufwjamb,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
ufwjamb,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
ufwjamb,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
ufwjamb,33,tutor,Uh-huh. And what would you do next?,00:04:24
ufwjamb,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
ufwjamb,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
ufwjamb,36,student,Is it 4?,00:04:48
ufwjamb,37,tutor,Uh-huh. And what would you do next?,00:04:56
ufwjamb,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
ufwjamb,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
ufwjamb,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
ufwjamb,41,tutor,Uh-huh. And what would you do next?,00:05:28
ufwjamb,42,student,No,00:05:36
ufwjamb,43,tutor,What do you notice about these two numbers?,00:05:44
ufwjamb,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
ufwjamb,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
ufwjamb,46,student,Maybe I should compare them as decimals first.,00:06:08
ufwjamb,47,tutor,What do you notice about these two numbers?,00:06:16
ufwjamb,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
ufwjamb,49,tutor,What do you notice about these two numbers?,00:06:32
ufwjamb,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
ufwjamb,51,tutor,What do you notice about these two numbers?,00:06:48
ufwjamb,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
ufwjamb,53,tutor,Can you talk me through how you got that answer?,00:07:04
ufwjamb,54,student,75.,00:07:12
ufwjamb,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
ufwjamb,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
ufwjamb,57,tutor,Can you talk me through how you got that answer?,00:07:36
ufwjamb,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
ufwjamb,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
