session_id,utterance_id,role,content,timestamp
otfovhv,0,background,[unclear],00:00:00
otfovhv,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
otfovhv,2,student,"Yes, I think so.",00:00:16
otfovhv,3,tutor,Can you talk me through how you got that answer?,00:00:24
otfovhv,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
otfovhv,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
otfovhv,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
otfovhv,7,tutor,Uh-huh. And what would you do next?,00:00:56
otfovhv,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
otfovhv,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
otfovhv,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
otfovhv,11,tutor,Uh-huh. And what would you do next?,00:01:28
otfovhv,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
otfovhv,13,tutor,Uh-huh. And what would you do next?,00:01:44
otfovhv,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
otfovhv,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
otfovhv,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
otfovhv,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
otfovhv,18,student,Maybe I should compare them as decimals first.,00:02:24
otfovhv,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
otfovhv,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
otfovhv,21,tutor,What do you notice about these two numbers?,00:02:48
otfovhv,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
otfovhv,23,tutor,Can you talk me through how you got that answer?,00:03:04
otfovhv,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
otfovhv,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
otfovhv,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
otfovhv,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
otfovhv,28,student,12.,00:03:44
otfovhv,29,tutor,What do you notice about these two numbers?,00:03:52
otfovhv,30,student,No,00:04:00
otfovhv,31,tutor,What do you notice about these two numbers?,00:04:08
otfovhv,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
otfovhv,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
otfovhv,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
otfovhv,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
otfovhv,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
otfovhv,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
otfovhv,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
otfovhv,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
otfovhv,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
otfovhv,41,tutor,Can you talk me through how you got that answer?,00:05:28
otfovhv,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
otfovhv,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
otfovhv,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
otfovhv,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
otfovhv,46,student,Maybe I should compare them as decimals first.,00:06:08
otfovhv,47,tutor,Can you talk me through how you got that answer?,00:06:16
otfovhv,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
otfovhv,49,tutor,Can you talk me through how you got that answer?,00:06:32
otfovhv,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
otfovhv,51,tutor,What do you notice about these two numbers?,00:06:48
otfovhv,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
otfovhv,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
otfovhv,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
otfovhv,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
otfovhv,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
otfovhv,57,tutor,Can you talk me through how you got that answer?,00:07:36
otfovhv,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
otfovhv,59,tutor,What do you notice about these two numbers?,00:07:52
otfovhv,60,student,Maybe I should compare them as decimals first.,00:08:00
otfovhv,61,tutor,Uh-huh. And what would you do next?,00:08:08
otfovhv,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
otfovhv,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
otfovhv,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
otfovhv,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
otfovhv,66,student,Is it 4?,00:08:48
otfovhv,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
otfovhv,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
otfovhv,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
otfovhv,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
otfovhv,71,tutor,What do you notice about these two numbers?,00:09:28
otfovhv,72,student,Maybe I should compare them as decimals first.,00:09:36
otfovhv,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
otfovhv,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
otfovhv,75,tutor,Uh-huh. And what would you do next?,00:10:00
otfovhv,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
otfovhv,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
otfovhv,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
otfovhv,79,tutor,What do you notice about these two numbers?,00:10:32
otfovhv,80,student,Okay,00:10:40
otfovhv,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
otfovhv,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
otfovhv,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
otfovhv,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
otfovhv,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
otfovhv,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
otfovhv,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
otfovhv,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
otfovhv,89,tutor,Uh-huh. And what would you do next?,00:11:52
otfovhv,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
otfovhv,91,tutor,What do you notice about these two numbers?,00:12:08
otfovhv,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
otfovhv,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
otfovhv,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
otfovhv,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
otfovhv,96,student,Maybe I should compare them as decimals first.,00:12:48
otfovhv,97,tutor,What do you notice about these two numbers?,00:12:56
otfovhv,98,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:04
otfovhv,99,tutor,Can you talk me through how you got that answer?,00:13:12
otfovhv,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
otfovhv,101,tutor,Uh-huh. And what would you do next?,00:13:28
otfovhv,102,student,Maybe I should compare them as decimals first.,00:13:36
otfovhv,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
otfovhv,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
otfovhv,105,tutor,Uh-huh. And what would you do next?,00:14:00
otfovhv,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
otfovhv,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
otfovhv,108,student,No,00:14:24
otfovhv,109,tutor,Can you talk me through how you got that answer?,00:14:32
otfovhv,110,student,Maybe I should compare them as decimals first.,00:14:40
otfovhv,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
otfovhv,112,student,Okay,00:14:56
otfovhv,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
otfovhv,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
otfovhv,115,tutor,Uh-huh. And what would you do next?,00:15:20
otfovhv,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
otfovhv,117,tutor,Can you talk me through how you got that answer?,00:15:36
otfovhv,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
otfovhv,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
otfovhv,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
otfovhv,121,tutor,Can you talk me through how you got that answer?,00:16:08
otfovhv,122,student,No,00:16:16
otfovhv,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
otfovhv,124,student,I'm not sure. Is it because 10 has one zero?,00:16:32
otfovhv,125,tutor,So let me ask you first. Do you know what a fact family is?,00:16:40
otfovhv,126,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:48
otfovhv,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
otfovhv,128,student,Okay,00:17:04
otfovhv,129,tutor,Can you talk me through how you got that answer?,00:17:12
otfovhv,130,student,Half?,00:17:20
otfovhv,131,tutor,Remember what we said about the denominator. What happens here?,00:17:28
otfovhv,132,student,Maybe I should compare them as decimals first.,00:17:36
otfovhv,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
otfovhv,134,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:52
otfovhv,135,tutor,Uh-huh. And what would you do next?,00:18:00
otfovhv,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
otfovhv,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
otfovhv,138,student,No,00:18:24
otfovhv,139,tutor,Let's try a similar one. What is 30 times 4?,00:18:32
otfovhv,140,student,6?,00:18:40
otfovhv,141,tutor,Can you talk me through how you got that answer?,00:18:48
otfovhv,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
otfovhv,143,tutor,Can you talk me through how you got that answer?,00:19:04
otfovhv,144,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:12
otfovhv,145,tutor,What do you notice about these two numbers?,00:19:20
otfovhv,146,student,I think we need to make the bottom numbers the same before we add.,00:19:28
otfovhv,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
otfovhv,148,student,No,00:19:44
otfovhv,149,tutor,Uh-huh. And what would you do next?,00:19:52
otfovhv,150,student,"I would divide it by 100, so the answer is 3.45.",00:20:00
otfovhv,151,tutor,Let's try a similar one. What is 30 times 4?,00:20:08
otfovhv,152,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:16
otfovhv,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
otfovhv,154,student,Yes,00:20:32
otfovhv,155,tutor,Remember what we said about the denominator. What happens here?,00:20:40
otfovhv,156,student,Maybe I should compare them as decimals first.,00:20:48
otfovhv,157,tutor,Uh-huh. And what would you do next?,00:20:56
otfovhv,158,student,I think we need to make the bottom numbers the same before we add.,00:21:04
otfovhv,159,tutor,Remember what we said about the denominator. What happens here?,00:21:12
otfovhv,160,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:20
otfovhv,161,tutor,Can you talk me through how you got that answer?,00:21:28
otfovhv,162,student,75.,00:21:36
otfovhv,163,tutor,Remember what we said about the denominator. What happens here?,00:21:44
otfovhv,164,student,I'm not sure. Is it because 10 has one zero?,00:21:52
otfovhv,165,tutor,"Good thinking. Now, is that answer reasonable?",00:22:00
otfovhv,166,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:08
otfovhv,167,tutor,Can you talk me through how you got that answer?,00:22:16
otfovhv,168,student,No,00:22:24
otfovhv,169,tutor,Remember what we said about the denominator. What happens here?,00:22:32
otfovhv,170,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:40
otfovhv,171,tutor,Let's try a similar one. What is 30 times 4?,00:22:48
otfovhv,172,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:56
otfovhv,173,tutor,Can you talk me through how you got that answer?,00:23:04
otfovhv,174,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:23:12
otfovhv,175,tutor,Can you talk me through how you got that answer?,00:23:20
otfovhv,176,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:23:28
otfovhv,177,tutor,Let's try a similar one. What is 30 times 4?,00:23:36
otfovhv,178,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:23:44
otfovhv,179,tutor,What do you notice about these two numbers?,00:23:52
otfovhv,180,student,Yes,00:24:00
otfovhv,181,tutor,"Good thinking. Now, is that answer reasonable?",00:24:08
otfovhv,182,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:16
otfovhv,183,tutor,Can you talk me through how you got that answer?,00:24:24
otfovhv,184,student,Maybe I should compare them as decimals first.,00:24:32
otfovhv,185,tutor,Remember what we said about the denominator. What happens here?,00:24:40
otfovhv,186,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:48
otfovhv,187,tutor,So let me ask you first. Do you know what a fact family is?,00:24:56
otfovhv,188,student,Maybe I should compare them as decimals first.,00:25:04
