session_id,utterance_id,role,content,timestamp
dkuvyiy,0,background,[unclear],00:00:00
dkuvyiy,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
dkuvyiy,2,student,"Yes, I think so.",00:00:16
dkuvyiy,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
dkuvyiy,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
dkuvyiy,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
dkuvyiy,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
dkuvyiy,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
dkuvyiy,8,student,12.,00:01:04
dkuvyiy,9,tutor,Uh-huh. And what would you do next?,00:01:12
dkuvyiy,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
dkuvyiy,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
dkuvyiy,12,student,Maybe I should compare them as decimals first.,00:01:36
dkuvyiy,13,tutor,Can you talk me through how you got that answer?,00:01:44
dkuvyiy,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
dkuvyiy,15,tutor,What do you notice about these two numbers?,00:02:00
dkuvyiy,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
dkuvyiy,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
dkuvyiy,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
dkuvyiy,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
dkuvyiy,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
dkuvyiy,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
dkuvyiy,22,student,Maybe I should compare them as decimals first.,00:02:56
dkuvyiy,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
dkuvyiy,24,student,6?,00:03:12
dkuvyiy,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
dkuvyiy,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
dkuvyiy,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
dkuvyiy,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
dkuvyiy,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
dkuvyiy,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
dkuvyiy,31,tutor,Can you talk me through how you got that answer?,00:04:08
dkuvyiy,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
dkuvyiy,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
dkuvyiy,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
