session_id,utterance_id,role,content,timestamp
nlivxjr,0,background,[unclear],00:00:00
nlivxjr,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
nlivxjr,2,student,"Yes, I think so.",00:00:16
nlivxjr,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
nlivxjr,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
nlivxjr,5,tutor,Can you talk me through how you got that answer?,00:00:40
nlivxjr,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
nlivxjr,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
nlivxjr,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
nlivxjr,9,tutor,Can you talk me through how you got that answer?,00:01:12
nlivxjr,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
nlivxjr,11,tutor,Can you talk me through how you got that answer?,00:01:28
nlivxjr,12,student,Okay,00:01:36
nlivxjr,13,tutor,What do you notice about these two numbers?,00:01:44
nlivxjr,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
nlivxjr,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
nlivxjr,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
nlivxjr,17,tutor,Uh-huh. And what would you do next?,00:02:16
nlivxjr,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
nlivxjr,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
nlivxjr,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
nlivxjr,21,tutor,What do you notice about these two numbers?,00:02:48
nlivxjr,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
nlivxjr,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
nlivxjr,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
nlivxjr,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
nlivxjr,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
nlivxjr,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
nlivxjr,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
nlivxjr,29,tutor,Uh-huh. And what would you do next?,00:03:52
nlivxjr,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
nlivxjr,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
nlivxjr,32,student,Maybe I should compare them as decimals first.,00:04:16
nlivxjr,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
nlivxjr,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
nlivxjr,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
nlivxjr,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
nlivxjr,37,tutor,What do you notice about these two numbers?,00:04:56
nlivxjr,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
nlivxjr,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
nlivxjr,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
nlivxjr,41,tutor,Uh-huh. And what would you do next?,00:05:28
nlivxjr,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
nlivxjr,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
nlivxjr,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
nlivxjr,45,tutor,Uh-huh. And what would you do next?,00:06:00
nlivxjr,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
nlivxjr,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
nlivxjr,48,student,Half?,00:06:24
nlivxjr,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
nlivxjr,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
nlivxjr,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
