session_id,utterance_id,role,content,timestamp
rjobkjn,0,background,[unclear],00:00:00
rjobkjn,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
rjobkjn,2,student,"Yes, I think so.",00:00:16
rjobkjn,3,tutor,Uh-huh. And what would you do next?,00:00:24
rjobkjn,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
rjobkjn,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
rjobkjn,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
rjobkjn,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
rjobkjn,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
rjobkjn,9,tutor,Can you talk me through how you got that answer?,00:01:12
rjobkjn,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
rjobkjn,11,tutor,Can you talk me through how you got that answer?,00:01:28
rjobkjn,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
rjobkjn,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
rjobkjn,14,student,Maybe I should compare them as decimals first.,00:01:52
rjobkjn,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
rjobkjn,16,student,Half?,00:02:08
rjobkjn,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
rjobkjn,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
rjobkjn,19,tutor,Uh-huh. And what would you do next?,00:02:32
rjobkjn,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
rjobkjn,21,tutor,What do you notice about these two numbers?,00:02:48
rjobkjn,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
rjobkjn,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
rjobkjn,24,student,Maybe I should compare them as decimals first.,00:03:12
rjobkjn,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
rjobkjn,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
rjobkjn,27,tutor,Can you talk me through how you got that answer?,00:03:36
rjobkjn,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
rjobkjn,29,tutor,Uh-huh. And what would you do next?,00:03:52
rjobkjn,30,student,Maybe I should compare them as decimals first.,00:04:00
rjobkjn,31,tutor,Can you talk me through how you got that answer?,00:04:08
rjobkjn,32,student,300?,00:04:16
rjobkjn,33,tutor,Can you talk me through how you got that answer?,00:04:24
rjobkjn,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
rjobkjn,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
rjobkjn,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
rjobkjn,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
rjobkjn,38,student,6?,00:05:04
rjobkjn,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
rjobkjn,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
rjobkjn,41,tutor,Uh-huh. And what would you do next?,00:05:28
rjobkjn,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
rjobkjn,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
rjobkjn,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
rjobkjn,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
rjobkjn,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
rjobkjn,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
rjobkjn,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
rjobkjn,49,tutor,Can you talk me through how you got that answer?,00:06:32
rjobkjn,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
rjobkjn,51,tutor,Uh-huh. And what would you do next?,00:06:48
rjobkjn,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
