session_id,utterance_id,role,content,timestamp
dwfnmub,0,background,[unclear],00:00:00
dwfnmub,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
dwfnmub,2,student,"Yes, I think so.",00:00:16
dwfnmub,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
dwfnmub,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
dwfnmub,5,tutor,What do you notice about these two numbers?,00:00:40
dwfnmub,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
dwfnmub,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
dwfnmub,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
dwfnmub,9,tutor,Can you talk me through how you got that answer?,00:01:12
dwfnmub,10,student,Okay,00:01:20
dwfnmub,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
dwfnmub,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
dwfnmub,13,tutor,Uh-huh. And what would you do next?,00:01:44
dwfnmub,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
dwfnmub,15,tutor,Uh-huh. And what would you do next?,00:02:00
dwfnmub,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
dwfnmub,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
dwfnmub,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
dwfnmub,19,tutor,Uh-huh. And what would you do next?,00:02:32
dwfnmub,20,student,Maybe I should compare them as decimals first.,00:02:40
dwfnmub,21,tutor,Can you talk me through how you got that answer?,00:02:48
dwfnmub,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
dwfnmub,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
dwfnmub,24,student,6?,00:03:12
dwfnmub,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
dwfnmub,26,student,Yes,00:03:28
dwfnmub,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
dwfnmub,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
dwfnmub,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
dwfnmub,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
dwfnmub,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
dwfnmub,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
dwfnmub,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
dwfnmub,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
dwfnmub,35,tutor,Can you talk me through how you got that answer?,00:04:40
dwfnmub,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
dwfnmub,37,tutor,Uh-huh. And what would you do next?,00:04:56
dwfnmub,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
dwfnmub,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
dwfnmub,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
dwfnmub,41,tutor,What do you notice about these two numbers?,00:05:28
dwfnmub,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
dwfnmub,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
dwfnmub,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
dwfnmub,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
dwfnmub,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
dwfnmub,47,tutor,Can you talk me through how you got that answer?,00:06:16
dwfnmub,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
dwfnmub,49,tutor,Uh-huh. And what would you do next?,00:06:32
dwfnmub,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
dwfnmub,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
