session_id,utterance_id,role,content,timestamp
epxlbts,0,background,[unclear],00:00:00
epxlbts,1,tutor,"Hello, are you ready to get started today?",00:00:08
epxlbts,2,student,"Yes, I think so.",00:00:16
epxlbts,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
epxlbts,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
epxlbts,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
epxlbts,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
epxlbts,7,tutor,What do you notice about these two numbers?,00:00:56
epxlbts,8,student,Maybe I should compare them as decimals first.,00:01:04
epxlbts,9,tutor,Can you talk me through how you got that answer?,00:01:12
epxlbts,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
epxlbts,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
epxlbts,12,student,12.,00:01:36
epxlbts,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
epxlbts,14,student,Is it 4?,00:01:52
epxlbts,15,tutor,Uh-huh. And what would you do next?,00:02:00
epxlbts,16,student,Maybe I should compare them as decimals first.,00:02:08
epxlbts,17,tutor,What do you notice about these two numbers?,00:02:16
epxlbts,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
epxlbts,19,tutor,Can you talk me through how you got that answer?,00:02:32
epxlbts,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
epxlbts,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
epxlbts,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
epxlbts,23,tutor,Uh-huh. And what would you do next?,00:03:04
epxlbts,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
epxlbts,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
epxlbts,26,student,Okay,00:03:28
epxlbts,27,tutor,Can you talk me through how you got that answer?,00:03:36
epxlbts,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
epxlbts,29,tutor,Uh-huh. And what would you do next?,00:03:52
epxlbts,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
epxlbts,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
epxlbts,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
epxlbts,33,tutor,What do you notice about these two numbers?,00:04:24
epxlbts,34,student,Maybe I should compare them as decimals first.,00:04:32
epxlbts,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
epxlbts,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
epxlbts,37,tutor,Can you talk me through how you got that answer?,00:04:56
epxlbts,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
epxlbts,39,tutor,What do you notice about these two numbers?,00:05:12
