session_id,utterance_id,role,content,timestamp
ysyxlsg,0,background,[unclear],00:00:00
ysyxlsg,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
ysyxlsg,2,student,"Yes, I think so.",00:00:16
ysyxlsg,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
ysyxlsg,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
ysyxlsg,5,tutor,What do you notice about these two numbers?,00:00:40
ysyxlsg,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
ysyxlsg,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
ysyxlsg,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
ysyxlsg,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
ysyxlsg,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
ysyxlsg,11,tutor,What do you notice about these two numbers?,00:01:28
ysyxlsg,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
ysyxlsg,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ysyxlsg,14,student,6?,00:01:52
ysyxlsg,15,tutor,Can you talk me through how you got that answer?,00:02:00
ysyxlsg,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
ysyxlsg,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
ysyxlsg,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
ysyxlsg,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
ysyxlsg,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
ysyxlsg,21,tutor,Uh-huh. And what would you do next?,00:02:48
ysyxlsg,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
ysyxlsg,23,tutor,Can you talk me through how you got that answer?,00:03:04
ysyxlsg,24,student,75.,00:03:12
ysyxlsg,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
ysyxlsg,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
ysyxlsg,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
ysyxlsg,28,student,12.,00:03:44
ysyxlsg,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
ysyxlsg,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
ysyxlsg,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
ysyxlsg,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
ysyxlsg,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
ysyxlsg,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
ysyxlsg,35,tutor,What do you notice about these two numbers?,00:04:40
ysyxlsg,36,student,6?,00:04:48
ysyxlsg,37,tutor,Uh-huh. And what would you do next?,00:04:56
ysyxlsg,38,student,Maybe I should compare them as decimals first.,00:05:04
ysyxlsg,39,tutor,Uh-huh. And what would you do next?,00:05:12
ysyxlsg,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
ysyxlsg,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
ysyxlsg,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
ysyxlsg,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
ysyxlsg,44,student,6?,00:05:52
ysyxlsg,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
ysyxlsg,46,student,Half?,00:06:08
ysyxlsg,47,tutor,What do you notice about these two numbers?,00:06:16
ysyxlsg,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
ysyxlsg,49,tutor,What do you notice about these two numbers?,00:06:32
ysyxlsg,50,student,Half?,00:06:40
ysyxlsg,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
ysyxlsg,52,student,300?,00:06:56
ysyxlsg,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
ysyxlsg,54,student,Maybe I should compare them as decimals first.,00:07:12
ysyxlsg,55,tutor,Can you talk me through how you got that answer?,00:07:20
ysyxlsg,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
ysyxlsg,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
ysyxlsg,58,student,Okay,00:07:44
ysyxlsg,59,tutor,What do you notice about these two numbers?,00:07:52
ysyxlsg,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
ysyxlsg,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
ysyxlsg,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
ysyxlsg,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
ysyxlsg,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
ysyxlsg,65,tutor,Can you talk me through how you got that answer?,00:08:40
ysyxlsg,66,student,Maybe I should compare them as decimals first.,00:08:48
ysyxlsg,67,tutor,Uh-huh. And what would you do next?,00:08:56
ysyxlsg,68,student,Maybe I should compare them as decimals first.,00:09:04
ysyxlsg,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
ysyxlsg,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
ysyxlsg,71,tutor,Can you talk me through how you got that answer?,00:09:28
ysyxlsg,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
ysyxlsg,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
ysyxlsg,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
ysyxlsg,75,tutor,Uh-huh. And what would you do next?,00:10:00
ysyxlsg,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
ysyxlsg,77,tutor,Uh-huh. And what would you do next?,00:10:16
ysyxlsg,78,student,Maybe I should compare them as decimals first.,00:10:24
ysyxlsg,79,tutor,Can you talk me through how you got that answer?,00:10:32
ysyxlsg,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
ysyxlsg,81,tutor,Can you talk me through how you got that answer?,00:10:48
ysyxlsg,82,student,Maybe I should compare them as decimals first.,00:10:56
ysyxlsg,83,tutor,What do you notice about these two numbers?,00:11:04
ysyxlsg,84,student,12.,00:11:12
ysyxlsg,85,tutor,Uh-huh. And what would you do next?,00:11:20
ysyxlsg,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
ysyxlsg,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
ysyxlsg,88,student,300?,00:11:44
ysyxlsg,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
ysyxlsg,90,student,No,00:12:00
ysyxlsg,91,tutor,Uh-huh. And what would you do next?,00:12:08
ysyxlsg,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
ysyxlsg,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
ysyxlsg,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
ysyxlsg,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
ysyxlsg,96,student,12.,00:12:48
ysyxlsg,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
ysyxlsg,98,student,Maybe I should compare them as decimals first.,00:13:04
ysyxlsg,99,tutor,Uh-huh. And what would you do next?,00:13:12
ysyxlsg,100,student,12.,00:13:20
ysyxlsg,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
ysyxlsg,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
ysyxlsg,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
ysyxlsg,104,student,Maybe I should compare them as decimals first.,00:13:52
ysyxlsg,105,tutor,Can you talk me through how you got that answer?,00:14:00
ysyxlsg,106,student,"I would divide it by 100, so the answer is 3.45.",00:14:08
ysyxlsg,107,tutor,Uh-huh. And what would you do next?,00:14:16
ysyxlsg,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
ysyxlsg,109,tutor,What do you notice about these two numbers?,00:14:32
ysyxlsg,110,student,I think we need to make the bottom numbers the same before we add.,00:14:40
ysyxlsg,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
ysyxlsg,112,student,Maybe I should compare them as decimals first.,00:14:56
ysyxlsg,113,tutor,Can you talk me through how you got that answer?,00:15:04
ysyxlsg,114,student,Half?,00:15:12
ysyxlsg,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
ysyxlsg,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
ysyxlsg,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
ysyxlsg,118,student,Maybe I should compare them as decimals first.,00:15:44
ysyxlsg,119,tutor,What do you notice about these two numbers?,00:15:52
ysyxlsg,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
ysyxlsg,121,tutor,Uh-huh. And what would you do next?,00:16:08
ysyxlsg,122,student,"I would divide it by 100, so the answer is 3.45.",00:16:16
ysyxlsg,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
ysyxlsg,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
ysyxlsg,125,tutor,Let's try a similar one. What is 30 times 4?,00:16:40
ysyxlsg,126,student,300?,00:16:48
ysyxlsg,127,tutor,Remember what we said about the denominator. What happens here?,00:16:56
ysyxlsg,128,student,300?,00:17:04
ysyxlsg,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
ysyxlsg,130,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:20
ysyxlsg,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
ysyxlsg,132,student,I'm not sure. Is it because 10 has one zero?,00:17:36
ysyxlsg,133,tutor,So let me ask you first. Do you know what a fact family is?,00:17:44
ysyxlsg,134,student,Maybe I should compare them as decimals first.,00:17:52
ysyxlsg,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
ysyxlsg,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
ysyxlsg,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
ysyxlsg,138,student,Half?,00:18:24
ysyxlsg,139,tutor,What do you notice about these two numbers?,00:18:32
ysyxlsg,140,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:40
ysyxlsg,141,tutor,What do you notice about these two numbers?,00:18:48
ysyxlsg,142,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:56
ysyxlsg,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
ysyxlsg,144,student,I think we need to make the bottom numbers the same before we add.,00:19:12
ysyxlsg,145,tutor,Remember what we said about the denominator. What happens here?,00:19:20
ysyxlsg,146,student,6?,00:19:28
ysyxlsg,147,tutor,What do you notice about these two numbers?,00:19:36
ysyxlsg,148,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:44
ysyxlsg,149,tutor,Let's try a similar one. What is 30 times 4?,00:19:52
ysyxlsg,150,student,Maybe I should compare them as decimals first.,00:20:00
ysyxlsg,151,tutor,Remember what we said about the denominator. What happens here?,00:20:08
ysyxlsg,152,student,6?,00:20:16
ysyxlsg,153,tutor,"Good thinking. Now, is that answer reasonable?",00:20:24
ysyxlsg,154,student,I'm not sure. Is it because 10 has one zero?,00:20:32
ysyxlsg,155,tutor,"Good thinking. Now, is that answer reasonable?",00:20:40
ysyxlsg,156,student,Yes,00:20:48
ysyxlsg,157,tutor,Let's try a similar one. What is 30 times 4?,00:20:56
ysyxlsg,158,student,Maybe I should compare them as decimals first.,00:21:04
ysyxlsg,159,tutor,Can you talk me through how you got that answer?,00:21:12
ysyxlsg,160,student,I think we need to make the bottom numbers the same before we add.,00:21:20
ysyxlsg,161,tutor,What do you notice about these two numbers?,00:21:28
ysyxlsg,162,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:36
ysyxlsg,163,tutor,What do you notice about these two numbers?,00:21:44
ysyxlsg,164,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:52
ysyxlsg,165,tutor,Uh-huh. And what would you do next?,00:22:00
ysyxlsg,166,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:08
ysyxlsg,167,tutor,Let's try a similar one. What is 30 times 4?,00:22:16
ysyxlsg,168,student,"I would divide it by 100, so the answer is 3.45.",00:22:24
ysyxlsg,169,tutor,"Good thinking. Now, is that answer reasonable?",00:22:32
ysyxlsg,170,student,Maybe I should compare them as decimals first.,00:22:40
ysyxlsg,171,tutor,So let me ask you first. Do you know what a fact family is?,00:22:48
ysyxlsg,172,student,No,00:22:56
ysyxlsg,173,tutor,Remember what we said about the denominator. What happens here?,00:23:04
ysyxlsg,174,student,6?,00:23:12
ysyxlsg,175,tutor,Remember what we said about the denominator. What happens here?,00:23:20
ysyxlsg,176,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:23:28
ysyxlsg,177,tutor,So let me ask you first. Do you know what a fact family is?,00:23:36
ysyxlsg,178,student,"I would divide it by 100, so the answer is 3.45.",00:23:44
ysyxlsg,179,tutor,Let's try a similar one. What is 30 times 4?,00:23:52
ysyxlsg,180,student,Maybe I should compare them as decimals first.,00:24:00
ysyxlsg,181,tutor,Uh-huh. And what would you do next?,00:24:08
ysyxlsg,182,student,"I would divide it by 100, so the answer is 3.45.",00:24:16
ysyxlsg,183,tutor,Uh-huh. And what would you do next?,00:24:24
ysyxlsg,184,student,Maybe I should compare them as decimals first.,00:24:32
ysyxlsg,185,tutor,Uh-huh. And what would you do next?,00:24:40
ysyxlsg,186,student,Maybe I should compare them as decimals first.,00:24:48
ysyxlsg,187,tutor,Let's try a similar one. What is 30 times 4?,00:24:56
ysyxlsg,188,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:25:04
ysyxlsg,189,tutor,"Good thinking. Now, is that answer reasonable?",00:25:12
ysyxlsg,190,student,Half?,00:25:20
ysyxlsg,191,tutor,Let's try a similar one. What is 30 times 4?,00:25:28
ysyxlsg,192,student,Okay,00:25:36
ysyxlsg,193,tutor,Remember what we said about the denominator. What happens here?,00:25:44
ysyxlsg,194,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:25:52
ysyxlsg,195,tutor,Uh-huh. And what would you do next?,00:26:00
ysyxlsg,196,student,Is it 4?,00:26:08
ysyxlsg,197,tutor,Can you talk me through how you got that answer?,00:26:16
ysyxlsg,198,student,"I would divide it by 100, so the answer is 3.45.",00:26:24
ysyxlsg,199,tutor,So let me ask you first. Do you know what a fact family is?,00:26:32
ysyxlsg,200,student,Is it 4?,00:26:40
ysyxlsg,201,tutor,Remember what we said about the denominator. What happens here?,00:26:48
ysyxlsg,202,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:56
ysyxlsg,203,tutor,Remember what we said about the denominator. What happens here?,00:27:04
ysyxlsg,204,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:27:12
ysyxlsg,205,tutor,What do you notice about these two numbers?,00:27:20
ysyxlsg,206,student,I'm not sure. Is it because 10 has one zero?,00:27:28
ysyxlsg,207,tutor,"Good thinking. Now, is that answer reasonable?",00:27:36
