session_id,utterance_id,role,content,timestamp
nmhcwsk,0,background,[unclear],00:00:00
nmhcwsk,1,tutor,"Hello, are you ready to get started today?",00:00:08
nmhcwsk,2,student,"Yes, I think so.",00:00:16
nmhcwsk,3,tutor,Uh-huh. And what would you do next?,00:00:24
nmhcwsk,4,student,Yes,00:00:32
nmhcwsk,5,tutor,What do you notice about these two numbers?,00:00:40
nmhcwsk,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
nmhcwsk,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
nmhcwsk,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
nmhcwsk,9,tutor,Uh-huh. And what would you do next?,00:01:12
nmhcwsk,10,student,Maybe I should compare them as decimals first.,00:01:20
nmhcwsk,11,tutor,Uh-huh. And what would you do next?,00:01:28
nmhcwsk,12,student,Maybe I should compare them as decimals first.,00:01:36
nmhcwsk,13,tutor,Uh-huh. And what would you do next?,00:01:44
nmhcwsk,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
nmhcwsk,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
nmhcwsk,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
nmhcwsk,17,tutor,Uh-huh. And what would you do next?,00:02:16
nmhcwsk,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
nmhcwsk,19,tutor,Can you talk me through how you got that answer?,00:02:32
nmhcwsk,20,student,Half?,00:02:40
nmhcwsk,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
nmhcwsk,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
nmhcwsk,23,tutor,What do you notice about these two numbers?,00:03:04
nmhcwsk,24,student,Okay,00:03:12
nmhcwsk,25,tutor,What do you notice about these two numbers?,00:03:20
nmhcwsk,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
nmhcwsk,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
nmhcwsk,28,student,Half?,00:03:44
nmhcwsk,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
nmhcwsk,30,student,Yes,00:04:00
nmhcwsk,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
nmhcwsk,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
nmhcwsk,33,tutor,Can you talk me through how you got that answer?,00:04:24
nmhcwsk,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
nmhcwsk,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
nmhcwsk,36,student,Maybe I should compare them as decimals first.,00:04:48
nmhcwsk,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
nmhcwsk,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
nmhcwsk,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
nmhcwsk,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
nmhcwsk,41,tutor,Uh-huh. And what would you do next?,00:05:28
nmhcwsk,42,student,Maybe I should compare them as decimals first.,00:05:36
nmhcwsk,43,tutor,Uh-huh. And what would you do next?,00:05:44
nmhcwsk,44,student,Half?,00:05:52
nmhcwsk,45,tutor,Uh-huh. And what would you do next?,00:06:00
nmhcwsk,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
nmhcwsk,47,tutor,What do you notice about these two numbers?,00:06:16
nmhcwsk,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
nmhcwsk,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
nmhcwsk,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
nmhcwsk,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
nmhcwsk,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
nmhcwsk,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
nmhcwsk,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
nmhcwsk,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
nmhcwsk,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
nmhcwsk,57,tutor,Can you talk me through how you got that answer?,00:07:36
nmhcwsk,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
nmhcwsk,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
nmhcwsk,60,student,Maybe I should compare them as decimals first.,00:08:00
nmhcwsk,61,tutor,Can you talk me through how you got that answer?,00:08:08
nmhcwsk,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
nmhcwsk,63,tutor,Can you talk me through how you got that answer?,00:08:24
nmhcwsk,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
nmhcwsk,65,tutor,Uh-huh. And what would you do next?,00:08:40
nmhcwsk,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
nmhcwsk,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
nmhcwsk,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
nmhcwsk,69,tutor,Can you talk me through how you got that answer?,00:09:12
nmhcwsk,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
nmhcwsk,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
nmhcwsk,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
nmhcwsk,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
nmhcwsk,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
nmhcwsk,75,tutor,What do you notice about these two numbers?,00:10:00
