session_id,utterance_id,role,content,timestamp
puaawce,0,background,[unclear],00:00:00
puaawce,1,tutor,"Hello, are you ready to get started today?",00:00:08
puaawce,2,student,"Yes, I think so.",00:00:16
puaawce,3,tutor,What do you notice about these two numbers?,00:00:24
puaawce,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
puaawce,5,tutor,Can you talk me through how you got that answer?,00:00:40
puaawce,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
puaawce,7,tutor,What do you notice about these two numbers?,00:00:56
puaawce,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
puaawce,9,tutor,Uh-huh. And what would you do next?,00:01:12
puaawce,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
puaawce,11,tutor,Can you talk me through how you got that answer?,00:01:28
puaawce,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
puaawce,13,tutor,Uh-huh. And what would you do next?,00:01:44
puaawce,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
puaawce,15,tutor,Uh-huh. And what would you do next?,00:02:00
puaawce,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
puaawce,17,tutor,Uh-huh. And what would you do next?,00:02:16
puaawce,18,student,300?,00:02:24
puaawce,19,tutor,What do you notice about these two numbers?,00:02:32
puaawce,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
puaawce,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
puaawce,22,student,75.,00:02:56
puaawce,23,tutor,What do you notice about these two numbers?,00:03:04
puaawce,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
puaawce,25,tutor,Uh-huh. And what would you do next?,00:03:20
puaawce,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
puaawce,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
puaawce,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
puaawce,29,tutor,What do you notice about these two numbers?,00:03:52
puaawce,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
puaawce,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
puaawce,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
puaawce,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
puaawce,34,student,75.,00:04:32
puaawce,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
puaawce,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
puaawce,37,tutor,Can you talk me through how you got that answer?,00:04:56
puaawce,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
puaawce,39,tutor,Uh-huh. And what would you do next?,00:05:12
puaawce,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
puaawce,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
puaawce,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
puaawce,43,tutor,What do you notice about these two numbers?,00:05:44
puaawce,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
puaawce,45,tutor,What do you notice about these two numbers?,00:06:00
puaawce,46,student,12.,00:06:08
puaawce,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
puaawce,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
puaawce,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
puaawce,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
puaawce,51,tutor,Uh-huh. And what would you do next?,00:06:48
puaawce,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
puaawce,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
puaawce,54,student,75.,00:07:12
puaawce,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
puaawce,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
puaawce,57,tutor,Uh-huh. And what would you do next?,00:07:36
puaawce,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
puaawce,59,tutor,Can you talk me through how you got that answer?,00:07:52
puaawce,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
puaawce,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
puaawce,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
puaawce,63,tutor,Uh-huh. And what would you do next?,00:08:24
puaawce,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
puaawce,65,tutor,Can you talk me through how you got that answer?,00:08:40
puaawce,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
puaawce,67,tutor,What do you notice about these two numbers?,00:08:56
puaawce,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
puaawce,69,tutor,What do you notice about these two numbers?,00:09:12
puaawce,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
puaawce,71,tutor,What do you notice about these two numbers?,00:09:28
puaawce,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
puaawce,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
puaawce,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
puaawce,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
puaawce,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
puaawce,77,tutor,Can you talk me through how you got that answer?,00:10:16
puaawce,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
puaawce,79,tutor,Uh-huh. And what would you do next?,00:10:32
puaawce,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
puaawce,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
puaawce,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
puaawce,83,tutor,Uh-huh. And what would you do next?,00:11:04
puaawce,84,student,Maybe I should compare them as decimals first.,00:11:12
