session_id,utterance_id,role,content,timestamp
qikklqt,0,background,[unclear],00:00:00
qikklqt,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
qikklqt,2,student,"Yes, I think so.",00:00:16
qikklqt,3,tutor,Can you talk me through how you got that answer?,00:00:24
qikklqt,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
qikklqt,5,tutor,Uh-huh. And what would you do next?,00:00:40
qikklqt,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
qikklqt,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
qikklqt,8,student,Okay,00:01:04
qikklqt,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
qikklqt,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
qikklqt,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
qikklqt,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
qikklqt,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
qikklqt,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
qikklqt,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
qikklqt,16,student,75.,00:02:08
qikklqt,17,tutor,Uh-huh. And what would you do next?,00:02:16
qikklqt,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
qikklqt,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
qikklqt,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
qikklqt,21,tutor,Uh-huh. And what would you do next?,00:02:48
qikklqt,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
qikklqt,23,tutor,What do you notice about these two numbers?,00:03:04
qikklqt,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
qikklqt,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
qikklqt,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
qikklqt,27,tutor,Uh-huh. And what would you do next?,00:03:36
qikklqt,28,student,Maybe I should compare them as decimals first.,00:03:44
qikklqt,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
qikklqt,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
qikklqt,31,tutor,Can you talk me through how you got that answer?,00:04:08
qikklqt,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
qikklqt,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
qikklqt,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
qikklqt,35,tutor,What do you notice about these two numbers?,00:04:40
qikklqt,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
qikklqt,37,tutor,Can you talk me through how you got that answer?,00:04:56
qikklqt,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
qikklqt,39,tutor,Can you talk me through how you got that answer?,00:05:12
qikklqt,40,student,Is it 4?,00:05:20
qikklqt,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
qikklqt,42,student,12.,00:05:36
qikklqt,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
qikklqt,44,student,75.,00:05:52
qikklqt,45,tutor,Can you talk me through how you got that answer?,00:06:00
qikklqt,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
qikklqt,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
qikklqt,48,student,Maybe I should compare them as decimals first.,00:06:24
qikklqt,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
qikklqt,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
qikklqt,51,tutor,What do you notice about these two numbers?,00:06:48
qikklqt,52,student,Half?,00:06:56
qikklqt,53,tutor,Uh-huh. And what would you do next?,00:07:04
qikklqt,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
qikklqt,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
qikklqt,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
qikklqt,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
qikklqt,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
qikklqt,59,tutor,Can you talk me through how you got that answer?,00:07:52
qikklqt,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
qikklqt,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
qikklqt,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
qikklqt,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
qikklqt,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
qikklqt,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
qikklqt,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
qikklqt,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
qikklqt,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
qikklqt,69,tutor,Uh-huh. And what would you do next?,00:09:12
qikklqt,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
qikklqt,71,tutor,Uh-huh. And what would you do next?,00:09:28
qikklqt,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
qikklqt,73,tutor,Uh-huh. And what would you do next?,00:09:44
qikklqt,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
qikklqt,75,tutor,What do you notice about these two numbers?,00:10:00
qikklqt,76,student,Okay,00:10:08
qikklqt,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
qikklqt,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
qikklqt,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
qikklqt,80,student,Maybe I should compare them as decimals first.,00:10:40
qikklqt,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
qikklqt,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
qikklqt,83,tutor,Can you talk me through how you got that answer?,00:11:04
qikklqt,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
qikklqt,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
qikklqt,86,student,Maybe I should compare them as decimals first.,00:11:28
qikklqt,87,tutor,What do you notice about these two numbers?,00:11:36
qikklqt,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
qikklqt,89,tutor,What do you notice about these two numbers?,00:11:52
qikklqt,90,student,Half?,00:12:00
qikklqt,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
qikklqt,92,student,Maybe I should compare them as decimals first.,00:12:16
qikklqt,93,tutor,What do you notice about these two numbers?,00:12:24
qikklqt,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
qikklqt,95,tutor,Uh-huh. And what would you do next?,00:12:40
qikklqt,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
qikklqt,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
qikklqt,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
qikklqt,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
qikklqt,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
qikklqt,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
qikklqt,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
qikklqt,103,tutor,Remember what we said about the denominator. What happens here?,00:13:44
qikklqt,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
qikklqt,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
qikklqt,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
qikklqt,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
qikklqt,108,student,Yes,00:14:24
qikklqt,109,tutor,Can you talk me through how you got that answer?,00:14:32
qikklqt,110,student,Okay,00:14:40
qikklqt,111,tutor,Uh-huh. And what would you do next?,00:14:48
qikklqt,112,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:56
qikklqt,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
qikklqt,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
qikklqt,115,tutor,Can you talk me through how you got that answer?,00:15:20
qikklqt,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
qikklqt,117,tutor,What do you notice about these two numbers?,00:15:36
qikklqt,118,student,Yes,00:15:44
qikklqt,119,tutor,Can you talk me through how you got that answer?,00:15:52
qikklqt,120,student,I think we need to make the bottom numbers the same before we add.,00:16:00
qikklqt,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
qikklqt,122,student,Maybe I should compare them as decimals first.,00:16:16
qikklqt,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
qikklqt,124,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:32
qikklqt,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
qikklqt,126,student,No,00:16:48
qikklqt,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
qikklqt,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
qikklqt,129,tutor,Can you talk me through how you got that answer?,00:17:12
qikklqt,130,student,"I would divide it by 100, so the answer is 3.45.",00:17:20
qikklqt,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
qikklqt,132,student,Maybe I should compare them as decimals first.,00:17:36
qikklqt,133,tutor,Can you talk me through how you got that answer?,00:17:44
qikklqt,134,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:52
qikklqt,135,tutor,"Good thinking. Now, is that answer reasonable?",00:18:00
qikklqt,136,student,Maybe I should compare them as decimals first.,00:18:08
qikklqt,137,tutor,"Good thinking. Now, is that answer reasonable?",00:18:16
qikklqt,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
qikklqt,139,tutor,Remember what we said about the denominator. What happens here?,00:18:32
qikklqt,140,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:40
qikklqt,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
qikklqt,142,student,I'm not sure. Is it because 10 has one zero?,00:18:56
qikklqt,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
qikklqt,144,student,Is it 4?,00:19:12
qikklqt,145,tutor,"Good thinking. Now, is that answer reasonable?",00:19:20
qikklqt,146,student,6?,00:19:28
qikklqt,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
qikklqt,148,student,Half?,00:19:44
qikklqt,149,tutor,What do you notice about these two numbers?,00:19:52
qikklqt,150,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:00
qikklqt,151,tutor,Uh-huh. And what would you do next?,00:20:08
qikklqt,152,student,I think we need to make the bottom numbers the same before we add.,00:20:16
qikklqt,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
qikklqt,154,student,I'm not sure. Is it because 10 has one zero?,00:20:32
qikklqt,155,tutor,Uh-huh. And what would you do next?,00:20:40
qikklqt,156,student,Maybe I should compare them as decimals first.,00:20:48
qikklqt,157,tutor,Can you talk me through how you got that answer?,00:20:56
qikklqt,158,student,I think we need to make the bottom numbers the same before we add.,00:21:04
qikklqt,159,tutor,"Good thinking. Now, is that answer reasonable?",00:21:12
qikklqt,160,student,"I would divide it by 100, so the answer is 3.45.",00:21:20
qikklqt,161,tutor,"Good thinking. Now, is that answer reasonable?",00:21:28
qikklqt,162,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:36
qikklqt,163,tutor,Can you talk me through how you got that answer?,00:21:44
qikklqt,164,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:52
qikklqt,165,tutor,"Good thinking. Now, is that answer reasonable?",00:22:00
qikklqt,166,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:08
qikklqt,167,tutor,So let me ask you first. Do you know what a fact family is?,00:22:16
qikklqt,168,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:24
qikklqt,169,tutor,Can you talk me through how you got that answer?,00:22:32
qikklqt,170,student,Maybe I should compare them as decimals first.,00:22:40
qikklqt,171,tutor,Let's try a similar one. What is 30 times 4?,00:22:48
qikklqt,172,student,I'm not sure. Is it because 10 has one zero?,00:22:56
qikklqt,173,tutor,Can you talk me through how you got that answer?,00:23:04
qikklqt,174,student,Okay,00:23:12
qikklqt,175,tutor,"Good thinking. Now, is that answer reasonable?",00:23:20
qikklqt,176,student,300?,00:23:28
qikklqt,177,tutor,Remember what we said about the denominator. What happens here?,00:23:36
qikklqt,178,student,"I would divide it by 100, so the answer is 3.45.",00:23:44
qikklqt,179,tutor,Can you talk me through how you got that answer?,00:23:52
qikklqt,180,student,I'm not sure. Is it because 10 has one zero?,00:24:00
qikklqt,181,tutor,Uh-huh. And what would you do next?,00:24:08
qikklqt,182,student,No,00:24:16
qikklqt,183,tutor,What do you notice about these two numbers?,00:24:24
