session_id,utterance_id,role,content,timestamp
wqpfulg,0,background,[unclear],00:00:00
wqpfulg,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
wqpfulg,2,student,"Yes, I think so.",00:00:16
wqpfulg,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
wqpfulg,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
wqpfulg,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
wqpfulg,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
wqpfulg,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
wqpfulg,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
wqpfulg,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
wqpfulg,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
wqpfulg,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
wqpfulg,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
wqpfulg,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
wqpfulg,14,student,Half?,00:01:52
wqpfulg,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
wqpfulg,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
wqpfulg,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
wqpfulg,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
wqpfulg,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
wqpfulg,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
wqpfulg,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
wqpfulg,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
wqpfulg,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
wqpfulg,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
wqpfulg,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
wqpfulg,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
wqpfulg,27,tutor,What do you notice about these two numbers?,00:03:36
wqpfulg,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
wqpfulg,29,tutor,What do you notice about these two numbers?,00:03:52
wqpfulg,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
wqpfulg,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
wqpfulg,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
wqpfulg,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
wqpfulg,34,student,Okay,00:04:32
wqpfulg,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
wqpfulg,36,student,Is it 4?,00:04:48
wqpfulg,37,tutor,What do you notice about these two numbers?,00:04:56
wqpfulg,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
wqpfulg,39,tutor,What do you notice about these two numbers?,00:05:12
wqpfulg,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
wqpfulg,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
wqpfulg,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
wqpfulg,43,tutor,Uh-huh. And what would you do next?,00:05:44
wqpfulg,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
wqpfulg,45,tutor,Can you talk me through how you got that answer?,00:06:00
wqpfulg,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
wqpfulg,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
wqpfulg,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
wqpfulg,49,tutor,What do you notice about these two numbers?,00:06:32
wqpfulg,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
wqpfulg,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
wqpfulg,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
wqpfulg,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
wqpfulg,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
wqpfulg,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
wqpfulg,56,student,Maybe I should compare them as decimals first.,00:07:28
wqpfulg,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
wqpfulg,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
wqpfulg,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
wqpfulg,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
wqpfulg,61,tutor,Can you talk me through how you got that answer?,00:08:08
wqpfulg,62,student,Maybe I should compare them as decimals first.,00:08:16
wqpfulg,63,tutor,Can you talk me through how you got that answer?,00:08:24
wqpfulg,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
wqpfulg,65,tutor,What do you notice about these two numbers?,00:08:40
wqpfulg,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
wqpfulg,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
wqpfulg,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
wqpfulg,69,tutor,Can you talk me through how you got that answer?,00:09:12
wqpfulg,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
wqpfulg,71,tutor,Uh-huh. And what would you do next?,00:09:28
wqpfulg,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
wqpfulg,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
wqpfulg,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
wqpfulg,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
wqpfulg,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
wqpfulg,77,tutor,What do you notice about these two numbers?,00:10:16
wqpfulg,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
wqpfulg,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
wqpfulg,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
wqpfulg,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
wqpfulg,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
wqpfulg,83,tutor,What do you notice about these two numbers?,00:11:04
wqpfulg,84,student,Maybe I should compare them as decimals first.,00:11:12
wqpfulg,85,tutor,Uh-huh. And what would you do next?,00:11:20
wqpfulg,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
wqpfulg,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
wqpfulg,88,student,12.,00:11:44
wqpfulg,89,tutor,Uh-huh. And what would you do next?,00:11:52
wqpfulg,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
wqpfulg,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
wqpfulg,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
wqpfulg,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
wqpfulg,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
wqpfulg,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
wqpfulg,96,student,Yes,00:12:48
wqpfulg,97,tutor,Uh-huh. And what would you do next?,00:12:56
wqpfulg,98,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:04
wqpfulg,99,tutor,What do you notice about these two numbers?,00:13:12
wqpfulg,100,student,Maybe I should compare them as decimals first.,00:13:20
wqpfulg,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
wqpfulg,102,student,No,00:13:36
wqpfulg,103,tutor,What do you notice about these two numbers?,00:13:44
wqpfulg,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
wqpfulg,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
wqpfulg,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
wqpfulg,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
wqpfulg,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
wqpfulg,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
wqpfulg,110,student,Maybe I should compare them as decimals first.,00:14:40
wqpfulg,111,tutor,Can you talk me through how you got that answer?,00:14:48
wqpfulg,112,student,Maybe I should compare them as decimals first.,00:14:56
wqpfulg,113,tutor,Can you talk me through how you got that answer?,00:15:04
wqpfulg,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
wqpfulg,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
wqpfulg,116,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:28
wqpfulg,117,tutor,What do you notice about these two numbers?,00:15:36
wqpfulg,118,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:44
wqpfulg,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
wqpfulg,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
wqpfulg,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
wqpfulg,122,student,Maybe I should compare them as decimals first.,00:16:16
wqpfulg,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
wqpfulg,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
wqpfulg,125,tutor,Uh-huh. And what would you do next?,00:16:40
wqpfulg,126,student,300?,00:16:48
wqpfulg,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
wqpfulg,128,student,75.,00:17:04
wqpfulg,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
wqpfulg,130,student,Maybe I should compare them as decimals first.,00:17:20
wqpfulg,131,tutor,What do you notice about these two numbers?,00:17:28
wqpfulg,132,student,Okay,00:17:36
wqpfulg,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
wqpfulg,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
wqpfulg,135,tutor,What do you notice about these two numbers?,00:18:00
wqpfulg,136,student,Maybe I should compare them as decimals first.,00:18:08
wqpfulg,137,tutor,Can you talk me through how you got that answer?,00:18:16
wqpfulg,138,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:24
wqpfulg,139,tutor,Can you talk me through how you got that answer?,00:18:32
wqpfulg,140,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:40
wqpfulg,141,tutor,Can you talk me through how you got that answer?,00:18:48
wqpfulg,142,student,"I would divide it by 100, so the answer is 3.45.",00:18:56
wqpfulg,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
wqpfulg,144,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:12
wqpfulg,145,tutor,Can you talk me through how you got that answer?,00:19:20
wqpfulg,146,student,I'm not sure. Is it because 10 has one zero?,00:19:28
wqpfulg,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
wqpfulg,148,student,Is it 4?,00:19:44
wqpfulg,149,tutor,So let me ask you first. Do you know what a fact family is?,00:19:52
