session_id,utterance_id,role,content,timestamp
eefoklm,0,background,[unclear],00:00:00
eefoklm,1,tutor,"Hello, are you ready to get started today?",00:00:08
eefoklm,2,student,"Yes, I think so.",00:00:16
eefoklm,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
eefoklm,4,student,75.,00:00:32
eefoklm,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
eefoklm,6,student,Maybe I should compare them as decimals first.,00:00:48
eefoklm,7,tutor,Uh-huh. And what would you do next?,00:00:56
eefoklm,8,student,Half?,00:01:04
eefoklm,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
eefoklm,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
eefoklm,11,tutor,What do you notice about these two numbers?,00:01:28
eefoklm,12,student,Maybe I should compare them as decimals first.,00:01:36
eefoklm,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
eefoklm,14,student,Maybe I should compare them as decimals first.,00:01:52
eefoklm,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
eefoklm,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
eefoklm,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
eefoklm,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
eefoklm,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
eefoklm,20,student,Maybe I should compare them as decimals first.,00:02:40
eefoklm,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
eefoklm,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
eefoklm,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
eefoklm,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
eefoklm,25,tutor,Uh-huh. And what would you do next?,00:03:20
eefoklm,26,student,Half?,00:03:28
eefoklm,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
eefoklm,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
eefoklm,29,tutor,What do you notice about these two numbers?,00:03:52
eefoklm,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
eefoklm,31,tutor,Uh-huh. And what would you do next?,00:04:08
eefoklm,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
eefoklm,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
eefoklm,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
eefoklm,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
eefoklm,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
eefoklm,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
eefoklm,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
eefoklm,39,tutor,Uh-huh. And what would you do next?,00:05:12
eefoklm,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
