session_id,utterance_id,role,content,timestamp
bfwfskb,0,background,[unclear],00:00:00
bfwfskb,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
bfwfskb,2,student,"Yes, I think so.",00:00:16
bfwfskb,3,tutor,Can you talk me through how you got that answer?,00:00:24
bfwfskb,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
bfwfskb,5,tutor,What do you notice about these two numbers?,00:00:40
bfwfskb,6,student,300?,00:00:48
bfwfskb,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
bfwfskb,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
bfwfskb,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
bfwfskb,10,student,Maybe I should compare them as decimals first.,00:01:20
bfwfskb,11,tutor,Uh-huh. And what would you do next?,00:01:28
bfwfskb,12,student,75.,00:01:36
bfwfskb,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
bfwfskb,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
bfwfskb,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
bfwfskb,16,student,Maybe I should compare them as decimals first.,00:02:08
bfwfskb,17,tutor,Uh-huh. And what would you do next?,00:02:16
bfwfskb,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
bfwfskb,19,tutor,What do you notice about these two numbers?,00:02:32
bfwfskb,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
bfwfskb,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
bfwfskb,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
bfwfskb,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
bfwfskb,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
bfwfskb,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
bfwfskb,26,student,Maybe I should compare them as decimals first.,00:03:28
bfwfskb,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
bfwfskb,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
bfwfskb,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
bfwfskb,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
bfwfskb,31,tutor,Uh-huh. And what would you do next?,00:04:08
bfwfskb,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
bfwfskb,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
bfwfskb,34,student,Okay,00:04:32
bfwfskb,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
bfwfskb,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
bfwfskb,37,tutor,Can you talk me through how you got that answer?,00:04:56
bfwfskb,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
bfwfskb,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
bfwfskb,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
bfwfskb,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
bfwfskb,42,student,Maybe I should compare them as decimals first.,00:05:36
bfwfskb,43,tutor,What do you notice about these two numbers?,00:05:44
bfwfskb,44,student,Maybe I should compare them as decimals first.,00:05:52
bfwfskb,45,tutor,Can you talk me through how you got that answer?,00:06:00
bfwfskb,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
bfwfskb,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
bfwfskb,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
bfwfskb,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
bfwfskb,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
bfwfskb,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
bfwfskb,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
bfwfskb,53,tutor,Uh-huh. And what would you do next?,00:07:04
bfwfskb,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
bfwfskb,55,tutor,Can you talk me through how you got that answer?,00:07:20
bfwfskb,56,student,Maybe I should compare them as decimals first.,00:07:28
bfwfskb,57,tutor,Can you talk me through how you got that answer?,00:07:36
bfwfskb,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
bfwfskb,59,tutor,Uh-huh. And what would you do next?,00:07:52
bfwfskb,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
bfwfskb,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
bfwfskb,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
bfwfskb,63,tutor,Uh-huh. And what would you do next?,00:08:24
bfwfskb,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
bfwfskb,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
bfwfskb,66,student,Maybe I should compare them as decimals first.,00:08:48
bfwfskb,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
bfwfskb,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
bfwfskb,69,tutor,What do you notice about these two numbers?,00:09:12
bfwfskb,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
bfwfskb,71,tutor,Uh-huh. And what would you do next?,00:09:28
bfwfskb,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
bfwfskb,73,tutor,What do you notice about these two numbers?,00:09:44
bfwfskb,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
bfwfskb,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
bfwfskb,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
bfwfskb,77,tutor,Uh-huh. And what would you do next?,00:10:16
bfwfskb,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
bfwfskb,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
bfwfskb,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
bfwfskb,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
bfwfskb,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
bfwfskb,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
bfwfskb,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
bfwfskb,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
bfwfskb,86,student,Maybe I should compare them as decimals first.,00:11:28
bfwfskb,87,tutor,What do you notice about these two numbers?,00:11:36
bfwfskb,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
bfwfskb,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
bfwfskb,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
bfwfskb,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
bfwfskb,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
bfwfskb,93,tutor,What do you notice about these two numbers?,00:12:24
bfwfskb,94,student,Okay,00:12:32
bfwfskb,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
bfwfskb,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
bfwfskb,97,tutor,What do you notice about these two numbers?,00:12:56
bfwfskb,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
bfwfskb,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
bfwfskb,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
bfwfskb,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
bfwfskb,102,student,Half?,00:13:36
bfwfskb,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
bfwfskb,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
bfwfskb,105,tutor,What do you notice about these two numbers?,00:14:00
bfwfskb,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
bfwfskb,107,tutor,What do you notice about these two numbers?,00:14:16
bfwfskb,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
bfwfskb,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
bfwfskb,110,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:40
bfwfskb,111,tutor,Uh-huh. And what would you do next?,00:14:48
bfwfskb,112,student,Maybe I should compare them as decimals first.,00:14:56
bfwfskb,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
bfwfskb,114,student,Okay,00:15:12
bfwfskb,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
bfwfskb,116,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:28
bfwfskb,117,tutor,Uh-huh. And what would you do next?,00:15:36
bfwfskb,118,student,300?,00:15:44
bfwfskb,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
bfwfskb,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
bfwfskb,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
bfwfskb,122,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:16
bfwfskb,123,tutor,Can you talk me through how you got that answer?,00:16:24
bfwfskb,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
bfwfskb,125,tutor,"Good thinking. Now, is that answer reasonable?",00:16:40
bfwfskb,126,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:48
bfwfskb,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
bfwfskb,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
bfwfskb,129,tutor,Can you talk me through how you got that answer?,00:17:12
bfwfskb,130,student,No,00:17:20
bfwfskb,131,tutor,Remember what we said about the denominator. What happens here?,00:17:28
bfwfskb,132,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:36
bfwfskb,133,tutor,Remember what we said about the denominator. What happens here?,00:17:44
bfwfskb,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
bfwfskb,135,tutor,Can you talk me through how you got that answer?,00:18:00
bfwfskb,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
bfwfskb,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
bfwfskb,138,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:24
bfwfskb,139,tutor,Uh-huh. And what would you do next?,00:18:32
bfwfskb,140,student,Maybe I should compare them as decimals first.,00:18:40
bfwfskb,141,tutor,Let's try a similar one. What is 30 times 4?,00:18:48
bfwfskb,142,student,Maybe I should compare them as decimals first.,00:18:56
bfwfskb,143,tutor,What do you notice about these two numbers?,00:19:04
bfwfskb,144,student,"I would divide it by 100, so the answer is 3.45.",00:19:12
bfwfskb,145,tutor,So let me ask you first. Do you know what a fact family is?,00:19:20
bfwfskb,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
bfwfskb,147,tutor,What do you notice about these two numbers?,00:19:36
bfwfskb,148,student,"I would divide it by 100, so the answer is 3.45.",00:19:44
bfwfskb,149,tutor,"Good thinking. Now, is that answer reasonable?",00:19:52
bfwfskb,150,student,I think we need to make the bottom numbers the same before we add.,00:20:00
bfwfskb,151,tutor,Can you talk me through how you got that answer?,00:20:08
bfwfskb,152,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:16
bfwfskb,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
bfwfskb,154,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:32
bfwfskb,155,tutor,Remember what we said about the denominator. What happens here?,00:20:40
bfwfskb,156,student,I think we need to make the bottom numbers the same before we add.,00:20:48
bfwfskb,157,tutor,What do you notice about these two numbers?,00:20:56
bfwfskb,158,student,"I would divide it by 100, so the answer is 3.45.",00:21:04
bfwfskb,159,tutor,Can you talk me through how you got that answer?,00:21:12
bfwfskb,160,student,I think we need to make the bottom numbers the same before we add.,00:21:20
bfwfskb,161,tutor,What do you notice about these two numbers?,00:21:28
bfwfskb,162,student,I'm not sure. Is it because 10 has one zero?,00:21:36
bfwfskb,163,tutor,So let me ask you first. Do you know what a fact family is?,00:21:44
bfwfskb,164,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:52
bfwfskb,165,tutor,What do you notice about these two numbers?,00:22:00
bfwfskb,166,student,Maybe I should compare them as decimals first.,00:22:08
bfwfskb,167,tutor,"Good thinking. Now, is that answer reasonable?",00:22:16
bfwfskb,168,student,Maybe I should compare them as decimals first.,00:22:24
bfwfskb,169,tutor,Can you talk me through how you got that answer?,00:22:32
