session_id,utterance_id,role,content,timestamp
meekffx,0,background,[unclear],00:00:00
meekffx,1,tutor,"Hello, are you ready to get started today?",00:00:08
meekffx,2,student,"Yes, I think so.",00:00:16
meekffx,3,tutor,What do you notice about these two numbers?,00:00:24
meekffx,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
meekffx,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
meekffx,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
meekffx,7,tutor,What do you notice about these two numbers?,00:00:56
meekffx,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
meekffx,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
meekffx,10,student,12.,00:01:20
meekffx,11,tutor,Can you talk me through how you got that answer?,00:01:28
meekffx,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
meekffx,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
meekffx,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
meekffx,15,tutor,What do you notice about these two numbers?,00:02:00
meekffx,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
meekffx,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
meekffx,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
meekffx,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
meekffx,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
meekffx,21,tutor,What do you notice about these two numbers?,00:02:48
meekffx,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
meekffx,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
meekffx,24,student,Maybe I should compare them as decimals first.,00:03:12
meekffx,25,tutor,What do you notice about these two numbers?,00:03:20
meekffx,26,student,Maybe I should compare them as decimals first.,00:03:28
meekffx,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
meekffx,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
meekffx,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
meekffx,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
meekffx,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
meekffx,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
meekffx,33,tutor,What do you notice about these two numbers?,00:04:24
meekffx,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
meekffx,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
meekffx,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
meekffx,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
meekffx,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
meekffx,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
meekffx,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
meekffx,41,tutor,What do you notice about these two numbers?,00:05:28
