session_id,utterance_id,role,content,timestamp
nzmmdus,0,background,[unclear],00:00:00
nzmmdus,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
nzmmdus,2,student,"Yes, I think so.",00:00:16
nzmmdus,3,tutor,What do you notice about these two numbers?,00:00:24
nzmmdus,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
nzmmdus,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
nzmmdus,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
nzmmdus,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
nzmmdus,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
nzmmdus,9,tutor,Can you talk me through how you got that answer?,00:01:12
nzmmdus,10,student,Okay,00:01:20
nzmmdus,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
nzmmdus,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
nzmmdus,13,tutor,Uh-huh. And what would you do next?,00:01:44
nzmmdus,14,student,No,00:01:52
nzmmdus,15,tutor,Uh-huh. And what would you do next?,00:02:00
nzmmdus,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
nzmmdus,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
nzmmdus,18,student,Maybe I should compare them as decimals first.,00:02:24
nzmmdus,19,tutor,What do you notice about these two numbers?,00:02:32
nzmmdus,20,student,Is it 4?,00:02:40
nzmmdus,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
nzmmdus,22,student,Okay,00:02:56
nzmmdus,23,tutor,Uh-huh. And what would you do next?,00:03:04
nzmmdus,24,student,6?,00:03:12
nzmmdus,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
nzmmdus,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
nzmmdus,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
nzmmdus,28,student,6?,00:03:44
nzmmdus,29,tutor,What do you notice about these two numbers?,00:03:52
nzmmdus,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
nzmmdus,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
nzmmdus,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
nzmmdus,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
nzmmdus,34,student,No,00:04:32
nzmmdus,35,tutor,What do you notice about these two numbers?,00:04:40
nzmmdus,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
nzmmdus,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
nzmmdus,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
nzmmdus,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
nzmmdus,40,student,75.,00:05:20
nzmmdus,41,tutor,Can you talk me through how you got that answer?,00:05:28
nzmmdus,42,student,Maybe I should compare them as decimals first.,00:05:36
nzmmdus,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
nzmmdus,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
