session_id,utterance_id,role,content,timestamp
venamvw,0,background,[unclear],00:00:00
venamvw,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
venamvw,2,student,"Yes, I think so.",00:00:16
venamvw,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
venamvw,4,student,No,00:00:32
venamvw,5,tutor,Can you talk me through how you got that answer?,00:00:40
venamvw,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
venamvw,7,tutor,Can you talk me through how you got that answer?,00:00:56
venamvw,8,student,300?,00:01:04
venamvw,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
venamvw,10,student,No,00:01:20
venamvw,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
venamvw,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
venamvw,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
venamvw,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
venamvw,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
venamvw,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
venamvw,17,tutor,What do you notice about these two numbers?,00:02:16
venamvw,18,student,12.,00:02:24
venamvw,19,tutor,Can you talk me through how you got that answer?,00:02:32
venamvw,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
venamvw,21,tutor,Can you talk me through how you got that answer?,00:02:48
venamvw,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
venamvw,23,tutor,Uh-huh. And what would you do next?,00:03:04
venamvw,24,student,Maybe I should compare them as decimals first.,00:03:12
venamvw,25,tutor,Can you talk me through how you got that answer?,00:03:20
venamvw,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
venamvw,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
venamvw,28,student,Maybe I should compare them as decimals first.,00:03:44
venamvw,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
venamvw,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
venamvw,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
venamvw,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
venamvw,33,tutor,What do you notice about these two numbers?,00:04:24
venamvw,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
venamvw,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
venamvw,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
venamvw,37,tutor,What do you notice about these two numbers?,00:04:56
venamvw,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
venamvw,39,tutor,What do you notice about these two numbers?,00:05:12
venamvw,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
venamvw,41,tutor,What do you notice about these two numbers?,00:05:28
venamvw,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
venamvw,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
venamvw,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
venamvw,45,tutor,Uh-huh. And what would you do next?,00:06:00
venamvw,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
venamvw,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
venamvw,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
venamvw,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
venamvw,50,student,Maybe I should compare them as decimals first.,00:06:40
venamvw,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
venamvw,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
venamvw,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
venamvw,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
venamvw,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
venamvw,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
venamvw,57,tutor,Uh-huh. And what would you do next?,00:07:36
venamvw,58,student,Okay,00:07:44
venamvw,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
venamvw,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
venamvw,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
venamvw,62,student,Okay,00:08:16
venamvw,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
venamvw,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
venamvw,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
venamvw,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
