session_id,utterance_id,role,content,timestamp
sninzaf,0,background,[unclear],00:00:00
sninzaf,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
sninzaf,2,student,"Yes, I think so.",00:00:16
sninzaf,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
sninzaf,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
sninzaf,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
sninzaf,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
sninzaf,7,tutor,Can you talk me through how you got that answer?,00:00:56
sninzaf,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
sninzaf,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
sninzaf,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
sninzaf,11,tutor,What do you notice about these two numbers?,00:01:28
sninzaf,12,student,Maybe I should compare them as decimals first.,00:01:36
sninzaf,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
sninzaf,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
sninzaf,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
sninzaf,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
sninzaf,17,tutor,Uh-huh. And what would you do next?,00:02:16
sninzaf,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
sninzaf,19,tutor,Uh-huh. And what would you do next?,00:02:32
sninzaf,20,student,Maybe I should compare them as decimals first.,00:02:40
sninzaf,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
sninzaf,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
sninzaf,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
sninzaf,24,student,6?,00:03:12
sninzaf,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
sninzaf,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
sninzaf,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
sninzaf,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
sninzaf,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
sninzaf,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
sninzaf,31,tutor,What do you notice about these two numbers?,00:04:08
sninzaf,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
sninzaf,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
sninzaf,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
sninzaf,35,tutor,What do you notice about these two numbers?,00:04:40
sninzaf,36,student,75.,00:04:48
sninzaf,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
sninzaf,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
sninzaf,39,tutor,What do you notice about these two numbers?,00:05:12
sninzaf,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
sninzaf,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
sninzaf,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
sninzaf,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
sninzaf,44,student,Is it 4?,00:05:52
sninzaf,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
sninzaf,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
sninzaf,47,tutor,What do you notice about these two numbers?,00:06:16
sninzaf,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
sninzaf,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
sninzaf,50,student,Maybe I should compare them as decimals first.,00:06:40
sninzaf,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
sninzaf,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
sninzaf,53,tutor,What do you notice about these two numbers?,00:07:04
sninzaf,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
sninzaf,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
sninzaf,56,student,300?,00:07:28
sninzaf,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
sninzaf,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
sninzaf,59,tutor,Uh-huh. And what would you do next?,00:07:52
sninzaf,60,student,Maybe I should compare them as decimals first.,00:08:00
sninzaf,61,tutor,What do you notice about these two numbers?,00:08:08
sninzaf,62,student,Okay,00:08:16
sninzaf,63,tutor,Uh-huh. And what would you do next?,00:08:24
sninzaf,64,student,Half?,00:08:32
sninzaf,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
sninzaf,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
sninzaf,67,tutor,Uh-huh. And what would you do next?,00:08:56
sninzaf,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
sninzaf,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
sninzaf,70,student,Maybe I should compare them as decimals first.,00:09:20
sninzaf,71,tutor,Can you talk me through how you got that answer?,00:09:28
sninzaf,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
sninzaf,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
sninzaf,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
sninzaf,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
sninzaf,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
sninzaf,77,tutor,Uh-huh. And what would you do next?,00:10:16
sninzaf,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
sninzaf,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
sninzaf,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
sninzaf,81,tutor,Can you talk me through how you got that answer?,00:10:48
sninzaf,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
sninzaf,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
sninzaf,84,student,300?,00:11:12
sninzaf,85,tutor,Can you talk me through how you got that answer?,00:11:20
sninzaf,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
sninzaf,87,tutor,Uh-huh. And what would you do next?,00:11:36
sninzaf,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
sninzaf,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
sninzaf,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
sninzaf,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
sninzaf,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
sninzaf,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
sninzaf,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
sninzaf,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
sninzaf,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
sninzaf,97,tutor,What do you notice about these two numbers?,00:12:56
sninzaf,98,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:04
sninzaf,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
sninzaf,100,student,6?,00:13:20
sninzaf,101,tutor,What do you notice about these two numbers?,00:13:28
sninzaf,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
sninzaf,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
sninzaf,104,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:52
sninzaf,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
sninzaf,106,student,6?,00:14:08
sninzaf,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
sninzaf,108,student,300?,00:14:24
sninzaf,109,tutor,Can you talk me through how you got that answer?,00:14:32
sninzaf,110,student,I think we need to make the bottom numbers the same before we add.,00:14:40
sninzaf,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
sninzaf,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
sninzaf,113,tutor,Can you talk me through how you got that answer?,00:15:04
sninzaf,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
sninzaf,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
sninzaf,116,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:28
sninzaf,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
sninzaf,118,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:44
sninzaf,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
sninzaf,120,student,Maybe I should compare them as decimals first.,00:16:00
sninzaf,121,tutor,What do you notice about these two numbers?,00:16:08
sninzaf,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
sninzaf,123,tutor,What do you notice about these two numbers?,00:16:24
sninzaf,124,student,Okay,00:16:32
sninzaf,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
sninzaf,126,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:48
sninzaf,127,tutor,Uh-huh. And what would you do next?,00:16:56
sninzaf,128,student,I think we need to make the bottom numbers the same before we add.,00:17:04
sninzaf,129,tutor,Can you talk me through how you got that answer?,00:17:12
sninzaf,130,student,Maybe I should compare them as decimals first.,00:17:20
sninzaf,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
sninzaf,132,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:36
sninzaf,133,tutor,Can you talk me through how you got that answer?,00:17:44
sninzaf,134,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:52
sninzaf,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
sninzaf,136,student,I'm not sure. Is it because 10 has one zero?,00:18:08
sninzaf,137,tutor,Uh-huh. And what would you do next?,00:18:16
sninzaf,138,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:24
sninzaf,139,tutor,Can you talk me through how you got that answer?,00:18:32
sninzaf,140,student,I'm not sure. Is it because 10 has one zero?,00:18:40
sninzaf,141,tutor,Let's try a similar one. What is 30 times 4?,00:18:48
sninzaf,142,student,I think we need to make the bottom numbers the same before we add.,00:18:56
sninzaf,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
sninzaf,144,student,75.,00:19:12
sninzaf,145,tutor,"Good thinking. Now, is that answer reasonable?",00:19:20
sninzaf,146,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:28
sninzaf,147,tutor,So let me ask you first. Do you know what a fact family is?,00:19:36
sninzaf,148,student,I'm not sure. Is it because 10 has one zero?,00:19:44
sninzaf,149,tutor,So let me ask you first. Do you know what a fact family is?,00:19:52
sninzaf,150,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:00
sninzaf,151,tutor,What do you notice about these two numbers?,00:20:08
sninzaf,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
sninzaf,153,tutor,Uh-huh. And what would you do next?,00:20:24
sninzaf,154,student,300?,00:20:32
sninzaf,155,tutor,Uh-huh. And what would you do next?,00:20:40
sninzaf,156,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:48
sninzaf,157,tutor,So let me ask you first. Do you know what a fact family is?,00:20:56
sninzaf,158,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:04
sninzaf,159,tutor,Let's try a similar one. What is 30 times 4?,00:21:12
sninzaf,160,student,Maybe I should compare them as decimals first.,00:21:20
sninzaf,161,tutor,So let me ask you first. Do you know what a fact family is?,00:21:28
sninzaf,162,student,I'm not sure. Is it because 10 has one zero?,00:21:36
sninzaf,163,tutor,Can you talk me through how you got that answer?,00:21:44
sninzaf,164,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:52
sninzaf,165,tutor,Can you talk me through how you got that answer?,00:22:00
sninzaf,166,student,I think we need to make the bottom numbers the same before we add.,00:22:08
sninzaf,167,tutor,So let me ask you first. Do you know what a fact family is?,00:22:16
sninzaf,168,student,I'm not sure. Is it because 10 has one zero?,00:22:24
sninzaf,169,tutor,Can you talk me through how you got that answer?,00:22:32
sninzaf,170,student,Maybe I should compare them as decimals first.,00:22:40
sninzaf,171,tutor,What do you notice about these two numbers?,00:22:48
sninzaf,172,student,Yes,00:22:56
sninzaf,173,tutor,What do you notice about these two numbers?,00:23:04
sninzaf,174,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:23:12
sninzaf,175,tutor,"Good thinking. Now, is that answer reasonable?",00:23:20
sninzaf,176,student,I'm not sure. Is it because 10 has one zero?,00:23:28
sninzaf,177,tutor,So let me ask you first. Do you know what a fact family is?,00:23:36
sninzaf,178,student,Maybe I should compare them as decimals first.,00:23:44
sninzaf,179,tutor,So let me ask you first. Do you know what a fact family is?,00:23:52
sninzaf,180,student,I think we need to make the bottom numbers the same before we add.,00:24:00
sninzaf,181,tutor,What do you notice about these two numbers?,00:24:08
sninzaf,182,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:16
sninzaf,183,tutor,"Good thinking. Now, is that answer reasonable?",00:24:24
sninzaf,184,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:32
sninzaf,185,tutor,So let me ask you first. Do you know what a fact family is?,00:24:40
sninzaf,186,student,300?,00:24:48
sninzaf,187,tutor,What do you notice about these two numbers?,00:24:56
sninzaf,188,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:25:04
sninzaf,189,tutor,Uh-huh. And what would you do next?,00:25:12
sninzaf,190,student,Maybe I should compare them as decimals first.,00:25:20
sninzaf,191,tutor,So let me ask you first. Do you know what a fact family is?,00:25:28
sninzaf,192,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:25:36
sninzaf,193,tutor,Remember what we said about the denominator. What happens here?,00:25:44
sninzaf,194,student,I'm not sure. Is it because 10 has one zero?,00:25:52
sninzaf,195,tutor,Can you talk me through how you got that answer?,00:26:00
