session_id,utterance_id,role,content,timestamp
qcxdeby,0,background,[unclear],00:00:00
qcxdeby,1,tutor,"Hello, are you ready to get started today?",00:00:08
qcxdeby,2,student,"Yes, I think so.",00:00:16
qcxdeby,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
qcxdeby,4,student,Maybe I should compare them as decimals first.,00:00:32
qcxdeby,5,tutor,What do you notice about these two numbers?,00:00:40
qcxdeby,6,student,12.,00:00:48
qcxdeby,7,tutor,Can you talk me through how you got that answer?,00:00:56
qcxdeby,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
qcxdeby,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
qcxdeby,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
qcxdeby,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
qcxdeby,12,student,Maybe I should compare them as decimals first.,00:01:36
qcxdeby,13,tutor,Uh-huh. And what would you do next?,00:01:44
qcxdeby,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
qcxdeby,15,tutor,What do you notice about these two numbers?,00:02:00
qcxdeby,16,student,12.,00:02:08
qcxdeby,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
qcxdeby,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
qcxdeby,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
qcxdeby,20,student,Half?,00:02:40
qcxdeby,21,tutor,Can you talk me through how you got that answer?,00:02:48
qcxdeby,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
qcxdeby,23,tutor,Uh-huh. And what would you do next?,00:03:04
qcxdeby,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
qcxdeby,25,tutor,What do you notice about these two numbers?,00:03:20
qcxdeby,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
qcxdeby,27,tutor,What do you notice about these two numbers?,00:03:36
qcxdeby,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
qcxdeby,29,tutor,Uh-huh. And what would you do next?,00:03:52
qcxdeby,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
qcxdeby,31,tutor,What do you notice about these two numbers?,00:04:08
qcxdeby,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
qcxdeby,33,tutor,Can you talk me through how you got that answer?,00:04:24
qcxdeby,34,student,Maybe I should compare them as decimals first.,00:04:32
qcxdeby,35,tutor,Can you talk me through how you got that answer?,00:04:40
qcxdeby,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
qcxdeby,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
qcxdeby,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
qcxdeby,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
qcxdeby,40,student,6?,00:05:20
qcxdeby,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
qcxdeby,42,student,No,00:05:36
qcxdeby,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
qcxdeby,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
qcxdeby,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
qcxdeby,46,student,300?,00:06:08
qcxdeby,47,tutor,Can you talk me through how you got that answer?,00:06:16
qcxdeby,48,student,Is it 4?,00:06:24
qcxdeby,49,tutor,Uh-huh. And what would you do next?,00:06:32
qcxdeby,50,student,Maybe I should compare them as decimals first.,00:06:40
qcxdeby,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
qcxdeby,52,student,300?,00:06:56
qcxdeby,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
qcxdeby,54,student,300?,00:07:12
qcxdeby,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
qcxdeby,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
qcxdeby,57,tutor,What do you notice about these two numbers?,00:07:36
qcxdeby,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
qcxdeby,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
qcxdeby,60,student,Maybe I should compare them as decimals first.,00:08:00
qcxdeby,61,tutor,Uh-huh. And what would you do next?,00:08:08
qcxdeby,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
qcxdeby,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
qcxdeby,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
qcxdeby,65,tutor,Uh-huh. And what would you do next?,00:08:40
qcxdeby,66,student,300?,00:08:48
qcxdeby,67,tutor,What do you notice about these two numbers?,00:08:56
qcxdeby,68,student,Maybe I should compare them as decimals first.,00:09:04
qcxdeby,69,tutor,What do you notice about these two numbers?,00:09:12
qcxdeby,70,student,75.,00:09:20
qcxdeby,71,tutor,Can you talk me through how you got that answer?,00:09:28
qcxdeby,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
qcxdeby,73,tutor,Can you talk me through how you got that answer?,00:09:44
qcxdeby,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
qcxdeby,75,tutor,What do you notice about these two numbers?,00:10:00
qcxdeby,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
qcxdeby,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
qcxdeby,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
qcxdeby,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
qcxdeby,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
qcxdeby,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
qcxdeby,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
qcxdeby,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
qcxdeby,84,student,No,00:11:12
qcxdeby,85,tutor,What do you notice about these two numbers?,00:11:20
qcxdeby,86,student,No,00:11:28
qcxdeby,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
qcxdeby,88,student,6?,00:11:44
qcxdeby,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
qcxdeby,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
qcxdeby,91,tutor,Uh-huh. And what would you do next?,00:12:08
qcxdeby,92,student,75.,00:12:16
qcxdeby,93,tutor,Can you talk me through how you got that answer?,00:12:24
qcxdeby,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
qcxdeby,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
qcxdeby,96,student,Maybe I should compare them as decimals first.,00:12:48
qcxdeby,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
qcxdeby,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
