session_id,utterance_id,role,content,timestamp
rnpwvck,0,background,[unclear],00:00:00
rnpwvck,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
rnpwvck,2,student,"Yes, I think so.",00:00:16
rnpwvck,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
rnpwvck,4,student,Maybe I should compare them as decimals first.,00:00:32
rnpwvck,5,tutor,Can you talk me through how you got that answer?,00:00:40
rnpwvck,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
rnpwvck,7,tutor,Can you talk me through how you got that answer?,00:00:56
rnpwvck,8,student,Okay,00:01:04
rnpwvck,9,tutor,Can you talk me through how you got that answer?,00:01:12
rnpwvck,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
rnpwvck,11,tutor,Can you talk me through how you got that answer?,00:01:28
rnpwvck,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
rnpwvck,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
rnpwvck,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
rnpwvck,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
rnpwvck,16,student,300?,00:02:08
rnpwvck,17,tutor,Uh-huh. And what would you do next?,00:02:16
rnpwvck,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
rnpwvck,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
rnpwvck,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
rnpwvck,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
rnpwvck,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
rnpwvck,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
rnpwvck,24,student,Okay,00:03:12
rnpwvck,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
rnpwvck,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
rnpwvck,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
rnpwvck,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
rnpwvck,29,tutor,Uh-huh. And what would you do next?,00:03:52
rnpwvck,30,student,Maybe I should compare them as decimals first.,00:04:00
rnpwvck,31,tutor,What do you notice about these two numbers?,00:04:08
rnpwvck,32,student,Maybe I should compare them as decimals first.,00:04:16
rnpwvck,33,tutor,Can you talk me through how you got that answer?,00:04:24
rnpwvck,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
rnpwvck,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
rnpwvck,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
rnpwvck,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
rnpwvck,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
rnpwvck,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
rnpwvck,40,student,Maybe I should compare them as decimals first.,00:05:20
rnpwvck,41,tutor,What do you notice about these two numbers?,00:05:28
rnpwvck,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
rnpwvck,43,tutor,Can you talk me through how you got that answer?,00:05:44
rnpwvck,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
rnpwvck,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
rnpwvck,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
rnpwvck,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
rnpwvck,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
rnpwvck,49,tutor,Uh-huh. And what would you do next?,00:06:32
rnpwvck,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
rnpwvck,51,tutor,Uh-huh. And what would you do next?,00:06:48
rnpwvck,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
rnpwvck,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
rnpwvck,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
rnpwvck,55,tutor,Uh-huh. And what would you do next?,00:07:20
rnpwvck,56,student,6?,00:07:28
rnpwvck,57,tutor,Uh-huh. And what would you do next?,00:07:36
rnpwvck,58,student,Maybe I should compare them as decimals first.,00:07:44
rnpwvck,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
rnpwvck,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
rnpwvck,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
rnpwvck,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
rnpwvck,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
rnpwvck,64,student,Yes,00:08:32
rnpwvck,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
rnpwvck,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
rnpwvck,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
rnpwvck,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
rnpwvck,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
rnpwvck,70,student,6?,00:09:20
rnpwvck,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
rnpwvck,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
rnpwvck,73,tutor,Uh-huh. And what would you do next?,00:09:44
rnpwvck,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
rnpwvck,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
rnpwvck,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
rnpwvck,77,tutor,What do you notice about these two numbers?,00:10:16
rnpwvck,78,student,Maybe I should compare them as decimals first.,00:10:24
rnpwvck,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
rnpwvck,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
rnpwvck,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
rnpwvck,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
rnpwvck,83,tutor,Uh-huh. And what would you do next?,00:11:04
rnpwvck,84,student,Maybe I should compare them as decimals first.,00:11:12
rnpwvck,85,tutor,What do you notice about these two numbers?,00:11:20
rnpwvck,86,student,12.,00:11:28
rnpwvck,87,tutor,What do you notice about these two numbers?,00:11:36
rnpwvck,88,student,Okay,00:11:44
rnpwvck,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
rnpwvck,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
rnpwvck,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
rnpwvck,92,student,300?,00:12:16
