session_id,utterance_id,role,content,timestamp
geedprw,0,background,[unclear],00:00:00
geedprw,1,tutor,"Hello, are you ready to get started today?",00:00:08
geedprw,2,student,"Yes, I think so.",00:00:16
geedprw,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
geedprw,4,student,Maybe I should compare them as decimals first.,00:00:32
geedprw,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
geedprw,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
geedprw,7,tutor,Can you talk me through how you got that answer?,00:00:56
geedprw,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
geedprw,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
geedprw,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
geedprw,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
geedprw,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
geedprw,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
geedprw,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
geedprw,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
geedprw,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
geedprw,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
geedprw,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
geedprw,19,tutor,What do you notice about these two numbers?,00:02:32
geedprw,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
geedprw,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
geedprw,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
geedprw,23,tutor,Can you talk me through how you got that answer?,00:03:04
geedprw,24,student,Okay,00:03:12
geedprw,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
geedprw,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
geedprw,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
geedprw,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
geedprw,29,tutor,What do you notice about these two numbers?,00:03:52
geedprw,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
geedprw,31,tutor,Uh-huh. And what would you do next?,00:04:08
geedprw,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
geedprw,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
geedprw,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
geedprw,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
geedprw,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
geedprw,37,tutor,Can you talk me through how you got that answer?,00:04:56
geedprw,38,student,Maybe I should compare them as decimals first.,00:05:04
geedprw,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
geedprw,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
geedprw,41,tutor,Can you talk me through how you got that answer?,00:05:28
geedprw,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
geedprw,43,tutor,Uh-huh. And what would you do next?,00:05:44
geedprw,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
geedprw,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
