session_id,utterance_id,role,content,timestamp
numounx,0,background,[unclear],00:00:00
numounx,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
numounx,2,student,"Yes, I think so.",00:00:16
numounx,3,tutor,Can you talk me through how you got that answer?,00:00:24
numounx,4,student,Yes,00:00:32
numounx,5,tutor,What do you notice about these two numbers?,00:00:40
numounx,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
numounx,7,tutor,Uh-huh. And what would you do next?,00:00:56
numounx,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
numounx,9,tutor,Can you talk me through how you got that answer?,00:01:12
numounx,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
numounx,11,tutor,What do you notice about these two numbers?,00:01:28
numounx,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
numounx,13,tutor,Uh-huh. And what would you do next?,00:01:44
numounx,14,student,12.,00:01:52
numounx,15,tutor,What do you notice about these two numbers?,00:02:00
numounx,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
numounx,17,tutor,Can you talk me through how you got that answer?,00:02:16
numounx,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
numounx,19,tutor,What do you notice about these two numbers?,00:02:32
numounx,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
numounx,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
numounx,22,student,12.,00:02:56
numounx,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
numounx,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
numounx,25,tutor,Can you talk me through how you got that answer?,00:03:20
numounx,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
numounx,27,tutor,Can you talk me through how you got that answer?,00:03:36
numounx,28,student,Okay,00:03:44
numounx,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
numounx,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
numounx,31,tutor,Uh-huh. And what would you do next?,00:04:08
numounx,32,student,Maybe I should compare them as decimals first.,00:04:16
numounx,33,tutor,What do you notice about these two numbers?,00:04:24
numounx,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
numounx,35,tutor,What do you notice about these two numbers?,00:04:40
numounx,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
numounx,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
numounx,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
numounx,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
numounx,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
numounx,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
numounx,42,student,6?,00:05:36
numounx,43,tutor,Can you talk me through how you got that answer?,00:05:44
numounx,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
numounx,45,tutor,What do you notice about these two numbers?,00:06:00
numounx,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
numounx,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
numounx,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
numounx,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
numounx,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
numounx,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
numounx,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
numounx,53,tutor,Can you talk me through how you got that answer?,00:07:04
numounx,54,student,Maybe I should compare them as decimals first.,00:07:12
numounx,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
numounx,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
numounx,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
numounx,58,student,Maybe I should compare them as decimals first.,00:07:44
numounx,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
numounx,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
numounx,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
numounx,62,student,Maybe I should compare them as decimals first.,00:08:16
numounx,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
numounx,64,student,Maybe I should compare them as decimals first.,00:08:32
numounx,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
numounx,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
numounx,67,tutor,Can you talk me through how you got that answer?,00:08:56
numounx,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
numounx,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
numounx,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
numounx,71,tutor,What do you notice about these two numbers?,00:09:28
numounx,72,student,No,00:09:36
numounx,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
numounx,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
numounx,75,tutor,What do you notice about these two numbers?,00:10:00
numounx,76,student,Maybe I should compare them as decimals first.,00:10:08
numounx,77,tutor,Can you talk me through how you got that answer?,00:10:16
numounx,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
numounx,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
numounx,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
numounx,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
numounx,82,student,300?,00:10:56
numounx,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
numounx,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
numounx,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
numounx,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
numounx,87,tutor,Can you talk me through how you got that answer?,00:11:36
numounx,88,student,12.,00:11:44
numounx,89,tutor,Uh-huh. And what would you do next?,00:11:52
numounx,90,student,Maybe I should compare them as decimals first.,00:12:00
numounx,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
numounx,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
numounx,93,tutor,Can you talk me through how you got that answer?,00:12:24
numounx,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
numounx,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
numounx,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
numounx,97,tutor,What do you notice about these two numbers?,00:12:56
numounx,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
numounx,99,tutor,Can you talk me through how you got that answer?,00:13:12
numounx,100,student,6?,00:13:20
numounx,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
numounx,102,student,I think we need to make the bottom numbers the same before we add.,00:13:36
numounx,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
numounx,104,student,Okay,00:13:52
numounx,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
numounx,106,student,Maybe I should compare them as decimals first.,00:14:08
numounx,107,tutor,Uh-huh. And what would you do next?,00:14:16
numounx,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
numounx,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
numounx,110,student,Maybe I should compare them as decimals first.,00:14:40
numounx,111,tutor,What do you notice about these two numbers?,00:14:48
numounx,112,student,6?,00:14:56
numounx,113,tutor,Can you talk me through how you got that answer?,00:15:04
numounx,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
numounx,115,tutor,What do you notice about these two numbers?,00:15:20
numounx,116,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:28
numounx,117,tutor,So let me ask you first. Do you know what a fact family is?,00:15:36
numounx,118,student,6?,00:15:44
numounx,119,tutor,Let's try a similar one. What is 30 times 4?,00:15:52
numounx,120,student,Maybe I should compare them as decimals first.,00:16:00
numounx,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
numounx,122,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:16
numounx,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
numounx,124,student,Maybe I should compare them as decimals first.,00:16:32
numounx,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
numounx,126,student,75.,00:16:48
numounx,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
numounx,128,student,Maybe I should compare them as decimals first.,00:17:04
numounx,129,tutor,So let me ask you first. Do you know what a fact family is?,00:17:12
numounx,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
numounx,131,tutor,So let me ask you first. Do you know what a fact family is?,00:17:28
numounx,132,student,Yes,00:17:36
numounx,133,tutor,What do you notice about these two numbers?,00:17:44
numounx,134,student,I think we need to make the bottom numbers the same before we add.,00:17:52
numounx,135,tutor,What do you notice about these two numbers?,00:18:00
numounx,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
numounx,137,tutor,So let me ask you first. Do you know what a fact family is?,00:18:16
numounx,138,student,I'm not sure. Is it because 10 has one zero?,00:18:24
numounx,139,tutor,Let's try a similar one. What is 30 times 4?,00:18:32
numounx,140,student,"I would divide it by 100, so the answer is 3.45.",00:18:40
numounx,141,tutor,What do you notice about these two numbers?,00:18:48
numounx,142,student,I think we need to make the bottom numbers the same before we add.,00:18:56
numounx,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
numounx,144,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:12
numounx,145,tutor,So let me ask you first. Do you know what a fact family is?,00:19:20
numounx,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
numounx,147,tutor,What do you notice about these two numbers?,00:19:36
numounx,148,student,I think we need to make the bottom numbers the same before we add.,00:19:44
numounx,149,tutor,"Good thinking. Now, is that answer reasonable?",00:19:52
