session_id,utterance_id,role,content,timestamp
acbkksr,0,background,[unclear],00:00:00
acbkksr,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
acbkksr,2,student,"Yes, I think so.",00:00:16
acbkksr,3,tutor,Uh-huh. And what would you do next?,00:00:24
acbkksr,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
acbkksr,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
acbkksr,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
acbkksr,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
acbkksr,8,student,12.,00:01:04
acbkksr,9,tutor,Uh-huh. And what would you do next?,00:01:12
acbkksr,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
acbkksr,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
acbkksr,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
acbkksr,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
acbkksr,14,student,Maybe I should compare them as decimals first.,00:01:52
acbkksr,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
acbkksr,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
acbkksr,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
acbkksr,18,student,Maybe I should compare them as decimals first.,00:02:24
acbkksr,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
acbkksr,20,student,Okay,00:02:40
acbkksr,21,tutor,Uh-huh. And what would you do next?,00:02:48
acbkksr,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
acbkksr,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
acbkksr,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
acbkksr,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
acbkksr,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
acbkksr,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
acbkksr,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
acbkksr,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
acbkksr,30,student,300?,00:04:00
acbkksr,31,tutor,Uh-huh. And what would you do next?,00:04:08
acbkksr,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
acbkksr,33,tutor,Can you talk me through how you got that answer?,00:04:24
acbkksr,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
acbkksr,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
acbkksr,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
acbkksr,37,tutor,What do you notice about these two numbers?,00:04:56
acbkksr,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
acbkksr,39,tutor,Uh-huh. And what would you do next?,00:05:12
acbkksr,40,student,300?,00:05:20
acbkksr,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
acbkksr,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
acbkksr,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
acbkksr,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
acbkksr,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
acbkksr,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
acbkksr,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
acbkksr,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
acbkksr,49,tutor,What do you notice about these two numbers?,00:06:32
acbkksr,50,student,Half?,00:06:40
acbkksr,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
acbkksr,52,student,Maybe I should compare them as decimals first.,00:06:56
acbkksr,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
acbkksr,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
acbkksr,55,tutor,Can you talk me through how you got that answer?,00:07:20
acbkksr,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
acbkksr,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
acbkksr,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
