session_id,utterance_id,role,content,timestamp
xneitvj,0,background,[unclear],00:00:00
xneitvj,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
xneitvj,2,student,"Yes, I think so.",00:00:16
xneitvj,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
xneitvj,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
xneitvj,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
xneitvj,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
xneitvj,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
xneitvj,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
xneitvj,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
xneitvj,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
xneitvj,11,tutor,Uh-huh. And what would you do next?,00:01:28
xneitvj,12,student,Maybe I should compare them as decimals first.,00:01:36
xneitvj,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
xneitvj,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
xneitvj,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
xneitvj,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
xneitvj,17,tutor,Can you talk me through how you got that answer?,00:02:16
xneitvj,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
xneitvj,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
xneitvj,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
xneitvj,21,tutor,Can you talk me through how you got that answer?,00:02:48
xneitvj,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
xneitvj,23,tutor,Can you talk me through how you got that answer?,00:03:04
xneitvj,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
xneitvj,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
xneitvj,26,student,No,00:03:28
xneitvj,27,tutor,Can you talk me through how you got that answer?,00:03:36
xneitvj,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
xneitvj,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
xneitvj,30,student,Okay,00:04:00
xneitvj,31,tutor,Uh-huh. And what would you do next?,00:04:08
xneitvj,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
xneitvj,33,tutor,Can you talk me through how you got that answer?,00:04:24
xneitvj,34,student,75.,00:04:32
xneitvj,35,tutor,Can you talk me through how you got that answer?,00:04:40
xneitvj,36,student,Maybe I should compare them as decimals first.,00:04:48
xneitvj,37,tutor,Uh-huh. And what would you do next?,00:04:56
xneitvj,38,student,Maybe I should compare them as decimals first.,00:05:04
xneitvj,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
xneitvj,40,student,Is it 4?,00:05:20
xneitvj,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
xneitvj,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
xneitvj,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
xneitvj,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
xneitvj,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
xneitvj,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
xneitvj,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
xneitvj,48,student,Maybe I should compare them as decimals first.,00:06:24
xneitvj,49,tutor,Can you talk me through how you got that answer?,00:06:32
xneitvj,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
xneitvj,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
xneitvj,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
xneitvj,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
xneitvj,54,student,Okay,00:07:12
xneitvj,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
xneitvj,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
xneitvj,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
xneitvj,58,student,Maybe I should compare them as decimals first.,00:07:44
xneitvj,59,tutor,Uh-huh. And what would you do next?,00:07:52
xneitvj,60,student,Is it 4?,00:08:00
xneitvj,61,tutor,Can you talk me through how you got that answer?,00:08:08
xneitvj,62,student,Maybe I should compare them as decimals first.,00:08:16
xneitvj,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
xneitvj,64,student,300?,00:08:32
xneitvj,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
xneitvj,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
xneitvj,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
xneitvj,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
xneitvj,69,tutor,Can you talk me through how you got that answer?,00:09:12
xneitvj,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
xneitvj,71,tutor,Uh-huh. And what would you do next?,00:09:28
