session_id,utterance_id,role,content,timestamp
szerebl,0,background,[unclear],00:00:00
szerebl,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
szerebl,2,student,"Yes, I think so.",00:00:16
szerebl,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
szerebl,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
szerebl,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
szerebl,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
szerebl,7,tutor,Can you talk me through how you got that answer?,00:00:56
szerebl,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
szerebl,9,tutor,What do you notice about these two numbers?,00:01:12
szerebl,10,student,Half?,00:01:20
szerebl,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
szerebl,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
szerebl,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
szerebl,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
szerebl,15,tutor,Uh-huh. And what would you do next?,00:02:00
szerebl,16,student,Maybe I should compare them as decimals first.,00:02:08
szerebl,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
szerebl,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
szerebl,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
szerebl,20,student,Maybe I should compare them as decimals first.,00:02:40
szerebl,21,tutor,What do you notice about these two numbers?,00:02:48
szerebl,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
szerebl,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
szerebl,24,student,75.,00:03:12
szerebl,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
szerebl,26,student,12.,00:03:28
szerebl,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
szerebl,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
szerebl,29,tutor,Uh-huh. And what would you do next?,00:03:52
szerebl,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
szerebl,31,tutor,Uh-huh. And what would you do next?,00:04:08
szerebl,32,student,Maybe I should compare them as decimals first.,00:04:16
szerebl,33,tutor,Can you talk me through how you got that answer?,00:04:24
szerebl,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
szerebl,35,tutor,Can you talk me through how you got that answer?,00:04:40
szerebl,36,student,No,00:04:48
szerebl,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
szerebl,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
szerebl,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
szerebl,40,student,Maybe I should compare them as decimals first.,00:05:20
szerebl,41,tutor,What do you notice about these two numbers?,00:05:28
szerebl,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
szerebl,43,tutor,What do you notice about these two numbers?,00:05:44
szerebl,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
szerebl,45,tutor,Uh-huh. And what would you do next?,00:06:00
szerebl,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
szerebl,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
szerebl,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
szerebl,49,tutor,Uh-huh. And what would you do next?,00:06:32
szerebl,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
szerebl,51,tutor,What do you notice about these two numbers?,00:06:48
szerebl,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
szerebl,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
szerebl,54,student,75.,00:07:12
szerebl,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
szerebl,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
szerebl,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
szerebl,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
szerebl,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
szerebl,60,student,75.,00:08:00
szerebl,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
szerebl,62,student,75.,00:08:16
szerebl,63,tutor,Uh-huh. And what would you do next?,00:08:24
szerebl,64,student,Maybe I should compare them as decimals first.,00:08:32
szerebl,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
szerebl,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
szerebl,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
szerebl,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
szerebl,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
szerebl,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
szerebl,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
szerebl,72,student,Maybe I should compare them as decimals first.,00:09:36
szerebl,73,tutor,What do you notice about these two numbers?,00:09:44
szerebl,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
szerebl,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
szerebl,76,student,Maybe I should compare them as decimals first.,00:10:08
szerebl,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
szerebl,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
szerebl,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
szerebl,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
szerebl,81,tutor,What do you notice about these two numbers?,00:10:48
szerebl,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
szerebl,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
szerebl,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
szerebl,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
szerebl,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
szerebl,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
szerebl,88,student,Yes,00:11:44
szerebl,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
szerebl,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
szerebl,91,tutor,Can you talk me through how you got that answer?,00:12:08
szerebl,92,student,No,00:12:16
szerebl,93,tutor,Can you talk me through how you got that answer?,00:12:24
