session_id,utterance_id,role,content,timestamp
tcspfbt,0,background,[unclear],00:00:00
tcspfbt,1,tutor,"Hello, are you ready to get started today?",00:00:08
tcspfbt,2,student,"Yes, I think so.",00:00:16
tcspfbt,3,tutor,What do you notice about these two numbers?,00:00:24
tcspfbt,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
tcspfbt,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
tcspfbt,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
tcspfbt,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
tcspfbt,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
tcspfbt,9,tutor,Uh-huh. And what would you do next?,00:01:12
tcspfbt,10,student,Half?,00:01:20
tcspfbt,11,tutor,What do you notice about these two numbers?,00:01:28
tcspfbt,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
tcspfbt,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
tcspfbt,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
tcspfbt,15,tutor,Uh-huh. And what would you do next?,00:02:00
tcspfbt,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
tcspfbt,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
tcspfbt,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
tcspfbt,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
tcspfbt,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
tcspfbt,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
tcspfbt,22,student,6?,00:02:56
tcspfbt,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
tcspfbt,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
tcspfbt,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
tcspfbt,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
tcspfbt,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
tcspfbt,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
tcspfbt,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
tcspfbt,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
tcspfbt,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
tcspfbt,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
tcspfbt,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
tcspfbt,34,student,No,00:04:32
tcspfbt,35,tutor,Uh-huh. And what would you do next?,00:04:40
tcspfbt,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
tcspfbt,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
tcspfbt,38,student,300?,00:05:04
tcspfbt,39,tutor,Can you talk me through how you got that answer?,00:05:12
tcspfbt,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
tcspfbt,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
tcspfbt,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
tcspfbt,43,tutor,What do you notice about these two numbers?,00:05:44
tcspfbt,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
tcspfbt,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
tcspfbt,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
tcspfbt,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
tcspfbt,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
tcspfbt,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
tcspfbt,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
tcspfbt,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
tcspfbt,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
tcspfbt,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
tcspfbt,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
tcspfbt,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
tcspfbt,56,student,Maybe I should compare them as decimals first.,00:07:28
tcspfbt,57,tutor,Can you talk me through how you got that answer?,00:07:36
tcspfbt,58,student,Maybe I should compare them as decimals first.,00:07:44
tcspfbt,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
tcspfbt,60,student,Is it 4?,00:08:00
tcspfbt,61,tutor,Uh-huh. And what would you do next?,00:08:08
tcspfbt,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
tcspfbt,63,tutor,Uh-huh. And what would you do next?,00:08:24
tcspfbt,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
tcspfbt,65,tutor,Can you talk me through how you got that answer?,00:08:40
tcspfbt,66,student,Half?,00:08:48
tcspfbt,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
tcspfbt,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
tcspfbt,69,tutor,What do you notice about these two numbers?,00:09:12
tcspfbt,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
tcspfbt,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
tcspfbt,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
tcspfbt,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
tcspfbt,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
tcspfbt,75,tutor,What do you notice about these two numbers?,00:10:00
tcspfbt,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
tcspfbt,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
tcspfbt,78,student,Yes,00:10:24
tcspfbt,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
tcspfbt,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
tcspfbt,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
tcspfbt,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
tcspfbt,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
tcspfbt,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
tcspfbt,85,tutor,What do you notice about these two numbers?,00:11:20
tcspfbt,86,student,6?,00:11:28
tcspfbt,87,tutor,Can you talk me through how you got that answer?,00:11:36
tcspfbt,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
tcspfbt,89,tutor,Uh-huh. And what would you do next?,00:11:52
tcspfbt,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
tcspfbt,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
tcspfbt,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
tcspfbt,93,tutor,What do you notice about these two numbers?,00:12:24
tcspfbt,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
tcspfbt,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
tcspfbt,96,student,Is it 4?,00:12:48
tcspfbt,97,tutor,Uh-huh. And what would you do next?,00:12:56
tcspfbt,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
tcspfbt,99,tutor,Can you talk me through how you got that answer?,00:13:12
tcspfbt,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
tcspfbt,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
tcspfbt,102,student,Maybe I should compare them as decimals first.,00:13:36
tcspfbt,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
tcspfbt,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
tcspfbt,105,tutor,Can you talk me through how you got that answer?,00:14:00
tcspfbt,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
tcspfbt,107,tutor,Can you talk me through how you got that answer?,00:14:16
tcspfbt,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
tcspfbt,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
tcspfbt,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
tcspfbt,111,tutor,What do you notice about these two numbers?,00:14:48
tcspfbt,112,student,I'm not sure. Is it because 10 has one zero?,00:14:56
tcspfbt,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
tcspfbt,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
tcspfbt,115,tutor,Uh-huh. And what would you do next?,00:15:20
tcspfbt,116,student,I'm not sure. Is it because 10 has one zero?,00:15:28
